Run_ID,Range_(Nmi),Fuel_Fraction,Wingspan,Spans,Sweeps,Root_Chords,Tip_Chords,Swet,Sref,Taper Ratios,Wing Section Areas,L_D_Cruise,CD0,CDi_Cruise,CDw_Cruise,CD_Total_Cruise,CL_Cruise,Alpha_Cruise,AR,MTOW,Static_Margin,Section3_Stress_Pa,Stress_Ratio,Root_Moment_Sec3,Cost_Per_Hour
3,7000.0,0.3081820434034013,55.52504191259555,[ 3.84707871  6.2524568  14.57169291  3.27569924],[65. 65. 45. 45.],[49.50141903 35.83692439  7.30210725  1.01545326],[35.83692439  7.30210725  1.01545326  0.13460604],1376.7745810285503,722.996442065251,[0.72395752 0.20375932 0.13906304 0.1325576 ],[164.15166221 134.86246582  60.6004688    1.8836242 ],24.011522897872187,0.004871500651690008,0.00339798489076905,0.000267544831814336,0.008545896602900498,0.20519999196339345,1.245850349458762,4.2642399049555015,1406195.061,"[ 3.7907209   9.20920783  9.31437003 11.54448074 11.62701474 11.66688007
 11.78750343 11.91273801 11.99659506 12.03709309]",217971770.8681043,0.7603666425631546,2228314.5480443076,10162.778179997033
0,7000.0,0.3081820434034013,71.53642564755856,[ 4.95643499  8.05543581 18.77363421  4.22029065],[65.         59.33140687 28.50317801 35.2066952 ],[59.49793757 43.07397913  8.77672458  1.22051804],[43.07397913  8.77672458  1.22051804  0.16178894],2138.459602245303,1119.5893652842174,[0.72395752 0.20375932 0.13906304 0.1325576 ],[254.19551829 208.84000767  93.84228808   2.91686861],23.512657275041768,0.004614954104494396,0.0017748915293789081,0.00014165321409611792,0.00653022058938612,0.15354283864865712,-1.1903580964460192,4.570836730955874,1629372.562,"[6.64844032 7.80548946 7.82781115 8.31059153 8.32843075 8.33686739
 8.36238955 8.38944259 8.40755408 8.41611807]",292652067.71377534,1.020879305978286,3595937.236482266,10971.361291710744
4,7000.0,0.3081820434034013,74.71837751769928,[ 5.17689802  8.4137429  19.60868852  4.40800987],[58.9773613  65.         42.80761005 29.71406805],[58.45248635 42.31711686  8.62250685  1.19907205],[42.31711686  8.62250685  1.19907205  0.15894611],2206.009744709994,1148.8412958865742,[0.72395752 0.20375932 0.13906304 0.1325576 ],[260.83697978 214.29644875  96.29414068   2.99307873],23.557968216500118,0.004696987604079183,0.0016561078737757856,0.00013752859162190992,0.006491569272470171,0.15292818259606109,-1.1421610513233078,4.859536263944177,1665250.736,"[14.61782364 15.92503621 15.95023366 16.49390674 16.51398714 16.5235018
 16.55228452 16.58273388 16.60311838 16.61277555]",310698225.4445438,1.0838310189925946,3750596.6059078523,11076.042059272233
2,7000.0,0.3081820434034013,84.22251248503485,[ 5.8353965   9.4839662  22.10290251  4.96870621],[48.39318662 63.3687627  32.81118315 32.9587647 ],[46.1541028  33.41360965  6.80833429  0.94678769],[33.41360965  6.80833429  0.94678769  0.1255039 ],1912.124256167604,1022.5113142586451,[0.72395752 0.20375932 0.13906304 0.1325576 ],[232.15457519 190.73177839  85.7053526    2.66395095],25.18197239517392,0.004850659240036758,0.0012143432902015792,0.00013429204424559647,0.006213280061892838,0.15646264700206994,-1.3863639559200835,6.937264664337555,1516389.834,"[10.38479105 17.2431073  17.37579121 20.04773458 20.14627662 20.19618893
 20.34720789 20.49668767 20.59675572 20.64743345]",398420981.38028425,1.3898406327219217,3797616.522844558,10287.363786967024
7,7000.0,0.3081820434034013,78.88349934535638,[ 5.46548045  8.88276091 20.70176066  4.65373118],[49.44890604 65.         27.62000109 36.25898273],[45.22216463 32.73892601  6.67086121  0.92767027],[32.73892601  6.67086121  0.92767027  0.12296974],1750.2481725693851,938.3549104565602,[0.72395752 0.20375932 0.13906304 0.1325576 ],[213.04740845 175.03385864  78.65149005   2.44469809],25.53484823969568,0.004877699324581878,0.0014076755573657442,0.00016058464700078307,0.006450099423740696,0.16470230991616724,-1.1156178073055505,6.631399697094576,1464869.342,"[ 9.19808593 16.59262114 16.73588411 19.58035879 19.68525737 19.73913489
 19.90216099 20.06130406 20.16784284 20.22255486]",372482288.15853566,1.2993568191576825,3478688.7087271316,10072.695982815372
5,7000.0,0.3081820434034013,76.28662958984104,[ 5.28555511  8.59033761 20.02025215  4.50052888],[45.14297436 49.07002428 45.         31.47402884],[58.42610955 42.29802118  8.61861592  1.19853097],[42.29802118  8.61861592  1.19853097  0.15887439],2223.609193726154,1172.4248440777344,[0.72395752 0.20375932 0.13906304 0.1325576 ],[266.19147174 218.69555126  98.27087804   3.054521  ],23.66716063636169,0.004659743086229942,0.0015797231006416663,0.0001228153206576778,0.006378169407938207,0.15095315994360148,-1.7783230339730767,4.963772205591163,1677487.49,"[-10.98053737  -7.61559828  -7.55075451  -6.15864722  -6.10724664
  -6.08277894  -6.00876198  -5.93082148  -5.87864483  -5.85381173]",304595522.3065143,1.0625425196738871,3675268.545259945,11090.422481548894
6,7000.0,0.3081820434034013,82.24045928090862,[ 5.698069    9.26077497 21.58274314  4.851775  ],[65.        49.6627261 45.        45.       ],[59.44791176 43.03776257  8.76934512  1.21949183],[43.03776257  8.76934512  1.21949183  0.16165291],2435.251664804192,1286.03191646573,[0.72395752 0.20375932 0.13906304 0.1325576 ],[291.98522215 239.88698323 107.7932511    3.35050175],23.741708122511366,0.004569597884739776,0.0013423704468157813,0.00012366272962249257,0.006032949443215581,0.14323252479869178,-1.6133808294234333,5.259195402647708,1745924.515,"[8.7270856  9.15039261 9.15853815 9.33272428 9.33915095 9.3422197
 9.35150262 9.36124628 9.36776869 9.37088266]",329392183.2812698,1.149042499818383,4043975.230242898,11290.792673069254
1,7000.0,0.3081820434034013,41.624668041021195,[ 2.88398475  4.68719031 10.92375367  2.45564684],[65.         63.09028059 43.1450678  45.        ],[45.15845717 32.69280451  6.66146353  0.9263634 ],[32.69280451  6.66146353  0.9263634   0.12279651],952.0602510662243,494.44671425147357,[0.72395752 0.20375932 0.13906304 0.1325576 ],[112.26092592  92.23047199  41.44377612   1.2881831 ],20.903154066419877,0.00516559353775017,0.0074058782887845955,0.0005674272810372825,0.013137517325684465,0.2746155487090428,3.833027021976192,3.504145016208989,1286994.489,"[-16.46250794  -8.52930364  -8.37472005  -4.56799774  -4.425894
  -4.36612886  -4.18530888  -3.96960599  -3.82509781  -3.76433287]",167953992.34045774,0.5858860197922945,1566347.152702167,10389.214211685216
8,7000.0,0.3081820434034013,72.22629339504746,[ 5.0042328   8.1331191  18.95467939  4.26098939],[65.         54.75880185 36.7938017  31.14398373],[54.60070012 39.52858727  8.05431796  1.12005798],[39.52858727  8.05431796  1.12005798  0.14847219],1960.0356217934075,1037.3448506701698,[0.72395752 0.20375932 0.13906304 0.1325576 ],[235.52243361 193.49871773  86.9486772    2.7025968 ],24.393831347073856,0.004641302824294705,0.0017379644928296673,0.00014513061672530056,0.006533110224703959,0.15936758899327216,-1.0506489662543972,5.028836316310148,1566950.317,"[4.72786966 7.6115202  7.66723541 8.82696525 8.86977481 8.89077946
 8.95432785 9.01925817 9.06272652 9.0840511 ]",303023453.69504184,1.0570585594013087,3416906.142760691,10590.044711780449
10,7000.0,0.3081820434034013,52.79127649979135,[ 3.65766849  5.94461822 13.85425824  3.11442078],[65.         65.         45.         37.06494389],[53.14935432 38.47787457  7.84022546  1.09028562],[38.47787457  7.84022546  1.09028562  0.14452564],1430.4840115556572,738.0567773703813,[0.72395752 0.20375932 0.13906304 0.1325576 ],[167.57101386 137.67171056  61.86280334   1.92286093],22.819062825870876,0.004878364599705172,0.0038352840953538806,0.00026701978851835436,0.008990090124674428,0.20514543136518712,1.251245449758341,3.776022333142067,1435105.044,"[1.04026775 5.26749963 5.34946961 7.18366396 7.25168362 7.28290726
 7.37737366 7.48057508 7.54968505 7.58140385]",205536923.85419446,0.716989269258818,2256038.151542307,10488.738197437724
11,7000.0,0.3081820434034013,61.315042957098996,[ 4.24824167  6.90444606 16.0911896   3.61728029],[60.46443462 60.35171837 44.13047565 45.        ],[59.07012795 42.76426314  8.71361707  1.21174212],[42.76426314  8.71361707  1.21174212  0.16062562],1847.9592521709008,952.7184258545644,[0.72395752 0.20375932 0.13906304 0.1325576 ],[216.30855164 177.71312369  79.8554182    2.48211939],23.018329265607193,0.004732809182351901,0.0026457186913229143,0.00019337547802630875,0.00756708464275123,0.17418164588756738,-0.4829061086387355,3.946112923615062,1572892.434,"[-1.40271191  0.94998909  0.99543917  2.0014338   2.03866389  2.05590158
  2.10804879  2.16451487  2.2023216   2.21982335]",233418042.9002902,0.8142489868614773,2847481.6187740876,10898.632782459645
9,7000.0,0.3081820434034013,45.34809781067068,[ 3.14196434  5.10647111 11.90091052  2.67531054],[53.54259096 65.         45.         45.        ],[52.91190794 38.30597348  7.80519901  1.08541474],[38.30597348  7.80519901  1.08541474  0.14387997],1262.7498695734203,631.1638445536864,[0.72395752 0.20375932 0.13906304 0.1325576 ],[143.30166538 117.73268506  52.9031993    1.64437254],20.629295154857566,0.005183907488882785,0.005718083507767127,0.0003905260805182611,0.011279106000254262,0.23268000676217016,1.394588985936476,3.2581872247456256,1391980.814,"[-14.11951461  -8.85618474  -8.75398872  -6.20605953  -6.11104835
  -6.07161576  -5.9523272   -5.80816157  -5.7115915   -5.67151968]",172447452.33792263,0.6015608802485674,1884381.357110325,10834.134588061752
