
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10328_17_d5fdb9                                     
  Mach  =    0.850
  alpha =    2.542    CLtot =    0.181
  beta  =    0.000

  Sref  =   820.40000
  Bref  =    64.76000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061766522544779     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.902573E-01     0.154009E-01
    0.0003  0.900904E-01     0.153538E-01
    0.0024  0.897564E-01     0.152598E-01
    0.0065  0.890899E-01     0.150734E-01
    0.0128  0.880937E-01     0.147973E-01
    0.0210  0.867721E-01     0.144358E-01
    0.0313  0.851307E-01     0.139944E-01
    0.0435  0.831769E-01     0.134799E-01
    0.0577  0.809197E-01     0.129002E-01
    0.0737  0.783700E-01     0.122641E-01
    0.0914  0.755415E-01     0.115811E-01
    0.1109  0.724548E-01     0.108615E-01
    0.1320  0.691522E-01     0.101157E-01
    0.1545  0.656660E-01     0.935675E-02
    0.1784  0.619814E-01     0.859507E-02
    0.2036  0.580901E-01     0.783903E-02
    0.2300  0.540206E-01     0.709920E-02
    0.2575  0.498295E-01     0.638540E-02
    0.2860  0.456000E-01     0.570611E-02
    0.3153  0.414264E-01     0.506799E-02
    0.3454  0.374097E-01     0.447550E-02
    0.3761  0.336640E-01     0.393063E-02
    0.4081  0.301952E-01     0.341649E-02
    0.4415  0.270187E-01     0.293561E-02
    0.4750  0.241404E-01     0.250284E-02
    0.5086  0.215129E-01     0.211581E-02
    0.5421  0.191063E-01     0.177220E-02
    0.5754  0.168999E-01     0.146957E-02
    0.6084  0.148778E-01     0.120535E-02
    0.6408  0.130273E-01     0.976849E-03
    0.6726  0.113372E-01     0.781261E-03
    0.7037  0.979792E-02     0.615727E-03
    0.7338  0.840053E-02     0.477360E-03
    0.7629  0.713681E-02     0.363289E-03
    0.7908  0.599897E-02     0.270698E-03
    0.8175  0.497962E-02     0.196860E-03
    0.8428  0.407174E-02     0.139169E-03
    0.8665  0.326874E-02     0.951669E-04
    0.8887  0.256467E-02     0.625605E-04
    0.9091  0.195469E-02     0.392372E-04
    0.9278  0.143648E-02     0.232653E-04
    0.9447  0.100911E-02     0.128138E-04
    0.9598  0.670030E-03     0.640802E-05
    0.9728  0.412932E-03     0.283337E-05
