
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10328_3_0732fb                                      
  Mach  =    0.850
  alpha =    1.872    CLtot =    0.169
  beta  =    0.000

  Sref  =   893.70000
  Bref  =    64.32000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060230099502490     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.843628E-01     0.162151E-01
    0.0003  0.842238E-01     0.161689E-01
    0.0025  0.839458E-01     0.160767E-01
    0.0068  0.833909E-01     0.158937E-01
    0.0134  0.825613E-01     0.156224E-01
    0.0221  0.814599E-01     0.152666E-01
    0.0329  0.800907E-01     0.148314E-01
    0.0457  0.784588E-01     0.143229E-01
    0.0605  0.765702E-01     0.137482E-01
    0.0773  0.744328E-01     0.131154E-01
    0.0959  0.720571E-01     0.124334E-01
    0.1163  0.694621E-01     0.117113E-01
    0.1385  0.666851E-01     0.109590E-01
    0.1618  0.637900E-01     0.101979E-01
    0.1863  0.607706E-01     0.943672E-02
    0.2121  0.575908E-01     0.867354E-02
    0.2391  0.542733E-01     0.791760E-02
    0.2673  0.508561E-01     0.717764E-02
    0.2965  0.473854E-01     0.646153E-02
    0.3265  0.439090E-01     0.577603E-02
    0.3573  0.404738E-01     0.512661E-02
    0.3887  0.371262E-01     0.451741E-02
    0.4209  0.338845E-01     0.394372E-02
    0.4537  0.307903E-01     0.340859E-02
    0.4867  0.278763E-01     0.292003E-02
    0.5198  0.251299E-01     0.247766E-02
    0.5528  0.225424E-01     0.208066E-02
    0.5856  0.201084E-01     0.172776E-02
    0.6180  0.178247E-01     0.141726E-02
    0.6500  0.156887E-01     0.114710E-02
    0.6813  0.136988E-01     0.914864E-03
    0.7118  0.118533E-01     0.717849E-03
    0.7415  0.101512E-01     0.553146E-03
    0.7701  0.859127E-02     0.417685E-03
    0.7976  0.717266E-02     0.308297E-03
    0.8239  0.589464E-02     0.221779E-03
    0.8488  0.475667E-02     0.154946E-03
    0.8721  0.375827E-02     0.104698E-03
    0.8940  0.289859E-02     0.680675E-04
    0.9141  0.217562E-02     0.422881E-04
    0.9325  0.158458E-02     0.248537E-04
    0.9490  0.111519E-02     0.135881E-04
    0.9633  0.754408E-03     0.684134E-05
    0.9753  0.478763E-03     0.309150E-05
    0.9854  0.272046E-03     0.117381E-05
    0.9935  0.131195E-03     0.344508E-06
    0.9996  0.482331E-04     0.663590E-07
    1.0037  0.102392E-04     0.571363E-08
    1.0058  0.603878E-06     0.785422E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060230099502490     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.843628E-01    -0.162151E-01
   -0.0003  0.842238E-01    -0.161689E-01
   -0.0025  0.839458E-01    -0.160767E-01
   -0.0068  0.833909E-01    -0.158937E-01
   -0.0134  0.825613E-01    -0.156224E-01
   -0.0221  0.814599E-01    -0.152666E-01
   -0.0329  0.800907E-01    -0.148314E-01
   -0.0457  0.784588E-01    -0.143229E-01
   -0.0605  0.765702E-01    -0.137482E-01
   -0.0773  0.744328E-01    -0.131154E-01
   -0.0959  0.720571E-01    -0.124334E-01
   -0.1163  0.694621E-01    -0.117113E-01
   -0.1385  0.666851E-01    -0.109590E-01
   -0.1618  0.637900E-01    -0.101979E-01
   -0.1863  0.607706E-01    -0.943672E-02
   -0.2121  0.575908E-01    -0.867354E-02
   -0.2391  0.542733E-01    -0.791760E-02
   -0.2673  0.508561E-01    -0.717764E-02
   -0.2965  0.473854E-01    -0.646153E-02
   -0.3265  0.439090E-01    -0.577603E-02
   -0.3573  0.404738E-01    -0.512661E-02
   -0.3887  0.371262E-01    -0.451741E-02
   -0.4209  0.338845E-01    -0.394372E-02
   -0.4537  0.307903E-01    -0.340859E-02
   -0.4867  0.278763E-01    -0.292003E-02
   -0.5198  0.251299E-01    -0.247766E-02
   -0.5528  0.225424E-01    -0.208066E-02
   -0.5856  0.201084E-01    -0.172776E-02
   -0.6180  0.178247E-01    -0.141726E-02
   -0.6500  0.156887E-01    -0.114710E-02
   -0.6813  0.136988E-01    -0.914864E-03
   -0.7118  0.118533E-01    -0.717849E-03
   -0.7415  0.101512E-01    -0.553146E-03
   -0.7701  0.859127E-02    -0.417685E-03
   -0.7976  0.717266E-02    -0.308297E-03
   -0.8239  0.589464E-02    -0.221779E-03
   -0.8488  0.475667E-02    -0.154946E-03
   -0.8721  0.375827E-02    -0.104698E-03
   -0.8940  0.289859E-02    -0.680675E-04
   -0.9141  0.217562E-02    -0.422881E-04
   -0.9325  0.158458E-02    -0.248537E-04
   -0.9490  0.111519E-02    -0.135881E-04
   -0.9633  0.754408E-03    -0.684134E-05
   -0.9753  0.478763E-03    -0.309150E-05
   -0.9854  0.272046E-03    -0.117381E-05
   -0.9935  0.131195E-03    -0.344508E-06
   -0.9996  0.482331E-04    -0.663590E-07
   -1.0037  0.102392E-04    -0.571363E-08
   -1.0058  0.603878E-06    -0.785422E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12748756218905472     
     2Ymax/Bref =   0.19765236318407961     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1275  0.824042E-03     0.266766E-04
    0.1278  0.821604E-03     0.257095E-04
    0.1302  0.811410E-03     0.237900E-04
    0.1347  0.770044E-03     0.201990E-04
    0.1412  0.682132E-03     0.155357E-04
    0.1491  0.553028E-03     0.106778E-04
    0.1580  0.408708E-03     0.645898E-05
    0.1671  0.274485E-03     0.335632E-05
    0.1760  0.163924E-03     0.143317E-05
    0.1839  0.826931E-04     0.463227E-06
    0.1904  0.315999E-04     0.962018E-07
    0.1950  0.691585E-05     0.874385E-08
    0.1974  0.417088E-06     0.124686E-09
    0.1977   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19765236318407961     
     2Ymax/Bref =  -0.12748756218905472     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1275  0.824042E-03    -0.266766E-04
   -0.1278  0.821604E-03    -0.257095E-04
   -0.1302  0.811410E-03    -0.237900E-04
   -0.1347  0.770044E-03    -0.201990E-04
   -0.1412  0.682132E-03    -0.155357E-04
   -0.1491  0.553028E-03    -0.106778E-04
   -0.1580  0.408708E-03    -0.645898E-05
   -0.1671  0.274485E-03    -0.335632E-05
   -0.1760  0.163924E-03    -0.143317E-05
   -0.1839  0.826931E-04    -0.463227E-06
   -0.1904  0.315999E-04    -0.962018E-07
   -0.1950  0.691585E-05    -0.874385E-08
   -0.1974  0.417088E-06    -0.124686E-09
   -0.1977   0.00000         -0.00000    
