
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10372_18_2bc492                                     
  Mach  =    0.850
  alpha =    2.432    CLtot =    0.188
  beta  =    0.000

  Sref  =   797.00000
  Bref  =    64.03000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062751835077306     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.934845E-01     0.171039E-01
    0.0003  0.933105E-01     0.170519E-01
    0.0025  0.929624E-01     0.169482E-01
    0.0070  0.922677E-01     0.167425E-01
    0.0136  0.912290E-01     0.164378E-01
    0.0224  0.898499E-01     0.160390E-01
    0.0334  0.881355E-01     0.155521E-01
    0.0464  0.860920E-01     0.149847E-01
    0.0615  0.837270E-01     0.143455E-01
    0.0785  0.810507E-01     0.136444E-01
    0.0974  0.780770E-01     0.128920E-01
    0.1181  0.748318E-01     0.120998E-01
    0.1403  0.714029E-01     0.112892E-01
    0.1639  0.678160E-01     0.104710E-01
    0.1889  0.640263E-01     0.964710E-02
    0.2153  0.600554E-01     0.882890E-02
    0.2429  0.559630E-01     0.802710E-02
    0.2717  0.518227E-01     0.725125E-02
    0.3016  0.477093E-01     0.650928E-02
    0.3323  0.437081E-01     0.580729E-02
    0.3638  0.399160E-01     0.514912E-02
    0.3958  0.364315E-01     0.453570E-02
    0.4281  0.332505E-01     0.396681E-02
    0.4608  0.302979E-01     0.344235E-02
    0.4938  0.275375E-01     0.296196E-02
    0.5268  0.249460E-01     0.252508E-02
    0.5597  0.225077E-01     0.213092E-02
    0.5924  0.202117E-01     0.177836E-02
    0.6247  0.180496E-01     0.146599E-02
    0.6566  0.160154E-01     0.119209E-02
    0.6878  0.141043E-01     0.954676E-03
    0.7183  0.123128E-01     0.751516E-03
    0.7479  0.106383E-01     0.580172E-03
    0.7765  0.907905E-02     0.438032E-03
    0.8039  0.763435E-02     0.322355E-03
    0.8301  0.630458E-02     0.230303E-03
    0.8549  0.509197E-02     0.158979E-03
    0.8782  0.400194E-02     0.105452E-03
    0.9000  0.304522E-02     0.667739E-04
    0.9201  0.223737E-02     0.400050E-04
    0.9375  0.161056E-02     0.229938E-04
    0.9524  0.113329E-02     0.126319E-04
    0.9656  0.754275E-03     0.632637E-05
    0.9771  0.465325E-03     0.280130E-05
    0.9866  0.258052E-03     0.104509E-05
    0.9944  0.121966E-03     0.302224E-06
    1.0002  0.441100E-04     0.575136E-07
    1.0041  0.925313E-05     0.490587E-08
    1.0060  0.542417E-06     0.670576E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062751835077306     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.934845E-01    -0.171039E-01
   -0.0003  0.933105E-01    -0.170519E-01
   -0.0025  0.929624E-01    -0.169482E-01
   -0.0070  0.922677E-01    -0.167425E-01
   -0.0136  0.912290E-01    -0.164378E-01
   -0.0224  0.898499E-01    -0.160390E-01
   -0.0334  0.881355E-01    -0.155521E-01
   -0.0464  0.860920E-01    -0.149847E-01
   -0.0615  0.837270E-01    -0.143455E-01
   -0.0785  0.810507E-01    -0.136444E-01
