
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10372_5_1d8e7d                                      
  Mach  =    0.850
  alpha =    1.800    CLtot =    0.164
  beta  =    0.000

  Sref  =   986.00000
  Bref  =    67.85000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064023581429626     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.817750E-01     0.151209E-01
    0.0003  0.816415E-01     0.150793E-01
    0.0023  0.813747E-01     0.149963E-01
    0.0064  0.808420E-01     0.148315E-01
    0.0124  0.800454E-01     0.145871E-01
    0.0205  0.789872E-01     0.142667E-01
    0.0305  0.776700E-01     0.138746E-01
    0.0424  0.760974E-01     0.134165E-01
    0.0562  0.742733E-01     0.128987E-01
    0.0718  0.722036E-01     0.123285E-01
    0.0891  0.698974E-01     0.117139E-01
    0.1081  0.673748E-01     0.110633E-01
    0.1286  0.646879E-01     0.103854E-01
    0.1519  0.617214E-01     0.965051E-02
    0.1778  0.584695E-01     0.887071E-02
    0.2052  0.550781E-01     0.809333E-02
    0.2340  0.515733E-01     0.732808E-02
    0.2639  0.480028E-01     0.658391E-02
    0.2948  0.444152E-01     0.586863E-02
    0.3267  0.408540E-01     0.518881E-02
    0.3594  0.373611E-01     0.454967E-02
    0.3920  0.340596E-01     0.396638E-02
    0.4242  0.309768E-01     0.343799E-02
    0.4567  0.280455E-01     0.295325E-02
    0.4895  0.252636E-01     0.251260E-02
    0.5223  0.226304E-01     0.211586E-02
    0.5551  0.201469E-01     0.176226E-02
    0.5876  0.178150E-01     0.145049E-02
    0.6198  0.156368E-01     0.117871E-02
    0.6515  0.136140E-01     0.944659E-03
    0.6826  0.117477E-01     0.745719E-03
    0.7130  0.100381E-01     0.578989E-03
    0.7424  0.848415E-02     0.441380E-03
    0.7708  0.708390E-02     0.329696E-03
    0.7981  0.583418E-02     0.240721E-03
    0.8242  0.473075E-02     0.171289E-03
    0.8489  0.376833E-02     0.118357E-03
    0.8721  0.294074E-02     0.790589E-04
    0.8937  0.224089E-02     0.507577E-04
    0.9137  0.166056E-02     0.310835E-04
    0.9319  0.118982E-02     0.179656E-04
    0.9482  0.819526E-03     0.970022E-05
    0.9625  0.536712E-03     0.480341E-05
    0.9748  0.326939E-03     0.210536E-05
    0.9852  0.179248E-03     0.777105E-06
    0.9935  0.835456E-04     0.221864E-06
    0.9998  0.296530E-04     0.415832E-07
    1.0040  0.609680E-05     0.349037E-08
    1.0061  0.352362E-06     0.470830E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064023581429626     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.817750E-01    -0.151209E-01
   -0.0003  0.816415E-01    -0.150793E-01
   -0.0023  0.813747E-01    -0.149963E-01
   -0.0064  0.808420E-01    -0.148315E-01
   -0.0124  0.800454E-01    -0.145871E-01
   -0.0205  0.789872E-01    -0.142667E-01
   -0.0305  0.776700E-01    -0.138746E-01
   -0.0424  0.760974E-01    -0.134165E-01
   -0.0562  0.742733E-01    -0.128987E-01
   -0.0718  0.722036E-01    -0.123285E-01
   -0.0891  0.698974E-01    -0.117139E-01
   -0.1081  0.673748E-01    -0.110633E-01
   -0.1286  0.646879E-01    -0.103854E-01
   -0.1519  0.617214E-01    -0.965051E-02
   -0.1778  0.584695E-01    -0.887071E-02
   -0.2052  0.550781E-01    -0.809333E-02
   -0.2340  0.515733E-01    -0.732808E-02
