
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10560_18_c04c7e                                     
  Mach  =    0.850
  alpha =    2.048    CLtot =    0.144
  beta  =    0.000

  Sref  =  1157.70000
  Bref  =    62.16000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0057979407979409     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.716915E-01     0.136434E-01
    0.0003  0.715749E-01     0.136063E-01
    0.0023  0.713417E-01     0.135321E-01
    0.0065  0.708766E-01     0.133848E-01
    0.0127  0.701823E-01     0.131664E-01
    0.0209  0.692634E-01     0.128799E-01
    0.0311  0.681257E-01     0.125295E-01
    0.0433  0.667770E-01     0.121197E-01
    0.0573  0.652265E-01     0.116564E-01
    0.0732  0.634854E-01     0.111457E-01
    0.0908  0.615667E-01     0.105943E-01
    0.1102  0.594873E-01     0.100094E-01
    0.1311  0.572713E-01     0.939848E-02
    0.1536  0.549431E-01     0.876876E-02
    0.1779  0.524667E-01     0.811559E-02
    0.2040  0.498357E-01     0.744749E-02
    0.2314  0.470936E-01     0.678406E-02
    0.2600  0.442571E-01     0.613283E-02
    0.2895  0.413503E-01     0.550081E-02
    0.3200  0.384013E-01     0.489429E-02
    0.3511  0.354405E-01     0.431870E-02
    0.3830  0.325000E-01     0.377849E-02
    0.4153  0.296164E-01     0.327698E-02
    0.4483  0.267920E-01     0.280866E-02
    0.4820  0.240625E-01     0.237656E-02
    0.5158  0.214788E-01     0.198878E-02
    0.5494  0.190436E-01     0.164447E-02
    0.5829  0.167576E-01     0.134223E-02
    0.6160  0.146224E-01     0.108016E-02
    0.6486  0.126400E-01     0.855931E-03
    0.6805  0.108124E-01     0.666830E-03
    0.7117  0.914108E-02     0.509859E-03
    0.7420  0.762666E-02     0.381806E-03
    0.7712  0.626884E-02     0.279337E-03
    0.7993  0.506605E-02     0.199086E-03
    0.8260  0.401534E-02     0.137737E-03
    0.8514  0.311226E-02     0.921071E-04
    0.8753  0.235070E-02     0.592144E-04
    0.8975  0.172287E-02     0.363440E-04
    0.9181  0.121904E-02     0.210942E-04
    0.9368  0.827081E-03     0.114147E-04
    0.9527  0.548009E-03     0.590374E-05
    0.9657  0.355759E-03     0.292349E-05
    0.9770  0.216830E-03     0.128980E-05
    0.9864  0.120205E-03     0.482073E-06
    0.9940  0.571475E-04     0.139838E-06
    0.9998  0.207062E-04     0.265974E-07
    1.0036  0.430911E-05     0.225333E-08
    1.0056  0.249471E-06     0.304448E-10
    1.0058   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0057979407979409     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.716915E-01    -0.136434E-01
   -0.0003  0.715749E-01    -0.136063E-01
   -0.0023  0.713417E-01    -0.135321E-01
   -0.0065  0.708766E-01    -0.133848E-01
   -0.0127  0.701823E-01    -0.131664E-01
   -0.0209  0.692634E-01    -0.128799E-01
   -0.0311  0.681257E-01    -0.125295E-01
   -0.0433  0.667770E-01    -0.121197E-01
   -0.0573  0.652265E-01    -0.116564E-01
   -0.0732  0.634854E-01    -0.111457E-01
   -0.0908  0.615667E-01    -0.105943E-01
   -0.1102  0.594873E-01    -0.100094E-01
   -0.1311  0.572713E-01    -0.939848E-02
   -0.1536  0.549431E-01    -0.876876E-02
   -0.1779  0.524667E-01    -0.811559E-02
   -0.2040  0.498357E-01    -0.744749E-02
   -0.2314  0.470936E-01    -0.678406E-02
   -0.2600  0.442571E-01    -0.613283E-02
   -0.2895  0.413503E-01    -0.550081E-02
   -0.3200  0.384013E-01    -0.489429E-02
   -0.3511  0.354405E-01    -0.431870E-02
   -0.3830  0.325000E-01    -0.377849E-02
   -0.4153  0.296164E-01    -0.327698E-02
   -0.4483  0.267920E-01    -0.280866E-02
   -0.4820  0.240625E-01    -0.237656E-02
   -0.5158  0.214788E-01    -0.198878E-02
   -0.5494  0.190436E-01    -0.164447E-02
   -0.5829  0.167576E-01    -0.134223E-02
   -0.6160  0.146224E-01    -0.108016E-02
   -0.6486  0.126400E-01    -0.855931E-03
   -0.6805  0.108124E-01    -0.666830E-03
   -0.7117  0.914108E-02    -0.509859E-03
   -0.7420  0.762666E-02    -0.381806E-03
   -0.7712  0.626884E-02    -0.279337E-03
   -0.7993  0.506605E-02    -0.199086E-03
   -0.8260  0.401534E-02    -0.137737E-03
   -0.8514  0.311226E-02    -0.921071E-04
   -0.8753  0.235070E-02    -0.592144E-04
   -0.8975  0.172287E-02    -0.363440E-04
   -0.9181  0.121904E-02    -0.210942E-04
   -0.9368  0.827081E-03    -0.114147E-04
   -0.9527  0.548009E-03    -0.590374E-05
   -0.9657  0.355759E-03    -0.292349E-05
   -0.9770  0.216830E-03    -0.128980E-05
   -0.9864  0.120205E-03    -0.482073E-06
   -0.9940  0.571475E-04    -0.139838E-06
   -0.9998  0.207062E-04    -0.265974E-07
   -1.0036  0.430911E-05    -0.225333E-08
   -1.0056  0.249471E-06    -0.304448E-10
   -1.0058   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13191763191763192     
     2Ymax/Bref =   0.20452059202059203     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1319  0.548425E-03     0.176919E-04
    0.1322  0.547145E-03     0.170257E-04
    0.1347  0.541302E-03     0.157019E-04
    0.1394  0.514664E-03     0.132208E-04
    0.1461  0.451958E-03     0.100088E-04
    0.1543  0.355913E-03     0.672105E-05
    0.1635  0.251843E-03     0.396239E-05
    0.1730  0.162513E-03     0.201523E-05
    0.1821  0.945310E-04     0.848482E-06
    0.1903  0.470586E-04     0.272262E-06
    0.1970  0.179036E-04     0.564019E-07
    0.2018  0.391889E-05     0.512748E-08
    0.2042  0.236716E-06     0.732239E-10
    0.2045   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20452059202059203     
     2Ymax/Bref =  -0.13191763191763192     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1319  0.548425E-03    -0.176919E-04
   -0.1322  0.547145E-03    -0.170257E-04
   -0.1347  0.541302E-03    -0.157019E-04
   -0.1394  0.514664E-03    -0.132208E-04
   -0.1461  0.451958E-03    -0.100088E-04
   -0.1543  0.355913E-03    -0.672105E-05
   -0.1635  0.251843E-03    -0.396239E-05
   -0.1730  0.162513E-03    -0.201523E-05
   -0.1821  0.945310E-04    -0.848482E-06
   -0.1903  0.470586E-04    -0.272262E-06
   -0.1970  0.179036E-04    -0.564019E-07
   -0.2018  0.391889E-05    -0.512748E-08
   -0.2042  0.236716E-06    -0.732239E-10
   -0.2045   0.00000         -0.00000    
