
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10696_18_c27244                                     
  Mach  =    0.850
  alpha =    1.941    CLtot =    0.163
  beta  =    0.000

  Sref  =   953.80000
  Bref  =    64.78000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064371719666565     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.815048E-01     0.150553E-01
    0.0003  0.813550E-01     0.150078E-01
    0.0026  0.810552E-01     0.149130E-01
    0.0073  0.804572E-01     0.147250E-01
    0.0143  0.795639E-01     0.144465E-01
    0.0235  0.783800E-01     0.140818E-01
    0.0350  0.769116E-01     0.136365E-01
    0.0486  0.751666E-01     0.131173E-01
    0.0644  0.731546E-01     0.125321E-01
    0.0823  0.708867E-01     0.118896E-01
    0.1021  0.683770E-01     0.111994E-01
    0.1238  0.656487E-01     0.104715E-01
    0.1474  0.627238E-01     0.971641E-02
    0.1709  0.598200E-01     0.899851E-02
    0.1940  0.569377E-01     0.832352E-02
    0.2184  0.538739E-01     0.764754E-02
    0.2440  0.506560E-01     0.697924E-02
    0.2706  0.473264E-01     0.632677E-02
    0.2982  0.439386E-01     0.569738E-02
    0.3267  0.405557E-01     0.509714E-02
    0.3558  0.372452E-01     0.453066E-02
    0.3864  0.339862E-01     0.398278E-02
    0.4184  0.308390E-01     0.345941E-02
    0.4508  0.278884E-01     0.298012E-02
    0.4833  0.251180E-01     0.254471E-02
    0.5160  0.225183E-01     0.215259E-02
    0.5485  0.200835E-01     0.180265E-02
    0.5809  0.178103E-01     0.149339E-02
    0.6129  0.156960E-01     0.122287E-02
    0.6444  0.137384E-01     0.988830E-03
    0.6753  0.119349E-01     0.788710E-03
    0.7054  0.102826E-01     0.619744E-03
    0.7347  0.877810E-02     0.479022E-03
    0.7629  0.741736E-02     0.363567E-03
    0.7900  0.619575E-02     0.270392E-03
    0.8159  0.510811E-02     0.196571E-03
    0.8405  0.414887E-02     0.139280E-03
    0.8635  0.331216E-02     0.958510E-04
    0.8850  0.259190E-02     0.638064E-04
    0.9049  0.198190E-02     0.408864E-04
    0.9230  0.147600E-02     0.250723E-04
    0.9403  0.104409E-02     0.140783E-04
    0.9565  0.686240E-03     0.697787E-05
    0.9705  0.418182E-03     0.305662E-05
    0.9823  0.228865E-03     0.112694E-05
    0.9918  0.106501E-03     0.321631E-06
    0.9990  0.378411E-04     0.603671E-07
    1.0037  0.781014E-05     0.508303E-08
    1.0061  0.453182E-06     0.688218E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064371719666565     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.815048E-01    -0.150553E-01
   -0.0003  0.813550E-01    -0.150078E-01
   -0.0026  0.810552E-01    -0.149130E-01
   -0.0073  0.804572E-01    -0.147250E-01
   -0.0143  0.795639E-01    -0.144465E-01
   -0.0235  0.783800E-01    -0.140818E-01
   -0.0350  0.769116E-01    -0.136365E-01
   -0.0486  0.751666E-01    -0.131173E-01
   -0.0644  0.731546E-01    -0.125321E-01
   -0.0823  0.708867E-01    -0.118896E-01
   -0.1021  0.683770E-01    -0.111994E-01
   -0.1238  0.656487E-01    -0.104715E-01
   -0.1474  0.627238E-01    -0.971641E-02
   -0.1709  0.598200E-01    -0.899851E-02
   -0.1940  0.569377E-01    -0.832352E-02
   -0.2184  0.538739E-01    -0.764754E-02
   -0.2440  0.506560E-01    -0.697924E-02
   -0.2706  0.473264E-01    -0.632677E-02
   -0.2982  0.439386E-01    -0.569738E-02
   -0.3267  0.405557E-01    -0.509714E-02
   -0.3558  0.372452E-01    -0.453066E-02
   -0.3864  0.339862E-01    -0.398278E-02
   -0.4184  0.308390E-01    -0.345941E-02
   -0.4508  0.278884E-01    -0.298012E-02
   -0.4833  0.251180E-01    -0.254471E-02
   -0.5160  0.225183E-01    -0.215259E-02
   -0.5485  0.200835E-01    -0.180265E-02
   -0.5809  0.178103E-01    -0.149339E-02
   -0.6129  0.156960E-01    -0.122287E-02
   -0.6444  0.137384E-01    -0.988830E-03
   -0.6753  0.119349E-01    -0.788710E-03
   -0.7054  0.102826E-01    -0.619744E-03
   -0.7347  0.877810E-02    -0.479022E-03
   -0.7629  0.741736E-02    -0.363567E-03
   -0.7900  0.619575E-02    -0.270392E-03
   -0.8159  0.510811E-02    -0.196571E-03
   -0.8405  0.414887E-02    -0.139280E-03
   -0.8635  0.331216E-02    -0.958510E-04
   -0.8850  0.259190E-02    -0.638064E-04
   -0.9049  0.198190E-02    -0.408864E-04
   -0.9230  0.147600E-02    -0.250723E-04
   -0.9403  0.104409E-02    -0.140783E-04
   -0.9565  0.686240E-03    -0.697787E-05
   -0.9705  0.418182E-03    -0.305662E-05
   -0.9823  0.228865E-03    -0.112694E-05
   -0.9918  0.106501E-03    -0.321631E-06
   -0.9990  0.378411E-04    -0.603671E-07
   -1.0037  0.781014E-05    -0.508303E-08
   -1.0061  0.453182E-06    -0.688218E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12658227848101264     
     2Ymax/Bref =   0.19624884223525779     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1266  0.550623E-03     0.180222E-04
    0.1269  0.548782E-03     0.173806E-04
    0.1292  0.541202E-03     0.161086E-04
    0.1338  0.511465E-03     0.137352E-04
    0.1402  0.451702E-03     0.106642E-04
    0.1481  0.369611E-03     0.745695E-05
    0.1569  0.281214E-03     0.462227E-05
    0.1660  0.196589E-03     0.246778E-05
    0.1747  0.121944E-03     0.108040E-05
    0.1826  0.634293E-04     0.356512E-06
    0.1891  0.247908E-04     0.752258E-07
    0.1936  0.550685E-05     0.691712E-08
    0.1960  0.334934E-06     0.994157E-10
    0.1962   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19624884223525779     
     2Ymax/Bref =  -0.12658227848101264     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1266  0.550623E-03    -0.180222E-04
   -0.1269  0.548782E-03    -0.173806E-04
   -0.1292  0.541202E-03    -0.161086E-04
   -0.1338  0.511465E-03    -0.137352E-04
   -0.1402  0.451702E-03    -0.106642E-04
   -0.1481  0.369611E-03    -0.745695E-05
   -0.1569  0.281214E-03    -0.462227E-05
   -0.1660  0.196589E-03    -0.246778E-05
   -0.1747  0.121944E-03    -0.108040E-05
   -0.1826  0.634293E-04    -0.356512E-06
   -0.1891  0.247908E-04    -0.752258E-07
   -0.1936  0.550685E-05    -0.691712E-08
   -0.1960  0.334934E-06    -0.994157E-10
   -0.1962   0.00000         -0.00000    
