
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10696_1_931546                                      
  Mach  =    0.850
  alpha =    1.954    CLtot =    0.162
  beta  =    0.000

  Sref  =   999.00000
  Bref  =    61.30000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060783034257750     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.806530E-01     0.155802E-01
    0.0003  0.805278E-01     0.155386E-01
    0.0023  0.802775E-01     0.154555E-01
    0.0065  0.797778E-01     0.152904E-01
    0.0126  0.790306E-01     0.150457E-01
    0.0208  0.780382E-01     0.147245E-01
    0.0310  0.768037E-01     0.143312E-01
    0.0431  0.753305E-01     0.138713E-01
    0.0571  0.736229E-01     0.133508E-01
    0.0729  0.716864E-01     0.127768E-01
    0.0904  0.695289E-01     0.121570E-01
    0.1097  0.671637E-01     0.114995E-01
    0.1305  0.646273E-01     0.108130E-01
    0.1529  0.619602E-01     0.101058E-01
    0.1778  0.590409E-01     0.935124E-02
    0.2053  0.558770E-01     0.856112E-02
    0.2342  0.526106E-01     0.777936E-02
    0.2642  0.492649E-01     0.701474E-02
    0.2953  0.458745E-01     0.627525E-02
    0.3274  0.424787E-01     0.556783E-02
    0.3602  0.391164E-01     0.489821E-02
    0.3937  0.358258E-01     0.427085E-02
    0.4267  0.327233E-01     0.370304E-02
    0.4590  0.298154E-01     0.319290E-02
    0.4916  0.270223E-01     0.272627E-02
    0.5242  0.243482E-01     0.230361E-02
    0.5567  0.217975E-01     0.192476E-02
    0.5891  0.193756E-01     0.158890E-02
    0.6210  0.170890E-01     0.129465E-02
    0.6525  0.149437E-01     0.104008E-02
    0.6834  0.129454E-01     0.822803E-03
    0.7135  0.110988E-01     0.640037E-03
    0.7428  0.940741E-02     0.488721E-03
    0.7710  0.787327E-02     0.365591E-03
    0.7981  0.649672E-02     0.267287E-03
    0.8240  0.527632E-02     0.190440E-03
    0.8485  0.420879E-02     0.131767E-03
    0.8716  0.328893E-02     0.881467E-04
    0.8931  0.250967E-02     0.566904E-04
    0.9129  0.186209E-02     0.347939E-04
    0.9310  0.133540E-02     0.201782E-04
    0.9473  0.917910E-03     0.109006E-04
    0.9617  0.597775E-03     0.537508E-05
    0.9742  0.362047E-03     0.234752E-05
    0.9847  0.197571E-03     0.864827E-06
    0.9931  0.919756E-04     0.247128E-06
    0.9994  0.327833E-04     0.465104E-07
    1.0037  0.679478E-05     0.392956E-08
    1.0058  0.395513E-06     0.533613E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060783034257750     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.806530E-01    -0.155802E-01
   -0.0003  0.805278E-01    -0.155386E-01
   -0.0023  0.802775E-01    -0.154555E-01
   -0.0065  0.797778E-01    -0.152904E-01
   -0.0126  0.790306E-01    -0.150457E-01
   -0.0208  0.780382E-01    -0.147245E-01
   -0.0310  0.768037E-01    -0.143312E-01
   -0.0431  0.753305E-01    -0.138713E-01
   -0.0571  0.736229E-01    -0.133508E-01
   -0.0729  0.716864E-01    -0.127768E-01
   -0.0904  0.695289E-01    -0.121570E-01
   -0.1097  0.671637E-01    -0.114995E-01
   -0.1305  0.646273E-01    -0.108130E-01
   -0.1529  0.619602E-01    -0.101058E-01
   -0.1778  0.590409E-01    -0.935124E-02
   -0.2053  0.558770E-01    -0.856112E-02
   -0.2342  0.526106E-01    -0.777936E-02
   -0.2642  0.492649E-01    -0.701474E-02
   -0.2953  0.458745E-01    -0.627525E-02
   -0.3274  0.424787E-01    -0.556783E-02
   -0.3602  0.391164E-01    -0.489821E-02
   -0.3937  0.358258E-01    -0.427085E-02
   -0.4267  0.327233E-01    -0.370304E-02
   -0.4590  0.298154E-01    -0.319290E-02
   -0.4916  0.270223E-01    -0.272627E-02
   -0.5242  0.243482E-01    -0.230361E-02
   -0.5567  0.217975E-01    -0.192476E-02
   -0.5891  0.193756E-01    -0.158890E-02
   -0.6210  0.170890E-01    -0.129465E-02
   -0.6525  0.149437E-01    -0.104008E-02
   -0.6834  0.129454E-01    -0.822803E-03
