
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_13128_19_5a8b94                                     
  Mach  =    0.850
  alpha =    2.327    CLtot =    0.170
  beta  =    0.000

  Sref  =   896.20000
  Bref  =    63.94000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059962464810761     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.847449E-01     0.155610E-01
    0.0003  0.845855E-01     0.155120E-01
    0.0026  0.842668E-01     0.154144E-01
    0.0072  0.836307E-01     0.152206E-01
    0.0141  0.826797E-01     0.149338E-01
    0.0233  0.814179E-01     0.145583E-01
    0.0347  0.798504E-01     0.141000E-01
    0.0482  0.779841E-01     0.135661E-01
    0.0638  0.758273E-01     0.129646E-01
    0.0815  0.733907E-01     0.123050E-01
    0.1012  0.706887E-01     0.115974E-01
    0.1227  0.677483E-01     0.108523E-01
    0.1461  0.646063E-01     0.100808E-01
    0.1699  0.614228E-01     0.932947E-02
    0.1942  0.581947E-01     0.860571E-02
    0.2197  0.547898E-01     0.788434E-02
    0.2465  0.512390E-01     0.717485E-02
    0.2744  0.475883E-01     0.648607E-02
    0.3033  0.438991E-01     0.582573E-02
    0.3330  0.402435E-01     0.520012E-02
    0.3635  0.367013E-01     0.461375E-02
    0.3946  0.333610E-01     0.406911E-02
    0.4263  0.302977E-01     0.356356E-02
    0.4583  0.275105E-01     0.309667E-02
    0.4905  0.249440E-01     0.267029E-02
    0.5228  0.225636E-01     0.228329E-02
    0.5550  0.203463E-01     0.193449E-02
    0.5870  0.182762E-01     0.162256E-02
    0.6187  0.163418E-01     0.134597E-02
    0.6498  0.145341E-01     0.110302E-02
    0.6804  0.128461E-01     0.891820E-03
    0.7102  0.112722E-01     0.710305E-03
    0.7392  0.980783E-02     0.556294E-03
    0.7672  0.844930E-02     0.427495E-03
    0.7940  0.719356E-02     0.321542E-03
    0.8196  0.603830E-02     0.236028E-03
    0.8439  0.498226E-02     0.168532E-03
    0.8667  0.402643E-02     0.116640E-03
    0.8880  0.317576E-02     0.779567E-04
    0.9077  0.243957E-02     0.501101E-04
    0.9256  0.182707E-02     0.308004E-04
    0.9424  0.131159E-02     0.174464E-04
    0.9580  0.881645E-03     0.879716E-05
    0.9715  0.548491E-03     0.391736E-05
    0.9828  0.306130E-03     0.146798E-05
    0.9919  0.145393E-03     0.425995E-06
    0.9988  0.527761E-04     0.812825E-07
    1.0034  0.110973E-04     0.694608E-08
    1.0057  0.651022E-06     0.950131E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
