
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_13400_0_8de241                                      
  Mach  =    0.850
  alpha =    1.920    CLtot =    0.170
  beta  =    0.000

  Sref  =   898.90000
  Bref  =    61.26000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061475677440419     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.848307E-01     0.159283E-01
    0.0003  0.847011E-01     0.158857E-01
    0.0023  0.844418E-01     0.158009E-01
    0.0063  0.839245E-01     0.156324E-01
    0.0123  0.831508E-01     0.153825E-01
    0.0202  0.821236E-01     0.150544E-01
    0.0301  0.808462E-01     0.146527E-01
    0.0418  0.793226E-01     0.141827E-01
    0.0554  0.775576E-01     0.136506E-01
    0.0707  0.755571E-01     0.130636E-01
    0.0878  0.733292E-01     0.124293E-01
    0.1065  0.708858E-01     0.117561E-01
    0.1267  0.682554E-01     0.110526E-01
    0.1493  0.653645E-01     0.102968E-01
    0.1743  0.622263E-01     0.949980E-02
    0.2007  0.589403E-01     0.870112E-02
    0.2283  0.555121E-01     0.791045E-02
    0.2571  0.519655E-01     0.713711E-02
    0.2870  0.483439E-01     0.638964E-02
    0.3177  0.446981E-01     0.567545E-02
    0.3492  0.410758E-01     0.500061E-02
    0.3813  0.375238E-01     0.436982E-02
    0.4139  0.340913E-01     0.378351E-02
    0.4468  0.308219E-01     0.324382E-02
    0.4800  0.277271E-01     0.275390E-02
    0.5132  0.248013E-01     0.231341E-02
    0.5464  0.220425E-01     0.192143E-02
    0.5793  0.194514E-01     0.157645E-02
    0.6119  0.170302E-01     0.127640E-02
    0.6440  0.147814E-01     0.101873E-02
    0.6755  0.127072E-01     0.800449E-03
    0.7062  0.108087E-01     0.618261E-03
    0.7360  0.908626E-02     0.468632E-03
    0.7648  0.753863E-02     0.347898E-03
    0.7924  0.616316E-02     0.252362E-03
    0.8188  0.495569E-02     0.178390E-03
    0.8438  0.391054E-02     0.122491E-03
    0.8673  0.302059E-02     0.813920E-04
    0.8892  0.227737E-02     0.520989E-04
    0.9094  0.167096E-02     0.319430E-04
    0.9279  0.118936E-02     0.186172E-04
    0.9447  0.813184E-03     0.101110E-04
    0.9598  0.527801E-03     0.499959E-05
    0.9728  0.321070E-03     0.220001E-05
    0.9837  0.177348E-03     0.819298E-06
    0.9926  0.838834E-04     0.236615E-06
    0.9992  0.302100E-04     0.447887E-07
    1.0036  0.624926E-05     0.377616E-08
    1.0059  0.360086E-06     0.507951E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061475677440419     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.848307E-01    -0.159283E-01
   -0.0003  0.847011E-01    -0.158857E-01
   -0.0023  0.844418E-01    -0.158009E-01
   -0.0063  0.839245E-01    -0.156324E-01
   -0.0123  0.831508E-01    -0.153825E-01
   -0.0202  0.821236E-01    -0.150544E-01
   -0.0301  0.808462E-01    -0.146527E-01
   -0.0418  0.793226E-01    -0.141827E-01
   -0.0554  0.775576E-01    -0.136506E-01
   -0.0707  0.755571E-01    -0.130636E-01
   -0.0878  0.733292E-01    -0.124293E-01
   -0.1065  0.708858E-01    -0.117561E-01
   -0.1267  0.682554E-01    -0.110526E-01
   -0.1493  0.653645E-01    -0.102968E-01
   -0.1743  0.622263E-01    -0.949980E-02
   -0.2007  0.589403E-01    -0.870112E-02
   -0.2283  0.555121E-01    -0.791045E-02
   -0.2571  0.519655E-01    -0.713711E-02
