
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_13400_15_892bf7                                     
  Mach  =    0.850
  alpha =    2.248    CLtot =    0.183
  beta  =    0.000

  Sref  =   874.50000
  Bref  =    63.40000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060283911671926     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.908581E-01     0.162329E-01
    0.0003  0.906906E-01     0.161825E-01
    0.0025  0.903554E-01     0.160820E-01
    0.0069  0.896864E-01     0.158827E-01
    0.0136  0.886858E-01     0.155875E-01
    0.0223  0.873568E-01     0.152010E-01
    0.0333  0.857030E-01     0.147291E-01
    0.0462  0.837288E-01     0.141790E-01
    0.0613  0.814397E-01     0.135593E-01
    0.0782  0.788437E-01     0.128795E-01
    0.0971  0.759533E-01     0.121499E-01
    0.1178  0.727950E-01     0.113818E-01
    0.1402  0.694285E-01     0.105863E-01
    0.1638  0.659592E-01     0.978806E-02
    0.1884  0.623939E-01     0.899663E-02
    0.2145  0.586853E-01     0.820882E-02
    0.2418  0.548576E-01     0.743455E-02
    0.2702  0.509561E-01     0.668300E-02
    0.2996  0.470350E-01     0.596223E-02
    0.3300  0.431478E-01     0.527891E-02
    0.3610  0.393477E-01     0.463824E-02
    0.3927  0.356881E-01     0.404382E-02
    0.4249  0.322183E-01     0.349494E-02
    0.4575  0.289679E-01     0.299262E-02
    0.4902  0.259338E-01     0.253898E-02
    0.5230  0.231035E-01     0.213293E-02
    0.5558  0.204683E-01     0.177290E-02
    0.5883  0.180224E-01     0.145690E-02
    0.6205  0.157615E-01     0.118253E-02
    0.6522  0.136819E-01     0.947032E-03
    0.6833  0.117794E-01     0.747387E-03
    0.7136  0.100499E-01     0.580388E-03
    0.7430  0.848811E-02     0.442715E-03
    0.7714  0.708828E-02     0.331014E-03
    0.7987  0.584380E-02     0.241976E-03
    0.8248  0.474737E-02     0.172399E-03
    0.8494  0.379109E-02     0.119242E-03
    0.8726  0.296668E-02     0.796735E-04
    0.8943  0.226575E-02     0.511058E-04
    0.9143  0.167998E-02     0.312158E-04
    0.9325  0.120113E-02     0.179615E-04
    0.9487  0.826064E-03     0.967885E-05
    0.9627  0.541972E-03     0.480838E-05
    0.9749  0.331242E-03     0.211853E-05
    0.9851  0.182917E-03     0.788188E-06
    0.9933  0.862941E-04     0.227326E-06
    0.9995  0.310572E-04     0.430406E-07
    1.0037  0.644485E-05     0.363841E-08
    1.0058  0.372896E-06     0.491314E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060283911671926     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.908581E-01    -0.162329E-01
   -0.0003  0.906906E-01    -0.161825E-01
   -0.0025  0.903554E-01    -0.160820E-01
   -0.0069  0.896864E-01    -0.158827E-01
   -0.0136  0.886858E-01    -0.155875E-01
   -0.0223  0.873568E-01    -0.152010E-01
   -0.0333  0.857030E-01    -0.147291E-01
   -0.0462  0.837288E-01    -0.141790E-01
   -0.0613  0.814397E-01    -0.135593E-01
   -0.0782  0.788437E-01    -0.128795E-01
   -0.0971  0.759533E-01    -0.121499E-01
   -0.1178  0.727950E-01    -0.113818E-01
   -0.1402  0.694285E-01    -0.105863E-01
   -0.1638  0.659592E-01    -0.978806E-02
   -0.1884  0.623939E-01    -0.899663E-02
   -0.2145  0.586853E-01    -0.820882E-02
   -0.2418  0.548576E-01    -0.743455E-02
   -0.2702  0.509561E-01    -0.668300E-02
   -0.2996  0.470350E-01    -0.596223E-02
   -0.3300  0.431478E-01    -0.527891E-02
   -0.3610  0.393477E-01    -0.463824E-02
   -0.3927  0.356881E-01    -0.404382E-02
   -0.4249  0.322183E-01    -0.349494E-02
   -0.4575  0.289679E-01    -0.299262E-02
   -0.4902  0.259338E-01    -0.253898E-02
   -0.5230  0.231035E-01    -0.213293E-02
   -0.5558  0.204683E-01    -0.177290E-02
   -0.5883  0.180224E-01    -0.145690E-02
   -0.6205  0.157615E-01    -0.118253E-02
   -0.6522  0.136819E-01    -0.947032E-03
   -0.6833  0.117794E-01    -0.747387E-03
   -0.7136  0.100499E-01    -0.580388E-03
   -0.7430  0.848811E-02    -0.442715E-03
   -0.7714  0.708828E-02    -0.331014E-03
   -0.7987  0.584380E-02    -0.241976E-03
   -0.8248  0.474737E-02    -0.172399E-03
   -0.8494  0.379109E-02    -0.119242E-03
   -0.8726  0.296668E-02    -0.796735E-04
   -0.8943  0.226575E-02    -0.511058E-04
   -0.9143  0.167998E-02    -0.312158E-04
   -0.9325  0.120113E-02    -0.179615E-04
   -0.9487  0.826064E-03    -0.967885E-05
   -0.9627  0.541972E-03    -0.480838E-05
   -0.9749  0.331242E-03    -0.211853E-05
   -0.9851  0.182917E-03    -0.788188E-06
   -0.9933  0.862941E-04    -0.227326E-06
   -0.9995  0.310572E-04    -0.430406E-07
   -1.0037  0.644485E-05    -0.363841E-08
   -1.0058  0.372896E-06    -0.491314E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12933753943217666     
     2Ymax/Bref =   0.20052050473186120     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1293  0.117563E-02     0.394532E-04
    0.1296  0.117248E-02     0.380532E-04
    0.1320  0.115921E-02     0.352727E-04
    0.1367  0.110462E-02     0.300576E-04
    0.1433  0.986359E-03     0.232455E-04
    0.1513  0.808594E-03     0.160836E-04
    0.1603  0.604651E-03     0.979417E-05
    0.1696  0.410165E-03     0.511859E-05
    0.1785  0.246740E-03     0.219515E-05
    0.1866  0.125060E-03     0.711649E-06
    0.1932  0.479260E-04     0.148083E-06
    0.1978  0.105057E-04     0.134762E-07
    0.2002  0.634122E-06     0.192318E-09
    0.2005   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20052050473186120     
     2Ymax/Bref =  -0.12933753943217666     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1293  0.117563E-02    -0.394532E-04
   -0.1296  0.117248E-02    -0.380532E-04
   -0.1320  0.115921E-02    -0.352727E-04
   -0.1367  0.110462E-02    -0.300576E-04
   -0.1433  0.986359E-03    -0.232455E-04
   -0.1513  0.808594E-03    -0.160836E-04
   -0.1603  0.604651E-03    -0.979417E-05
   -0.1696  0.410165E-03    -0.511859E-05
   -0.1785  0.246740E-03    -0.219515E-05
   -0.1866  0.125060E-03    -0.711649E-06
   -0.1932  0.479260E-04    -0.148083E-06
   -0.1978  0.105057E-04    -0.134762E-07
   -0.2002  0.634122E-06    -0.192318E-09
   -0.2005   0.00000         -0.00000    
