
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_13648_10_ac9aaa                                     
  Mach  =    0.850
  alpha =    2.326    CLtot =    0.181
  beta  =    0.000

  Sref  =   860.30000
  Bref  =    62.22000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060912889746061     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.902363E-01     0.160321E-01
    0.0003  0.900693E-01     0.159821E-01
    0.0025  0.897353E-01     0.158824E-01
    0.0069  0.890685E-01     0.156844E-01
    0.0136  0.880714E-01     0.153913E-01
    0.0223  0.867474E-01     0.150076E-01
    0.0332  0.851006E-01     0.145390E-01
    0.0462  0.831357E-01     0.139930E-01
    0.0612  0.808590E-01     0.133778E-01
    0.0782  0.782784E-01     0.127030E-01
    0.0971  0.754053E-01     0.119788E-01
    0.1177  0.722617E-01     0.112164E-01
    0.1401  0.689016E-01     0.104270E-01
    0.1638  0.654026E-01     0.963148E-02
    0.1887  0.617619E-01     0.884004E-02
    0.2150  0.579501E-01     0.805384E-02
    0.2426  0.539926E-01     0.728335E-02
    0.2713  0.499335E-01     0.653830E-02
    0.3010  0.458382E-01     0.582726E-02
    0.3316  0.417857E-01     0.515712E-02
    0.3630  0.378598E-01     0.453281E-02
    0.3950  0.341513E-01     0.395701E-02
    0.4270  0.307840E-01     0.343379E-02
    0.4591  0.277540E-01     0.296057E-02
    0.4913  0.249654E-01     0.253164E-02
    0.5236  0.223842E-01     0.214557E-02
    0.5559  0.199898E-01     0.180081E-02
    0.5879  0.177681E-01     0.149558E-02
    0.6196  0.157086E-01     0.122786E-02
    0.6508  0.138029E-01     0.995436E-03
    0.6814  0.120440E-01     0.795875E-03
    0.7113  0.104256E-01     0.626612E-03
    0.7403  0.894246E-02     0.484978E-03
    0.7683  0.758969E-02     0.368241E-03
    0.7951  0.636308E-02     0.273648E-03
    0.8208  0.525902E-02     0.198468E-03
    0.8451  0.427459E-02     0.140025E-03
    0.8679  0.340749E-02     0.957342E-04
    0.8892  0.265569E-02     0.631383E-04
    0.9089  0.201669E-02     0.399464E-04
    0.9268  0.148676E-02     0.240761E-04
    0.9436  0.104552E-02     0.133829E-04
    0.9589  0.688785E-03     0.665387E-05
    0.9722  0.421327E-03     0.292712E-05
    0.9833  0.231931E-03     0.108504E-05
    0.9923  0.108747E-03     0.311532E-06
    0.9990  0.389302E-04     0.587916E-07
    1.0035  0.807447E-05     0.496925E-08
    1.0058  0.469121E-06     0.673616E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060912889746061     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
