
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_13868_10_76df63                                     
  Mach  =    0.850
  alpha =    1.802    CLtot =    0.163
  beta  =    0.000

  Sref  =   985.50000
  Bref  =    65.15000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063637759017650     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.811906E-01     0.151635E-01
    0.0003  0.810569E-01     0.151200E-01
    0.0024  0.807894E-01     0.150331E-01
    0.0067  0.802556E-01     0.148607E-01
    0.0131  0.794575E-01     0.146052E-01
    0.0216  0.783978E-01     0.142701E-01
    0.0322  0.770804E-01     0.138602E-01
    0.0447  0.755097E-01     0.133812E-01
    0.0592  0.736911E-01     0.128400E-01
    0.0756  0.716310E-01     0.122441E-01
    0.0939  0.693379E-01     0.116017E-01
    0.1139  0.668277E-01     0.109218E-01
    0.1355  0.641341E-01     0.102136E-01
    0.1591  0.612165E-01     0.947351E-02
    0.1847  0.580534E-01     0.871228E-02
    0.2116  0.546987E-01     0.795292E-02
    0.2399  0.511816E-01     0.720558E-02
    0.2693  0.475479E-01     0.647975E-02
    0.2998  0.438608E-01     0.578380E-02
    0.3312  0.401981E-01     0.512454E-02
    0.3633  0.366400E-01     0.450687E-02
    0.3953  0.333550E-01     0.394571E-02
    0.4268  0.303646E-01     0.343860E-02
    0.4587  0.275604E-01     0.297260E-02
    0.4908  0.249227E-01     0.254765E-02
    0.5229  0.224401E-01     0.216333E-02
    0.5550  0.201065E-01     0.181883E-02
    0.5869  0.179179E-01     0.151293E-02
    0.6184  0.158716E-01     0.124402E-02
    0.6495  0.139655E-01     0.101016E-02
    0.6800  0.121975E-01     0.809135E-03
    0.7097  0.105657E-01     0.638487E-03
    0.7385  0.906801E-02     0.495602E-03
    0.7664  0.770191E-02     0.377756E-03
    0.7931  0.646489E-02     0.282175E-03
    0.8186  0.535420E-02     0.206090E-03
    0.8428  0.436704E-02     0.146784E-03
    0.8655  0.350048E-02     0.101642E-03
    0.8867  0.275145E-02     0.681935E-04
    0.9063  0.211651E-02     0.441473E-04
    0.9242  0.159112E-02     0.274331E-04
    0.9403  0.116816E-02     0.162382E-04
    0.9556  0.808571E-03     0.860367E-05
    0.9698  0.506952E-03     0.385226E-05
    0.9818  0.284778E-03     0.145033E-05
    0.9915  0.135967E-03     0.422552E-06
    0.9988  0.495845E-04     0.809000E-07
    1.0036  0.104599E-04     0.693017E-08
    1.0061  0.613496E-06     0.947763E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063637759017650     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.811906E-01    -0.151635E-01
   -0.0003  0.810569E-01    -0.151200E-01
   -0.0024  0.807894E-01    -0.150331E-01
   -0.0067  0.802556E-01    -0.148607E-01
   -0.0131  0.794575E-01    -0.146052E-01
   -0.0216  0.783978E-01    -0.142701E-01
   -0.0322  0.770804E-01    -0.138602E-01
   -0.0447  0.755097E-01    -0.133812E-01
   -0.0592  0.736911E-01    -0.128400E-01
   -0.0756  0.716310E-01    -0.122441E-01
   -0.0939  0.693379E-01    -0.116017E-01
   -0.1139  0.668277E-01    -0.109218E-01
   -0.1355  0.641341E-01    -0.102136E-01
   -0.1591  0.612165E-01    -0.947351E-02
   -0.1847  0.580534E-01    -0.871228E-02
   -0.2116  0.546987E-01    -0.795292E-02
   -0.2399  0.511816E-01    -0.720558E-02
   -0.2693  0.475479E-01    -0.647975E-02
   -0.2998  0.438608E-01    -0.578380E-02
   -0.3312  0.401981E-01    -0.512454E-02
   -0.3633  0.366400E-01    -0.450687E-02
   -0.3953  0.333550E-01    -0.394571E-02
   -0.4268  0.303646E-01    -0.343860E-02
   -0.4587  0.275604E-01    -0.297260E-02
   -0.4908  0.249227E-01    -0.254765E-02
   -0.5229  0.224401E-01    -0.216333E-02
   -0.5550  0.201065E-01    -0.181883E-02
   -0.5869  0.179179E-01    -0.151293E-02
   -0.6184  0.158716E-01    -0.124402E-02
   -0.6495  0.139655E-01    -0.101016E-02
   -0.6800  0.121975E-01    -0.809135E-03
   -0.7097  0.105657E-01    -0.638487E-03
   -0.7385  0.906801E-02    -0.495602E-03
   -0.7664  0.770191E-02    -0.377756E-03
   -0.7931  0.646489E-02    -0.282175E-03
   -0.8186  0.535420E-02    -0.206090E-03
   -0.8428  0.436704E-02    -0.146784E-03
   -0.8655  0.350048E-02    -0.101642E-03
   -0.8867  0.275145E-02    -0.681935E-04
   -0.9063  0.211651E-02    -0.441473E-04
   -0.9242  0.159112E-02    -0.274331E-04
   -0.9403  0.116816E-02    -0.162382E-04
   -0.9556  0.808571E-03    -0.860367E-05
   -0.9698  0.506952E-03    -0.385226E-05
   -0.9818  0.284778E-03    -0.145033E-05
   -0.9915  0.135967E-03    -0.422552E-06
   -0.9988  0.495845E-04    -0.809000E-07
   -1.0036  0.104599E-04    -0.693017E-08
   -1.0061  0.613496E-06    -0.947763E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12586339217191095     
     2Ymax/Bref =   0.19513430544896390     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1259  0.954741E-03     0.309903E-04
    0.1262  0.952620E-03     0.298837E-04
    0.1285  0.943230E-03     0.276837E-04
    0.1330  0.901903E-03     0.235473E-04
    0.1394  0.806294E-03     0.181317E-04
    0.1472  0.656619E-03     0.124514E-04
    0.1560  0.484153E-03     0.751094E-05
    0.1650  0.323523E-03     0.388968E-05
    0.1738  0.192305E-03     0.165574E-05
    0.1816  0.966434E-04     0.533785E-06
    0.1880  0.368272E-04     0.110636E-06
    0.1925  0.804541E-05     0.100417E-07
    0.1948  0.484759E-06     0.143070E-09
    0.1951   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19513430544896390     
     2Ymax/Bref =  -0.12586339217191095     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1259  0.954741E-03    -0.309903E-04
   -0.1262  0.952620E-03    -0.298837E-04
   -0.1285  0.943230E-03    -0.276837E-04
   -0.1330  0.901903E-03    -0.235473E-04
   -0.1394  0.806294E-03    -0.181317E-04
   -0.1472  0.656619E-03    -0.124514E-04
   -0.1560  0.484153E-03    -0.751094E-05
   -0.1650  0.323523E-03    -0.388968E-05
   -0.1738  0.192305E-03    -0.165574E-05
   -0.1816  0.966434E-04    -0.533785E-06
   -0.1880  0.368272E-04    -0.110636E-06
   -0.1925  0.804541E-05    -0.100417E-07
   -0.1948  0.484759E-06    -0.143070E-09
   -0.1951   0.00000         -0.00000    
