
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_1400_18_3464ca                                      
  Mach  =    0.850
  alpha =    2.031    CLtot =    0.163
  beta  =    0.000

  Sref  =   961.90000
  Bref  =    59.59000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062191642893101     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.811183E-01     0.160041E-01
    0.0003  0.809889E-01     0.159592E-01
    0.0025  0.807300E-01     0.158698E-01
    0.0069  0.802134E-01     0.156921E-01
    0.0135  0.794409E-01     0.154287E-01
    0.0223  0.784156E-01     0.150832E-01
    0.0331  0.771411E-01     0.146604E-01
    0.0461  0.756226E-01     0.141660E-01
    0.0611  0.738658E-01     0.136069E-01
    0.0780  0.718785E-01     0.129906E-01
    0.0968  0.696704E-01     0.123256E-01
    0.1174  0.672570E-01     0.116207E-01
    0.1397  0.646733E-01     0.108850E-01
    0.1632  0.619912E-01     0.101411E-01
    0.1878  0.592089E-01     0.939716E-02
    0.2137  0.562869E-01     0.864906E-02
    0.2409  0.532413E-01     0.790553E-02
    0.2692  0.500971E-01     0.717487E-02
    0.2985  0.468881E-01     0.646470E-02
    0.3287  0.436539E-01     0.578175E-02
    0.3596  0.404393E-01     0.513161E-02
    0.3914  0.372596E-01     0.451218E-02
    0.4238  0.341475E-01     0.392803E-02
    0.4566  0.311446E-01     0.338809E-02
    0.4895  0.282549E-01     0.289371E-02
    0.5226  0.254828E-01     0.244549E-02
    0.5556  0.228337E-01     0.204335E-02
    0.5884  0.203143E-01     0.168654E-02
    0.6208  0.179314E-01     0.137366E-02
    0.6527  0.156917E-01     0.110277E-02
    0.6840  0.136013E-01     0.871410E-03
    0.7146  0.116655E-01     0.676704E-03
    0.7442  0.988831E-02     0.515466E-03
    0.7728  0.827228E-02     0.384285E-03
    0.8003  0.681844E-02     0.279628E-03
    0.8265  0.552603E-02     0.197941E-03
    0.8514  0.439250E-02     0.135742E-03
    0.8748  0.341341E-02     0.897033E-04
    0.8966  0.258249E-02     0.567287E-04
    0.9167  0.189168E-02     0.340106E-04
    0.9351  0.133113E-02     0.190762E-04
    0.9516  0.889124E-03     0.981678E-05
    0.9655  0.566916E-03     0.467897E-05
    0.9770  0.343139E-03     0.204482E-05
    0.9866  0.187493E-03     0.754711E-06
    0.9943  0.875608E-04     0.216258E-06
    1.0001  0.313323E-04     0.408194E-07
    1.0040  0.651272E-05     0.345645E-08
    1.0060  0.379428E-06     0.469750E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062191642893101     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.811183E-01    -0.160041E-01
   -0.0003  0.809889E-01    -0.159592E-01
   -0.0025  0.807300E-01    -0.158698E-01
   -0.0069  0.802134E-01    -0.156921E-01
   -0.0135  0.794409E-01    -0.154287E-01
   -0.0223  0.784156E-01    -0.150832E-01
   -0.0331  0.771411E-01    -0.146604E-01
   -0.0461  0.756226E-01    -0.141660E-01
   -0.0611  0.738658E-01    -0.136069E-01
   -0.0780  0.718785E-01    -0.129906E-01
   -0.0968  0.696704E-01    -0.123256E-01
   -0.1174  0.672570E-01    -0.116207E-01
   -0.1397  0.646733E-01    -0.108850E-01
   -0.1632  0.619912E-01    -0.101411E-01
   -0.1878  0.592089E-01    -0.939716E-02
   -0.2137  0.562869E-01    -0.864906E-02
   -0.2409  0.532413E-01    -0.790553E-02
   -0.2692  0.500971E-01    -0.717487E-02
   -0.2985  0.468881E-01    -0.646470E-02
   -0.3287  0.436539E-01    -0.578175E-02
   -0.3596  0.404393E-01    -0.513161E-02
   -0.3914  0.372596E-01    -0.451218E-02
   -0.4238  0.341475E-01    -0.392803E-02
   -0.4566  0.311446E-01    -0.338809E-02
   -0.4895  0.282549E-01    -0.289371E-02
   -0.5226  0.254828E-01    -0.244549E-02
   -0.5556  0.228337E-01    -0.204335E-02
   -0.5884  0.203143E-01    -0.168654E-02
   -0.6208  0.179314E-01    -0.137366E-02
   -0.6527  0.156917E-01    -0.110277E-02
   -0.6840  0.136013E-01    -0.871410E-03
   -0.7146  0.116655E-01    -0.676704E-03
   -0.7442  0.988831E-02    -0.515466E-03
   -0.7728  0.827228E-02    -0.384285E-03
   -0.8003  0.681844E-02    -0.279628E-03
   -0.8265  0.552603E-02    -0.197941E-03
   -0.8514  0.439250E-02    -0.135742E-03
   -0.8748  0.341341E-02    -0.897033E-04
   -0.8966  0.258249E-02    -0.567287E-04
   -0.9167  0.189168E-02    -0.340106E-04
   -0.9351  0.133113E-02    -0.190762E-04
   -0.9516  0.889124E-03    -0.981678E-05
   -0.9655  0.566916E-03    -0.467897E-05
   -0.9770  0.343139E-03    -0.204482E-05
   -0.9866  0.187493E-03    -0.754711E-06
   -0.9943  0.875608E-04    -0.216258E-06
   -1.0001  0.313323E-04    -0.408194E-07
   -1.0040  0.651272E-05    -0.345645E-08
   -1.0060  0.379428E-06    -0.469750E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13760698103708674     
     2Ymax/Bref =   0.21334116462493705     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1376  0.875830E-03     0.311797E-04
    0.1379  0.873445E-03     0.300700E-04
    0.1405  0.863392E-03     0.278665E-04
    0.1454  0.822071E-03     0.237355E-04
    0.1524  0.732884E-03     0.183458E-04
    0.1610  0.599801E-03     0.126883E-04
    0.1705  0.448192E-03     0.772622E-05
    0.1804  0.304072E-03     0.403870E-05
    0.1900  0.183000E-03     0.173248E-05
    0.1985  0.927822E-04     0.561739E-06
    0.2055  0.355583E-04     0.116890E-06
    0.2105  0.779379E-05     0.106365E-07
    0.2130  0.470351E-06     0.151770E-09
    0.2133   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.21334116462493705     
     2Ymax/Bref =  -0.13760698103708674     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1376  0.875830E-03    -0.311797E-04
   -0.1379  0.873445E-03    -0.300700E-04
   -0.1405  0.863392E-03    -0.278665E-04
   -0.1454  0.822071E-03    -0.237355E-04
   -0.1524  0.732884E-03    -0.183458E-04
   -0.1610  0.599801E-03    -0.126883E-04
   -0.1705  0.448192E-03    -0.772622E-05
   -0.1804  0.304072E-03    -0.403870E-05
   -0.1900  0.183000E-03    -0.173248E-05
   -0.1985  0.927822E-04    -0.561739E-06
   -0.2055  0.355583E-04    -0.116890E-06
   -0.2105  0.779379E-05    -0.106365E-07
   -0.2130  0.470351E-06    -0.151770E-09
   -0.2133   0.00000         -0.00000    
