
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_15668_9_8e47b1                                      
  Mach  =    0.850
  alpha =    1.747    CLtot =    0.158
  beta  =    0.000

  Sref  =   970.60000
  Bref  =    63.43000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060822954437965     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.788099E-01     0.146041E-01
    0.0003  0.786782E-01     0.145607E-01
    0.0025  0.784149E-01     0.144740E-01
    0.0069  0.778894E-01     0.143020E-01
    0.0135  0.771039E-01     0.140470E-01
    0.0222  0.760616E-01     0.137127E-01
    0.0331  0.747668E-01     0.133038E-01
    0.0460  0.732249E-01     0.128262E-01
    0.0609  0.714420E-01     0.122866E-01
    0.0778  0.694257E-01     0.116926E-01
    0.0965  0.671852E-01     0.110526E-01
    0.1171  0.647348E-01     0.103753E-01
    0.1393  0.621016E-01     0.967008E-02
    0.1628  0.593344E-01     0.895693E-02
    0.1875  0.564189E-01     0.824458E-02
    0.2135  0.533171E-01     0.753196E-02
    0.2407  0.500488E-01     0.682847E-02
    0.2691  0.466509E-01     0.614299E-02
    0.2984  0.431743E-01     0.548356E-02
    0.3287  0.396762E-01     0.485702E-02
    0.3597  0.362149E-01     0.426879E-02
    0.3914  0.328498E-01     0.372274E-02
    0.4236  0.296380E-01     0.321640E-02
    0.4564  0.266291E-01     0.275132E-02
    0.4894  0.238288E-01     0.233156E-02
    0.5224  0.212186E-01     0.195600E-02
    0.5554  0.187878E-01     0.162318E-02
    0.5881  0.165299E-01     0.133126E-02
    0.6205  0.144408E-01     0.107802E-02
    0.6525  0.125171E-01     0.860928E-03
    0.6837  0.107560E-01     0.677197E-03
    0.7143  0.915403E-02     0.523843E-03
    0.7439  0.770743E-02     0.397767E-03
    0.7725  0.641163E-02     0.295827E-03
    0.8000  0.526130E-02     0.214911E-03
    0.8262  0.425029E-02     0.152000E-03
    0.8510  0.337166E-02     0.104225E-03
    0.8744  0.261786E-02     0.689162E-04
    0.8962  0.198083E-02     0.436375E-04
    0.9163  0.145231E-02     0.262135E-04
    0.9347  0.102402E-02     0.147438E-04
    0.9506  0.696418E-03     0.779805E-05
    0.9642  0.453515E-03     0.384105E-05
    0.9760  0.273934E-03     0.167519E-05
    0.9859  0.149146E-03     0.617126E-06
    0.9938  0.695310E-04     0.176788E-06
    0.9998  0.249267E-04     0.334166E-07
    1.0038  0.519029E-05     0.283241E-08
    1.0058  0.300780E-06     0.383037E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060822954437965     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.788099E-01    -0.146041E-01
   -0.0003  0.786782E-01    -0.145607E-01
   -0.0025  0.784149E-01    -0.144740E-01
   -0.0069  0.778894E-01    -0.143020E-01
   -0.0135  0.771039E-01    -0.140470E-01
   -0.0222  0.760616E-01    -0.137127E-01
   -0.0331  0.747668E-01    -0.133038E-01
   -0.0460  0.732249E-01    -0.128262E-01
   -0.0609  0.714420E-01    -0.122866E-01
   -0.0778  0.694257E-01    -0.116926E-01
   -0.0965  0.671852E-01    -0.110526E-01
   -0.1171  0.647348E-01    -0.103753E-01
   -0.1393  0.621016E-01    -0.967008E-02
   -0.1628  0.593344E-01    -0.895693E-02
   -0.1875  0.564189E-01    -0.824458E-02
   -0.2135  0.533171E-01    -0.753196E-02
   -0.2407  0.500488E-01    -0.682847E-02
   -0.2691  0.466509E-01    -0.614299E-02
   -0.2984  0.431743E-01    -0.548356E-02
   -0.3287  0.396762E-01    -0.485702E-02
   -0.3597  0.362149E-01    -0.426879E-02
   -0.3914  0.328498E-01    -0.372274E-02
   -0.4236  0.296380E-01    -0.321640E-02
   -0.4564  0.266291E-01    -0.275132E-02
   -0.4894  0.238288E-01    -0.233156E-02
   -0.5224  0.212186E-01    -0.195600E-02
   -0.5554  0.187878E-01    -0.162318E-02
   -0.5881  0.165299E-01    -0.133126E-02
   -0.6205  0.144408E-01    -0.107802E-02
   -0.6525  0.125171E-01    -0.860928E-03
   -0.6837  0.107560E-01    -0.677197E-03
   -0.7143  0.915403E-02    -0.523843E-03
   -0.7439  0.770743E-02    -0.397767E-03
   -0.7725  0.641163E-02    -0.295827E-03
   -0.8000  0.526130E-02    -0.214911E-03
   -0.8262  0.425029E-02    -0.152000E-03
   -0.8510  0.337166E-02    -0.104225E-03
   -0.8744  0.261786E-02    -0.689162E-04
   -0.8962  0.198083E-02    -0.436375E-04
   -0.9163  0.145231E-02    -0.262135E-04
   -0.9347  0.102402E-02    -0.147438E-04
   -0.9506  0.696418E-03    -0.779805E-05
   -0.9642  0.453515E-03    -0.384105E-05
   -0.9760  0.273934E-03    -0.167519E-05
   -0.9859  0.149146E-03    -0.617126E-06
   -0.9938  0.695310E-04    -0.176788E-06
   -0.9998  0.249267E-04    -0.334166E-07
   -1.0038  0.519029E-05    -0.283241E-08
