
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_16368_5_929df4                                      
  Mach  =    0.850
  alpha =    1.721    CLtot =    0.146
  beta  =    0.000

  Sref  =  1114.50000
  Bref  =    66.74000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062001798022178     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.729878E-01     0.141985E-01
    0.0003  0.728744E-01     0.141601E-01
    0.0024  0.726477E-01     0.140834E-01
    0.0066  0.721951E-01     0.139311E-01
    0.0129  0.715184E-01     0.137052E-01
    0.0212  0.706200E-01     0.134089E-01
    0.0316  0.695030E-01     0.130460E-01
    0.0439  0.681714E-01     0.126216E-01
    0.0582  0.666302E-01     0.121412E-01
    0.0743  0.648857E-01     0.116115E-01
    0.0922  0.629469E-01     0.110393E-01
    0.1118  0.608305E-01     0.104323E-01
    0.1331  0.585708E-01     0.979802E-02
    0.1558  0.561976E-01     0.914692E-02
    0.1799  0.537078E-01     0.848652E-02
    0.2052  0.510984E-01     0.782199E-02
    0.2318  0.483858E-01     0.716089E-02
    0.2595  0.455937E-01     0.651042E-02
    0.2882  0.427499E-01     0.587718E-02
    0.3178  0.398844E-01     0.526703E-02
    0.3481  0.370279E-01     0.468496E-02
    0.3789  0.342142E-01     0.413498E-02
    0.4111  0.313962E-01     0.360544E-02
    0.4443  0.285994E-01     0.310203E-02
    0.4778  0.259085E-01     0.264171E-02
    0.5113  0.233259E-01     0.222503E-02
    0.5448  0.208557E-01     0.185192E-02
    0.5781  0.185037E-01     0.152166E-02
    0.6110  0.162770E-01     0.123296E-02
    0.6434  0.141830E-01     0.983961E-03
    0.6751  0.122290E-01     0.772295E-03
    0.7061  0.104213E-01     0.595194E-03
    0.7362  0.876549E-02     0.449559E-03
    0.7652  0.726538E-02     0.332064E-03
    0.7931  0.592323E-02     0.239258E-03
    0.8197  0.473941E-02     0.167667E-03
    0.8450  0.371224E-02     0.113889E-03
    0.8687  0.283798E-02     0.746907E-04
    0.8908  0.211077E-02     0.470761E-04
    0.9112  0.152262E-02     0.283567E-04
    0.9298  0.106288E-02     0.162000E-04
    0.9465  0.718230E-03     0.870012E-05
    0.9611  0.466685E-03     0.431093E-05
    0.9738  0.285126E-03     0.190136E-05
    0.9844  0.158037E-03     0.708319E-06
    0.9930  0.746320E-04     0.203976E-06
    0.9994  0.266990E-04     0.384110E-07
    1.0038  0.548946E-05     0.322343E-08
    1.0059  0.316162E-06     0.433416E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062001798022178     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.729878E-01    -0.141985E-01
   -0.0003  0.728744E-01    -0.141601E-01
   -0.0024  0.726477E-01    -0.140834E-01
   -0.0066  0.721951E-01    -0.139311E-01
   -0.0129  0.715184E-01    -0.137052E-01
   -0.0212  0.706200E-01    -0.134089E-01
   -0.0316  0.695030E-01    -0.130460E-01
   -0.0439  0.681714E-01    -0.126216E-01
   -0.0582  0.666302E-01    -0.121412E-01
   -0.0743  0.648857E-01    -0.116115E-01
   -0.0922  0.629469E-01    -0.110393E-01
   -0.1118  0.608305E-01    -0.104323E-01
   -0.1331  0.585708E-01    -0.979802E-02
   -0.1558  0.561976E-01    -0.914692E-02
   -0.1799  0.537078E-01    -0.848652E-02
   -0.2052  0.510984E-01    -0.782199E-02
   -0.2318  0.483858E-01    -0.716089E-02
   -0.2595  0.455937E-01    -0.651042E-02
   -0.2882  0.427499E-01    -0.587718E-02
   -0.3178  0.398844E-01    -0.526703E-02
   -0.3481  0.370279E-01    -0.468496E-02
   -0.3789  0.342142E-01    -0.413498E-02
   -0.4111  0.313962E-01    -0.360544E-02
   -0.4443  0.285994E-01    -0.310203E-02
   -0.4778  0.259085E-01    -0.264171E-02
   -0.5113  0.233259E-01    -0.222503E-02
   -0.5448  0.208557E-01    -0.185192E-02
   -0.5781  0.185037E-01    -0.152166E-02
   -0.6110  0.162770E-01    -0.123296E-02
   -0.6434  0.141830E-01    -0.983961E-03
   -0.6751  0.122290E-01    -0.772295E-03
   -0.7061  0.104213E-01    -0.595194E-03
   -0.7362  0.876549E-02    -0.449559E-03
   -0.7652  0.726538E-02    -0.332064E-03
   -0.7931  0.592323E-02    -0.239258E-03
   -0.8197  0.473941E-02    -0.167667E-03
   -0.8450  0.371224E-02    -0.113889E-03
   -0.8687  0.283798E-02    -0.746907E-04
   -0.8908  0.211077E-02    -0.470761E-04
   -0.9112  0.152262E-02    -0.283567E-04
