
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_17176_13_e3553a                                     
  Mach  =    0.850
  alpha =    1.771    CLtot =    0.150
  beta  =    0.000

  Sref  =  1206.40000
  Bref  =    77.63000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0069328867705785     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.746239E-01     0.139135E-01
    0.0003  0.744782E-01     0.138692E-01
    0.0027  0.741869E-01     0.137807E-01
    0.0074  0.736051E-01     0.136053E-01
    0.0145  0.727346E-01     0.133457E-01
    0.0239  0.715773E-01     0.130061E-01
    0.0356  0.701352E-01     0.125918E-01
    0.0496  0.684112E-01     0.121097E-01
    0.0657  0.664101E-01     0.115674E-01
    0.0839  0.641423E-01     0.109739E-01
    0.1041  0.616432E-01     0.103384E-01
    0.1250  0.591138E-01     0.970732E-02
    0.1464  0.565851E-01     0.908813E-02
    0.1694  0.539279E-01     0.845385E-02
    0.1938  0.511568E-01     0.781257E-02
    0.2196  0.482986E-01     0.717214E-02
    0.2466  0.453863E-01     0.653987E-02
    0.2748  0.424534E-01     0.592242E-02
    0.3039  0.395332E-01     0.532558E-02
    0.3340  0.366392E-01     0.475024E-02
    0.3649  0.337967E-01     0.420115E-02
    0.3964  0.310388E-01     0.368557E-02
    0.4284  0.283748E-01     0.320584E-02
    0.4607  0.258104E-01     0.276357E-02
    0.4933  0.233519E-01     0.235970E-02
    0.5259  0.210054E-01     0.199453E-02
    0.5585  0.187770E-01     0.166772E-02
    0.5908  0.166723E-01     0.137838E-02
    0.6228  0.146961E-01     0.112509E-02
    0.6543  0.128524E-01     0.906026E-03
    0.6852  0.111440E-01     0.718957E-03
    0.7154  0.957252E-02     0.561389E-03
    0.7446  0.813845E-02     0.430619E-03
    0.7729  0.684076E-02     0.323822E-03
    0.8000  0.567712E-02     0.238136E-03
    0.8259  0.464379E-02     0.170726E-03
    0.8504  0.373572E-02     0.118860E-03
    0.8735  0.294667E-02     0.799598E-04
    0.8950  0.226957E-02     0.516454E-04
    0.9149  0.169728E-02     0.317648E-04
    0.9330  0.122382E-02     0.184043E-04
    0.9492  0.846654E-03     0.994432E-05
    0.9633  0.555621E-03     0.491812E-05
    0.9756  0.337563E-03     0.214810E-05
    0.9859  0.183987E-03     0.789489E-06
    0.9942  0.852762E-04     0.224716E-06
    1.0004  0.302235E-04     0.421085E-07
    1.0046  0.623412E-05     0.354407E-08
    1.0067  0.361882E-06     0.480034E-10
    1.0069   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0069328867705785     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.746239E-01    -0.139135E-01
   -0.0003  0.744782E-01    -0.138692E-01
   -0.0027  0.741869E-01    -0.137807E-01
   -0.0074  0.736051E-01    -0.136053E-01
   -0.0145  0.727346E-01    -0.133457E-01
   -0.0239  0.715773E-01    -0.130061E-01
   -0.0356  0.701352E-01    -0.125918E-01
