
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_17176_3_e98715                                      
  Mach  =    0.850
  alpha =    1.841    CLtot =    0.166
  beta  =    0.000

  Sref  =   961.10000
  Bref  =    72.02000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0066259372396558     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.826912E-01     0.155027E-01
    0.0003  0.825514E-01     0.154584E-01
    0.0024  0.822717E-01     0.153701E-01
    0.0067  0.817135E-01     0.151948E-01
    0.0131  0.808788E-01     0.149350E-01
    0.0216  0.797708E-01     0.145944E-01
    0.0321  0.783936E-01     0.141780E-01
    0.0447  0.767525E-01     0.136916E-01
    0.0592  0.748544E-01     0.131424E-01
    0.0755  0.727083E-01     0.125380E-01
    0.0938  0.703281E-01     0.118871E-01
    0.1137  0.677473E-01     0.111986E-01
    0.1353  0.649946E-01     0.104817E-01
    0.1584  0.620842E-01     0.975040E-02
    0.1827  0.590144E-01     0.901395E-02
    0.2084  0.557852E-01     0.827726E-02
    0.2353  0.524310E-01     0.754945E-02
    0.2633  0.489957E-01     0.683896E-02
    0.2924  0.455306E-01     0.615321E-02
    0.3223  0.420920E-01     0.549841E-02
    0.3533  0.387019E-01     0.486942E-02
    0.3852  0.354184E-01     0.427152E-02
    0.4177  0.322952E-01     0.371689E-02
    0.4505  0.293261E-01     0.320668E-02
    0.4835  0.265075E-01     0.274139E-02
    0.5166  0.238384E-01     0.232094E-02
    0.5497  0.213194E-01     0.194462E-02
    0.5825  0.189515E-01     0.161119E-02
    0.6149  0.167357E-01     0.131888E-02
    0.6469  0.146725E-01     0.106552E-02
    0.6783  0.127620E-01     0.848569E-03
    0.7088  0.110034E-01     0.665206E-03
    0.7385  0.939486E-02     0.512423E-03
    0.7672  0.793395E-02     0.387094E-03
    0.7947  0.661722E-02     0.286053E-03
    0.8210  0.544047E-02     0.206165E-03
    0.8458  0.439886E-02     0.144386E-03
    0.8693  0.348713E-02     0.978176E-04
    0.8911  0.269986E-02     0.637498E-04
    0.9112  0.203176E-02     0.396946E-04
    0.9296  0.147808E-02     0.234100E-04
    0.9462  0.103425E-02     0.129194E-04
    0.9609  0.688103E-03     0.650524E-05
    0.9737  0.425259E-03     0.288430E-05
    0.9845  0.236274E-03     0.107714E-05
    0.9932  0.111788E-03     0.311540E-06
    0.9998  0.403982E-04     0.592166E-07
    1.0042  0.844479E-05     0.503585E-08
    1.0064  0.492066E-06     0.684498E-10
    1.0066   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0066259372396558     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.826912E-01    -0.155027E-01
   -0.0003  0.825514E-01    -0.154584E-01
   -0.0024  0.822717E-01    -0.153701E-01
   -0.0067  0.817135E-01    -0.151948E-01
   -0.0131  0.808788E-01    -0.149350E-01
   -0.0216  0.797708E-01    -0.145944E-01
   -0.0321  0.783936E-01    -0.141780E-01
   -0.0447  0.767525E-01    -0.136916E-01
   -0.0592  0.748544E-01    -0.131424E-01
   -0.0755  0.727083E-01    -0.125380E-01
