
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_17328_11_d51faf                                     
  Mach  =    0.850
  alpha =    1.906    CLtot =    0.161
  beta  =    0.000

  Sref  =   980.70000
  Bref  =    64.58000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064013626509756     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.803900E-01     0.151653E-01
    0.0003  0.802588E-01     0.151224E-01
    0.0024  0.799965E-01     0.150369E-01
    0.0067  0.794727E-01     0.148670E-01
    0.0130  0.786897E-01     0.146151E-01
    0.0215  0.776500E-01     0.142848E-01
    0.0320  0.763575E-01     0.138808E-01
    0.0445  0.748167E-01     0.134086E-01
    0.0589  0.730329E-01     0.128749E-01
    0.0753  0.710129E-01     0.122870E-01
    0.0934  0.687656E-01     0.116531E-01
    0.1133  0.663059E-01     0.109820E-01
    0.1348  0.636655E-01     0.102825E-01
    0.1577  0.608924E-01     0.957218E-02
    0.1817  0.579778E-01     0.885948E-02
    0.2070  0.548963E-01     0.814537E-02
    0.2335  0.516768E-01     0.743873E-02
    0.2612  0.483668E-01     0.674781E-02
    0.2898  0.450148E-01     0.607993E-02
    0.3193  0.416679E-01     0.544129E-02
    0.3495  0.383749E-01     0.483686E-02
    0.3811  0.351094E-01     0.425306E-02
    0.4141  0.319307E-01     0.369608E-02
    0.4473  0.289303E-01     0.318495E-02
    0.4808  0.261001E-01     0.271979E-02
    0.5144  0.234341E-01     0.230020E-02
    0.5479  0.209288E-01     0.192521E-02
    0.5812  0.185823E-01     0.159338E-02
    0.6141  0.163931E-01     0.130280E-02
    0.6466  0.143598E-01     0.105118E-02
    0.6783  0.124807E-01     0.835881E-03
    0.7094  0.107536E-01     0.654049E-03
    0.7395  0.917541E-02     0.502643E-03
    0.7685  0.774255E-02     0.378533E-03
    0.7965  0.645048E-02     0.278568E-03
    0.8231  0.529394E-02     0.199641E-03
    0.8483  0.426733E-02     0.138748E-03
    0.8721  0.336536E-02     0.930302E-04
    0.8942  0.258432E-02     0.598000E-04
    0.9146  0.192305E-02     0.365568E-04
    0.9333  0.138142E-02     0.210055E-04
    0.9496  0.962015E-03     0.113552E-04
    0.9635  0.642276E-03     0.569802E-05
    0.9756  0.397196E-03     0.252650E-05
    0.9857  0.220573E-03     0.943291E-06
    0.9938  0.104314E-03     0.272876E-06
    1.0000  0.377326E-04     0.519329E-07
    1.0041  0.791455E-05     0.442940E-08
    1.0061  0.463777E-06     0.605239E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064013626509756     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.803900E-01    -0.151653E-01
   -0.0003  0.802588E-01    -0.151224E-01
   -0.0024  0.799965E-01    -0.150369E-01
   -0.0067  0.794727E-01    -0.148670E-01
   -0.0130  0.786897E-01    -0.146151E-01
   -0.0215  0.776500E-01    -0.142848E-01
   -0.0320  0.763575E-01    -0.138808E-01
   -0.0445  0.748167E-01    -0.134086E-01
   -0.0589  0.730329E-01    -0.128749E-01
   -0.0753  0.710129E-01    -0.122870E-01
   -0.0934  0.687656E-01    -0.116531E-01
   -0.1133  0.663059E-01    -0.109820E-01
   -0.1348  0.636655E-01    -0.102825E-01
   -0.1577  0.608924E-01    -0.957218E-02
   -0.1817  0.579778E-01    -0.885948E-02
   -0.2070  0.548963E-01    -0.814537E-02
   -0.2335  0.516768E-01    -0.743873E-02
   -0.2612  0.483668E-01    -0.674781E-02
   -0.2898  0.450148E-01    -0.607993E-02
   -0.3193  0.416679E-01    -0.544129E-02
   -0.3495  0.383749E-01    -0.483686E-02
   -0.3811  0.351094E-01    -0.425306E-02
   -0.4141  0.319307E-01    -0.369608E-02
   -0.4473  0.289303E-01    -0.318495E-02
   -0.4808  0.261001E-01    -0.271979E-02
   -0.5144  0.234341E-01    -0.230020E-02
   -0.5479  0.209288E-01    -0.192521E-02
   -0.5812  0.185823E-01    -0.159338E-02
   -0.6141  0.163931E-01    -0.130280E-02
   -0.6466  0.143598E-01    -0.105118E-02
   -0.6783  0.124807E-01    -0.835881E-03
   -0.7094  0.107536E-01    -0.654049E-03
   -0.7395  0.917541E-02    -0.502643E-03
   -0.7685  0.774255E-02    -0.378533E-03
   -0.7965  0.645048E-02    -0.278568E-03
   -0.8231  0.529394E-02    -0.199641E-03
   -0.8483  0.426733E-02    -0.138748E-03
   -0.8721  0.336536E-02    -0.930302E-04
   -0.8942  0.258432E-02    -0.598000E-04
   -0.9146  0.192305E-02    -0.365568E-04
   -0.9333  0.138142E-02    -0.210055E-04
   -0.9496  0.962015E-03    -0.113552E-04
   -0.9635  0.642276E-03    -0.569802E-05
   -0.9756  0.397196E-03    -0.252650E-05
   -0.9857  0.220573E-03    -0.943291E-06
   -0.9938  0.104314E-03    -0.272876E-06
   -1.0000  0.377326E-04    -0.519329E-07
   -1.0041  0.791455E-05    -0.442940E-08
   -1.0061  0.463777E-06    -0.605239E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12697429544750696     
     2Ymax/Bref =   0.19685661195416537     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1270  0.747702E-03     0.239357E-04
    0.1273  0.745481E-03     0.230617E-04
    0.1296  0.736148E-03     0.213272E-04
    0.1342  0.698057E-03     0.180837E-04
    0.1406  0.616799E-03     0.138783E-04
    0.1485  0.497740E-03     0.951250E-05
    0.1574  0.365886E-03     0.573931E-05
    0.1665  0.244759E-03     0.297728E-05
    0.1753  0.145907E-03     0.127045E-05
    0.1832  0.735868E-04     0.410666E-06
    0.1896  0.281352E-04     0.853244E-07
    0.1942  0.616181E-05     0.775942E-08
    0.1966  0.371801E-06     0.110700E-09
    0.1969   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19685661195416537     
     2Ymax/Bref =  -0.12697429544750696     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1270  0.747702E-03    -0.239357E-04
   -0.1273  0.745481E-03    -0.230617E-04
   -0.1296  0.736148E-03    -0.213272E-04
   -0.1342  0.698057E-03    -0.180837E-04
   -0.1406  0.616799E-03    -0.138783E-04
