
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_17764_10_05376a                                     
  Mach  =    0.850
  alpha =    1.978    CLtot =    0.167
  beta  =    0.000

  Sref  =   927.90000
  Bref  =    63.94000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060681889271192     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.835563E-01     0.154562E-01
    0.0003  0.834084E-01     0.154085E-01
    0.0026  0.831126E-01     0.153134E-01
    0.0071  0.825221E-01     0.151246E-01
    0.0140  0.816393E-01     0.148449E-01
    0.0230  0.804675E-01     0.144784E-01
    0.0342  0.790109E-01     0.140307E-01
    0.0476  0.772752E-01     0.135084E-01
    0.0631  0.752668E-01     0.129192E-01
    0.0805  0.729939E-01     0.122718E-01
    0.1000  0.704672E-01     0.115757E-01
    0.1212  0.677068E-01     0.108411E-01
    0.1443  0.647421E-01     0.100784E-01
    0.1676  0.617558E-01     0.934117E-02
    0.1910  0.587486E-01     0.863619E-02
    0.2158  0.555661E-01     0.793049E-02
    0.2416  0.522351E-01     0.723303E-02
    0.2686  0.487932E-01     0.655222E-02
    0.2965  0.452873E-01     0.589566E-02
    0.3253  0.417739E-01     0.526978E-02
    0.3548  0.383170E-01     0.467964E-02
    0.3849  0.349840E-01     0.412871E-02
    0.4165  0.317342E-01     0.359890E-02
    0.4495  0.286208E-01     0.309578E-02
    0.4828  0.257312E-01     0.263977E-02
    0.5161  0.230408E-01     0.222970E-02
    0.5494  0.205346E-01     0.186411E-02
    0.5824  0.182026E-01     0.154120E-02
    0.6151  0.160375E-01     0.125885E-02
    0.6473  0.140334E-01     0.101463E-02
    0.6788  0.121852E-01     0.805885E-03
    0.7096  0.104882E-01     0.629761E-03
    0.7395  0.893796E-02     0.483272E-03
    0.7684  0.752999E-02     0.363362E-03
    0.7961  0.626004E-02     0.266958E-03
    0.8225  0.512402E-02     0.191021E-03
    0.8475  0.411809E-02     0.132598E-03
    0.8711  0.323865E-02     0.888607E-04
