
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_18088_6_7ea39e                                      
  Mach  =    0.850
  alpha =    1.540    CLtot =    0.149
  beta  =    0.000

  Sref  =  1127.40000
  Bref  =    75.26000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064363539728940     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.742215E-01     0.139769E-01
    0.0003  0.740829E-01     0.139334E-01
    0.0026  0.738055E-01     0.138466E-01
    0.0073  0.732518E-01     0.136742E-01
    0.0143  0.724234E-01     0.134190E-01
    0.0236  0.713221E-01     0.130850E-01
    0.0352  0.699499E-01     0.126772E-01
    0.0489  0.683092E-01     0.122021E-01
    0.0648  0.664036E-01     0.116672E-01
    0.0828  0.642399E-01     0.110806E-01
    0.1028  0.618370E-01     0.104517E-01
    0.1247  0.592294E-01     0.978994E-02
    0.1476  0.565300E-01     0.912530E-02
    0.1716  0.537681E-01     0.846574E-02
    0.1970  0.508987E-01     0.780026E-02
    0.2239  0.479516E-01     0.713706E-02
    0.2520  0.449567E-01     0.648378E-02
    0.2813  0.419449E-01     0.584734E-02
    0.3117  0.389462E-01     0.523381E-02
    0.3429  0.359896E-01     0.464834E-02
    0.3743  0.331584E-01     0.410468E-02
    0.4055  0.304694E-01     0.360363E-02
    0.4372  0.278784E-01     0.313709E-02
    0.4692  0.253893E-01     0.270654E-02
    0.5014  0.230047E-01     0.231285E-02
    0.5337  0.207281E-01     0.195632E-02
    0.5660  0.185635E-01     0.163668E-02
    0.5980  0.165146E-01     0.135316E-02
    0.6297  0.145852E-01     0.110449E-02
    0.6609  0.127783E-01     0.889005E-03
    0.6915  0.110965E-01     0.704695E-03
    0.7214  0.954141E-02     0.549252E-03
    0.7503  0.811410E-02     0.420159E-03
    0.7783  0.681472E-02     0.314758E-03
    0.8052  0.564268E-02     0.230314E-03
    0.8308  0.459669E-02     0.164088E-03
    0.8551  0.367477E-02     0.113389E-03
    0.8780  0.287427E-02     0.756356E-04
    0.8993  0.219185E-02     0.484035E-04
    0.9189  0.162322E-02     0.294696E-04
    0.9369  0.116230E-02     0.168532E-04
    0.9525  0.808494E-03     0.908890E-05
    0.9657  0.540627E-03     0.456994E-05
    0.9771  0.335203E-03     0.203164E-05
    0.9868  0.186827E-03     0.760845E-06
    0.9945  0.887188E-04     0.220747E-06
    1.0003  0.321966E-04     0.420984E-07
    1.0042  0.675774E-05     0.359175E-08
    1.0062  0.394881E-06     0.489499E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064363539728940     
     2Ymax/Bref =    0.0000000000000000     
