
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_19260_0_2d42ce                                      
  Mach  =    0.850
  alpha =    1.874    CLtot =    0.160
  beta  =    0.000

  Sref  =  1024.60000
  Bref  =    60.29000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0057754188090893     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.798703E-01     0.150632E-01
    0.0003  0.797462E-01     0.150221E-01
    0.0023  0.794979E-01     0.149399E-01
    0.0064  0.790025E-01     0.147768E-01
    0.0126  0.782615E-01     0.145348E-01
    0.0208  0.772776E-01     0.142174E-01
    0.0309  0.760534E-01     0.138287E-01
    0.0430  0.745923E-01     0.133741E-01
    0.0569  0.728982E-01     0.128597E-01
    0.0727  0.709759E-01     0.122924E-01
    0.0903  0.688322E-01     0.116798E-01
    0.1095  0.664780E-01     0.110303E-01
    0.1303  0.639395E-01     0.103522E-01
    0.1526  0.612548E-01     0.965406E-02
    0.1767  0.583909E-01     0.893235E-02
    0.2026  0.553450E-01     0.819674E-02
    0.2298  0.521708E-01     0.746795E-02
    0.2580  0.488908E-01     0.675444E-02
    0.2873  0.455457E-01     0.606395E-02
    0.3174  0.421788E-01     0.540323E-02
    0.3483  0.388295E-01     0.477786E-02
    0.3798  0.355359E-01     0.419227E-02
    0.4118  0.323366E-01     0.364957E-02
    0.4447  0.292271E-01     0.314120E-02
    0.4783  0.262544E-01     0.267038E-02
    0.5120  0.234731E-01     0.224749E-02
    0.5457  0.208721E-01     0.187118E-02
    0.5791  0.184442E-01     0.153969E-02
    0.6121  0.161852E-01     0.125086E-02
    0.6447  0.140922E-01     0.100215E-02
    0.6766  0.121635E-01     0.790713E-03
    0.7078  0.103969E-01     0.613461E-03
    0.7380  0.879026E-02     0.467118E-03
    0.7672  0.734078E-02     0.348316E-03
    0.7952  0.604494E-02     0.253666E-03
    0.8219  0.489841E-02     0.179834E-03
    0.8473  0.389607E-02     0.123604E-03
    0.8711  0.303193E-02     0.819433E-04
    0.8933  0.229917E-02     0.520508E-04
    0.9138  0.169008E-02     0.313985E-04
    0.9326  0.119587E-02     0.177634E-04
    0.9489  0.816813E-03     0.945354E-05
    0.9628  0.534834E-03     0.468230E-05
    0.9749  0.325451E-03     0.205480E-05
    0.9850  0.178642E-03     0.761577E-06
    0.9932  0.838892E-04     0.219278E-06
    0.9993  0.302236E-04     0.416003E-07
    1.0035  0.631508E-05     0.353646E-08
    1.0055  0.367837E-06     0.480530E-10
    1.0058   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0057754188090893     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.798703E-01    -0.150632E-01
   -0.0003  0.797462E-01    -0.150221E-01
   -0.0023  0.794979E-01    -0.149399E-01
   -0.0064  0.790025E-01    -0.147768E-01
   -0.0126  0.782615E-01    -0.145348E-01
   -0.0208  0.772776E-01    -0.142174E-01
   -0.0309  0.760534E-01    -0.138287E-01
   -0.0430  0.745923E-01    -0.133741E-01
   -0.0569  0.728982E-01    -0.128597E-01
   -0.0727  0.709759E-01    -0.122924E-01
   -0.0903  0.688322E-01    -0.116798E-01
   -0.1095  0.664780E-01    -0.110303E-01
   -0.1303  0.639395E-01    -0.103522E-01
   -0.1526  0.612548E-01    -0.965406E-02
   -0.1767  0.583909E-01    -0.893235E-02
   -0.2026  0.553450E-01    -0.819674E-02
   -0.2298  0.521708E-01    -0.746795E-02
   -0.2580  0.488908E-01    -0.675444E-02
   -0.2873  0.455457E-01    -0.606395E-02
   -0.3174  0.421788E-01    -0.540323E-02
   -0.3483  0.388295E-01    -0.477786E-02
   -0.3798  0.355359E-01    -0.419227E-02
   -0.4118  0.323366E-01    -0.364957E-02
   -0.4447  0.292271E-01    -0.314120E-02
   -0.4783  0.262544E-01    -0.267038E-02
   -0.5120  0.234731E-01    -0.224749E-02
   -0.5457  0.208721E-01    -0.187118E-02
   -0.5791  0.184442E-01    -0.153969E-02
   -0.6121  0.161852E-01    -0.125086E-02
   -0.6447  0.140922E-01    -0.100215E-02
   -0.6766  0.121635E-01    -0.790713E-03
   -0.7078  0.103969E-01    -0.613461E-03
   -0.7380  0.879026E-02    -0.467118E-03
   -0.7672  0.734078E-02    -0.348316E-03
   -0.7952  0.604494E-02    -0.253666E-03
   -0.8219  0.489841E-02    -0.179834E-03
   -0.8473  0.389607E-02    -0.123604E-03
   -0.8711  0.303193E-02    -0.819433E-04
   -0.8933  0.229917E-02    -0.520508E-04
   -0.9138  0.169008E-02    -0.313985E-04
   -0.9326  0.119587E-02    -0.177634E-04
   -0.9489  0.816813E-03    -0.945354E-05
   -0.9628  0.534834E-03    -0.468230E-05
   -0.9749  0.325451E-03    -0.205480E-05
   -0.9850  0.178642E-03    -0.761577E-06
   -0.9932  0.838892E-04    -0.219278E-06
   -0.9993  0.302236E-04    -0.416003E-07
   -1.0035  0.631508E-05    -0.353646E-08
   -1.0055  0.367837E-06    -0.480530E-10
   -1.0058   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13600928843921048     
     2Ymax/Bref =   0.21086415657654667     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1360  0.979418E-03     0.336699E-04
    0.1363  0.976846E-03     0.324434E-04
    0.1389  0.965760E-03     0.300074E-04
    0.1437  0.918741E-03     0.254422E-04
    0.1507  0.814279E-03     0.195050E-04
    0.1591  0.656826E-03     0.133325E-04
    0.1686  0.480658E-03     0.800917E-05
    0.1783  0.319412E-03     0.413285E-05
    0.1878  0.188982E-03     0.175362E-05
    0.1962  0.945965E-04     0.563765E-06
    0.2031  0.359327E-04     0.116583E-06
    0.2080  0.783218E-05     0.105626E-07
    0.2105  0.471253E-06     0.150295E-09
    0.2109   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.21086415657654667     
     2Ymax/Bref =  -0.13600928843921048     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1360  0.979418E-03    -0.336699E-04
   -0.1363  0.976846E-03    -0.324434E-04
   -0.1389  0.965760E-03    -0.300074E-04
   -0.1437  0.918741E-03    -0.254422E-04
   -0.1507  0.814279E-03    -0.195050E-04
   -0.1591  0.656826E-03    -0.133325E-04
   -0.1686  0.480658E-03    -0.800917E-05
   -0.1783  0.319412E-03    -0.413285E-05
   -0.1878  0.188982E-03    -0.175362E-05
   -0.1962  0.945965E-04    -0.563765E-06
   -0.2031  0.359327E-04    -0.116583E-06
   -0.2080  0.783218E-05    -0.105626E-07
   -0.2105  0.471253E-06    -0.150295E-09
   -0.2109   0.00000         -0.00000    
