
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_19260_19_ebc540                                     
  Mach  =    0.850
  alpha =    2.560    CLtot =    0.180
  beta  =    0.000

  Sref  =   858.10000
  Bref  =    60.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061100000000001     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.892798E-01     0.162335E-01
    0.0003  0.891287E-01     0.161883E-01
    0.0023  0.888266E-01     0.160979E-01
    0.0063  0.882234E-01     0.159186E-01
    0.0124  0.873217E-01     0.156528E-01
    0.0204  0.861246E-01     0.153045E-01
    0.0304  0.846365E-01     0.148785E-01
    0.0423  0.828625E-01     0.143811E-01
    0.0560  0.808089E-01     0.138193E-01
    0.0716  0.784833E-01     0.132013E-01
    0.0888  0.758953E-01     0.125357E-01
    0.1077  0.730586E-01     0.118320E-01
    0.1282  0.700001E-01     0.111000E-01
    0.1502  0.667643E-01     0.103496E-01
    0.1742  0.632601E-01     0.956899E-02
    0.2002  0.594630E-01     0.877089E-02
    0.2275  0.554860E-01     0.798743E-02
    0.2559  0.513998E-01     0.722865E-02
    0.2853  0.472991E-01     0.650303E-02
    0.3156  0.432780E-01     0.581707E-02
    0.3467  0.394452E-01     0.517496E-02
    0.3784  0.359199E-01     0.457823E-02
    0.4111  0.327216E-01     0.401505E-02
    0.4446  0.297941E-01     0.348627E-02
    0.4783  0.270775E-01     0.300212E-02
    0.5121  0.245331E-01     0.256181E-02
    0.5459  0.221412E-01     0.216447E-02
    0.5794  0.198899E-01     0.180896E-02
    0.6126  0.177713E-01     0.149383E-02
    0.6452  0.157797E-01     0.121735E-02
    0.6772  0.139108E-01     0.977490E-03
    0.7085  0.121612E-01     0.771992E-03
    0.7388  0.105284E-01     0.598383E-03
    0.7681  0.901028E-02     0.454024E-03
    0.7962  0.760543E-02     0.336160E-03
    0.8230  0.631312E-02     0.241954E-03
    0.8484  0.513394E-02     0.168530E-03
    0.8723  0.407114E-02     0.113000E-03
    0.8946  0.313219E-02     0.724802E-04
    0.9152  0.232817E-02     0.441215E-04
    0.9340  0.166773E-02     0.251819E-04
    0.9502  0.116161E-02     0.135730E-04
    0.9639  0.779489E-03     0.684076E-05
    0.9758  0.484754E-03     0.304695E-05
    0.9857  0.270713E-03     0.114271E-05
    0.9937  0.128733E-03     0.332007E-06
    0.9998  0.468150E-04     0.634491E-07
    1.0038  0.986719E-05     0.543270E-08
    1.0059  0.580371E-06     0.744930E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061100000000001     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.892798E-01    -0.162335E-01
   -0.0003  0.891287E-01    -0.161883E-01
   -0.0023  0.888266E-01    -0.160979E-01
   -0.0063  0.882234E-01    -0.159186E-01
   -0.0124  0.873217E-01    -0.156528E-01
   -0.0204  0.861246E-01    -0.153045E-01
   -0.0304  0.846365E-01    -0.148785E-01
   -0.0423  0.828625E-01    -0.143811E-01
   -0.0560  0.808089E-01    -0.138193E-01
   -0.0716  0.784833E-01    -0.132013E-01
   -0.0888  0.758953E-01    -0.125357E-01
   -0.1077  0.730586E-01    -0.118320E-01
   -0.1282  0.700001E-01    -0.111000E-01
   -0.1502  0.667643E-01    -0.103496E-01
   -0.1742  0.632601E-01    -0.956899E-02
   -0.2002  0.594630E-01    -0.877089E-02
   -0.2275  0.554860E-01    -0.798743E-02
   -0.2559  0.513998E-01    -0.722865E-02
   -0.2853  0.472991E-01    -0.650303E-02
   -0.3156  0.432780E-01    -0.581707E-02
   -0.3467  0.394452E-01    -0.517496E-02
   -0.3784  0.359199E-01    -0.457823E-02
   -0.4111  0.327216E-01    -0.401505E-02
   -0.4446  0.297941E-01    -0.348627E-02
   -0.4783  0.270775E-01    -0.300212E-02
   -0.5121  0.245331E-01    -0.256181E-02
   -0.5459  0.221412E-01    -0.216447E-02
   -0.5794  0.198899E-01    -0.180896E-02
   -0.6126  0.177713E-01    -0.149383E-02
   -0.6452  0.157797E-01    -0.121735E-02
   -0.6772  0.139108E-01    -0.977490E-03
   -0.7085  0.121612E-01    -0.771992E-03
   -0.7388  0.105284E-01    -0.598383E-03
   -0.7681  0.901028E-02    -0.454024E-03
   -0.7962  0.760543E-02    -0.336160E-03
   -0.8230  0.631312E-02    -0.241954E-03
   -0.8484  0.513394E-02    -0.168530E-03
   -0.8723  0.407114E-02    -0.113000E-03
   -0.8946  0.313219E-02    -0.724802E-04
   -0.9152  0.232817E-02    -0.441215E-04
   -0.9340  0.166773E-02    -0.251819E-04
   -0.9502  0.116161E-02    -0.135730E-04
   -0.9639  0.779489E-03    -0.684076E-05
   -0.9758  0.484754E-03    -0.304695E-05
   -0.9857  0.270713E-03    -0.114271E-05
   -0.9937  0.128733E-03    -0.332007E-06
   -0.9998  0.468150E-04    -0.634491E-07
   -1.0038  0.986719E-05    -0.543270E-08
   -1.0059  0.580371E-06    -0.744930E-10
   -1.0061   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13666666666666666     
     2Ymax/Bref =   0.21188333333333331     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1367  0.131954E-02     0.465207E-04
    0.1370  0.131623E-02     0.448601E-04
    0.1395  0.130195E-02     0.415612E-04
    0.1444  0.124134E-02     0.353703E-04
    0.1514  0.110611E-02     0.272892E-04
    0.1599  0.900792E-03     0.188278E-04
    0.1694  0.668687E-03     0.114473E-04
    0.1792  0.452544E-03     0.598874E-05
    0.1887  0.273029E-03     0.257672E-05
    0.1972  0.139148E-03     0.838922E-06
    0.2041  0.536287E-04     0.175294E-06
    0.2090  0.118081E-04     0.160081E-07
    0.2116  0.714684E-06     0.229034E-09
    0.2119   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.21188333333333331     
     2Ymax/Bref =  -0.13666666666666666     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1367  0.131954E-02    -0.465207E-04
   -0.1370  0.131623E-02    -0.448601E-04
   -0.1395  0.130195E-02    -0.415612E-04
   -0.1444  0.124134E-02    -0.353703E-04
   -0.1514  0.110611E-02    -0.272892E-04
   -0.1599  0.900792E-03    -0.188278E-04
   -0.1694  0.668687E-03    -0.114473E-04
   -0.1792  0.452544E-03    -0.598874E-05
   -0.1887  0.273029E-03    -0.257672E-05
   -0.1972  0.139148E-03    -0.838922E-06
   -0.2041  0.536287E-04    -0.175294E-06
   -0.2090  0.118081E-04    -0.160081E-07
   -0.2116  0.714684E-06    -0.229034E-09
   -0.2119   0.00000         -0.00000    
