
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23168_14_25067d                                     
  Mach  =    0.850
  alpha =    3.063    CLtot =    0.206
  beta  =    0.000

  Sref  =   704.80000
  Bref  =    61.59000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064426043188830     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.102600         0.174622E-01
    0.0003  0.102394         0.174059E-01
    0.0025  0.101982         0.172935E-01
    0.0069  0.101160         0.170708E-01
    0.0134  0.999317E-01     0.167411E-01
    0.0221  0.983009E-01     0.163101E-01
    0.0329  0.962743E-01     0.157846E-01
    0.0458  0.938599E-01     0.151732E-01
    0.0607  0.910677E-01     0.144860E-01
    0.0775  0.879106E-01     0.137341E-01
    0.0962  0.844055E-01     0.129297E-01
    0.1166  0.805784E-01     0.120858E-01
    0.1388  0.764829E-01     0.112157E-01
    0.1617  0.723145E-01     0.103657E-01
    0.1851  0.680713E-01     0.954503E-02
    0.2098  0.636204E-01     0.873265E-02
    0.2357  0.590310E-01     0.793968E-02
    0.2626  0.543930E-01     0.717590E-02
    0.2905  0.498007E-01     0.644928E-02
    0.3193  0.453649E-01     0.576563E-02
    0.3487  0.412155E-01     0.512814E-02
    0.3797  0.373518E-01     0.451658E-02
    0.4121  0.337803E-01     0.393499E-02
    0.4449  0.305075E-01     0.340365E-02
    0.4778  0.274874E-01     0.292122E-02
    0.5109  0.246913E-01     0.248624E-02
    0.5439  0.221000E-01     0.209701E-02
    0.5766  0.196992E-01     0.175154E-02
    0.6090  0.174775E-01     0.144758E-02
    0.6409  0.154254E-01     0.118263E-02
    0.6722  0.135344E-01     0.954028E-03
    0.7027  0.117971E-01     0.758930E-03
    0.7324  0.102062E-01     0.594420E-03
    0.7610  0.875509E-02     0.457529E-03
    0.7884  0.743710E-02     0.345294E-03
    0.8147  0.624585E-02     0.254799E-03
    0.8395  0.517505E-02     0.183218E-03
    0.8629  0.421858E-02     0.127845E-03
    0.8846  0.337051E-02     0.861316E-04
    0.9048  0.262577E-02     0.557014E-04
    0.9231  0.198284E-02     0.343569E-04
    0.9405  0.142034E-02     0.194357E-04
    0.9567  0.947435E-03     0.974483E-05
    0.9706  0.585698E-03     0.431565E-05
    0.9824  0.324921E-03     0.160702E-05
    0.9919  0.152966E-03     0.462462E-06
    0.9990  0.548201E-04     0.873449E-07
    1.0038  0.113780E-04     0.738754E-08
    1.0061  0.662548E-06     0.100354E-09
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064426043188830     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.102600        -0.174622E-01
   -0.0003  0.102394        -0.174059E-01
   -0.0025  0.101982        -0.172935E-01
   -0.0069  0.101160        -0.170708E-01
   -0.0134  0.999317E-01    -0.167411E-01
   -0.0221  0.983009E-01    -0.163101E-01
   -0.0329  0.962743E-01    -0.157846E-01
   -0.0458  0.938599E-01    -0.151732E-01
   -0.0607  0.910677E-01    -0.144860E-01
   -0.0775  0.879106E-01    -0.137341E-01
   -0.0962  0.844055E-01    -0.129297E-01
   -0.1166  0.805784E-01    -0.120858E-01
   -0.1388  0.764829E-01    -0.112157E-01
   -0.1617  0.723145E-01    -0.103657E-01
   -0.1851  0.680713E-01    -0.954503E-02
   -0.2098  0.636204E-01    -0.873265E-02
   -0.2357  0.590310E-01    -0.793968E-02
   -0.2626  0.543930E-01    -0.717590E-02
   -0.2905  0.498007E-01    -0.644928E-02
   -0.3193  0.453649E-01    -0.576563E-02
   -0.3487  0.412155E-01    -0.512814E-02
   -0.3797  0.373518E-01    -0.451658E-02
   -0.4121  0.337803E-01    -0.393499E-02
   -0.4449  0.305075E-01    -0.340365E-02
   -0.4778  0.274874E-01    -0.292122E-02
   -0.5109  0.246913E-01    -0.248624E-02
   -0.5439  0.221000E-01    -0.209701E-02
   -0.5766  0.196992E-01    -0.175154E-02
   -0.6090  0.174775E-01    -0.144758E-02
   -0.6409  0.154254E-01    -0.118263E-02
   -0.6722  0.135344E-01    -0.954028E-03
   -0.7027  0.117971E-01    -0.758930E-03
   -0.7324  0.102062E-01    -0.594420E-03
   -0.7610  0.875509E-02    -0.457529E-03
   -0.7884  0.743710E-02    -0.345294E-03
   -0.8147  0.624585E-02    -0.254799E-03
   -0.8395  0.517505E-02    -0.183218E-03
   -0.8629  0.421858E-02    -0.127845E-03
   -0.8846  0.337051E-02    -0.861316E-04
   -0.9048  0.262577E-02    -0.557014E-04
   -0.9231  0.198284E-02    -0.343569E-04
   -0.9405  0.142034E-02    -0.194357E-04
   -0.9567  0.947435E-03    -0.974483E-05
   -0.9706  0.585698E-03    -0.431565E-05
   -0.9824  0.324921E-03    -0.160702E-05
   -0.9919  0.152966E-03    -0.462462E-06
   -0.9990  0.548201E-04    -0.873449E-07
   -1.0038  0.113780E-04    -0.738754E-08
   -1.0061  0.662548E-06    -0.100354E-09
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13313849650917356     
     2Ymax/Bref =   0.20641337879525895     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1331  0.129563E-02     0.463582E-04
    0.1335  0.129210E-02     0.447700E-04
    0.1359  0.127748E-02     0.416159E-04
    0.1407  0.121905E-02     0.356957E-04
    0.1475  0.109655E-02     0.279301E-04
    0.1558  0.915831E-03     0.196646E-04
    0.1650  0.705351E-03     0.122378E-04
    0.1746  0.494897E-03     0.654539E-05
    0.1838  0.307521E-03     0.286942E-05
    0.1921  0.160254E-03     0.948128E-06
    0.1988  0.627390E-04     0.200298E-06
    0.2036  0.139527E-04     0.184344E-07
    0.2061  0.849159E-06     0.265103E-09
    0.2064   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20641337879525895     
     2Ymax/Bref =  -0.13313849650917356     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1331  0.129563E-02    -0.463582E-04
   -0.1335  0.129210E-02    -0.447700E-04
   -0.1359  0.127748E-02    -0.416159E-04
   -0.1407  0.121905E-02    -0.356957E-04
   -0.1475  0.109655E-02    -0.279301E-04
   -0.1558  0.915831E-03    -0.196646E-04
   -0.1650  0.705351E-03    -0.122378E-04
   -0.1746  0.494897E-03    -0.654539E-05
   -0.1838  0.307521E-03    -0.286942E-05
   -0.1921  0.160254E-03    -0.948128E-06
   -0.1988  0.627390E-04    -0.200298E-06
   -0.2036  0.139527E-04    -0.184344E-07
   -0.2061  0.849159E-06    -0.265103E-09
   -0.2064   0.00000         -0.00000    
