
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23168_6_a20ebf                                      
  Mach  =    0.850
  alpha =    1.669    CLtot =    0.166
  beta  =    0.000

  Sref  =   923.80000
  Bref  =    68.54000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064108549751969     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.828407E-01     0.155291E-01
    0.0003  0.827098E-01     0.154875E-01
    0.0023  0.824480E-01     0.154044E-01
    0.0063  0.819254E-01     0.152393E-01
    0.0123  0.811439E-01     0.149945E-01
    0.0203  0.801058E-01     0.146733E-01
    0.0302  0.788142E-01     0.142802E-01
    0.0419  0.772725E-01     0.138206E-01
    0.0556  0.754851E-01     0.133007E-01
    0.0710  0.734579E-01     0.127276E-01
    0.0881  0.711995E-01     0.121092E-01
    0.1068  0.687264E-01     0.114537E-01
    0.1271  0.660749E-01     0.107697E-01
    0.1504  0.630685E-01     0.100181E-01
    0.1767  0.597060E-01     0.921194E-02
    0.2044  0.562074E-01     0.840884E-02
    0.2335  0.526111E-01     0.761866E-02
    0.2637  0.489564E-01     0.685049E-02
    0.2951  0.452865E-01     0.611233E-02
    0.3274  0.416475E-01     0.541091E-02
    0.3605  0.380857E-01     0.475154E-02
    0.3931  0.347633E-01     0.415502E-02
    0.4251  0.317077E-01     0.361875E-02
    0.4574  0.288150E-01     0.312517E-02
    0.4899  0.260761E-01     0.267461E-02
    0.5225  0.234855E-01     0.226693E-02
    0.5551  0.210400E-01     0.190145E-02
    0.5874  0.187382E-01     0.157705E-02
    0.6193  0.165793E-01     0.129212E-02
    0.6508  0.145630E-01     0.104467E-02
    0.6817  0.126886E-01     0.832405E-03
    0.7118  0.109555E-01     0.652718E-03
    0.7411  0.936277E-02     0.502821E-03
    0.7693  0.790918E-02     0.379780E-03
    0.7964  0.659329E-02     0.280590E-03
    0.8223  0.541347E-02     0.202234E-03
    0.8468  0.436787E-02     0.141742E-03
    0.8698  0.345439E-02     0.962437E-04
    0.8913  0.267051E-02     0.630244E-04
    0.9112  0.201296E-02     0.395717E-04
    0.9293  0.147648E-02     0.236250E-04
    0.9458  0.104228E-02     0.131022E-04
    0.9607  0.694933E-03     0.657059E-05
    0.9735  0.429506E-03     0.291265E-05
    0.9843  0.238508E-03     0.108730E-05
    0.9930  0.112782E-03     0.314395E-06
    0.9996  0.407528E-04     0.597687E-07
    1.0039  0.852796E-05     0.508766E-08
    1.0061  0.498143E-06     0.693138E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064108549751969     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.828407E-01    -0.155291E-01
   -0.0003  0.827098E-01    -0.154875E-01
   -0.0023  0.824480E-01    -0.154044E-01
   -0.0063  0.819254E-01    -0.152393E-01
   -0.0123  0.811439E-01    -0.149945E-01
   -0.0203  0.801058E-01    -0.146733E-01
   -0.0302  0.788142E-01    -0.142802E-01
   -0.0419  0.772725E-01    -0.138206E-01
   -0.0556  0.754851E-01    -0.133007E-01
   -0.0710  0.734579E-01    -0.127276E-01
   -0.0881  0.711995E-01    -0.121092E-01
   -0.1068  0.687264E-01    -0.114537E-01
   -0.1271  0.660749E-01    -0.107697E-01
   -0.1504  0.630685E-01    -0.100181E-01
   -0.1767  0.597060E-01    -0.921194E-02
   -0.2044  0.562074E-01    -0.840884E-02
   -0.2335  0.526111E-01    -0.761866E-02
   -0.2637  0.489564E-01    -0.685049E-02
   -0.2951  0.452865E-01    -0.611233E-02
   -0.3274  0.416475E-01    -0.541091E-02
   -0.3605  0.380857E-01    -0.475154E-02
   -0.3931  0.347633E-01    -0.415502E-02
   -0.4251  0.317077E-01    -0.361875E-02
   -0.4574  0.288150E-01    -0.312517E-02
   -0.4899  0.260761E-01    -0.267461E-02
   -0.5225  0.234855E-01    -0.226693E-02
   -0.5551  0.210400E-01    -0.190145E-02
   -0.5874  0.187382E-01    -0.157705E-02
   -0.6193  0.165793E-01    -0.129212E-02
   -0.6508  0.145630E-01    -0.104467E-02
   -0.6817  0.126886E-01    -0.832405E-03
   -0.7118  0.109555E-01    -0.652718E-03
   -0.7411  0.936277E-02    -0.502821E-03
   -0.7693  0.790918E-02    -0.379780E-03
   -0.7964  0.659329E-02    -0.280590E-03
   -0.8223  0.541347E-02    -0.202234E-03
   -0.8468  0.436787E-02    -0.141742E-03
   -0.8698  0.345439E-02    -0.962437E-04
   -0.8913  0.267051E-02    -0.630244E-04
   -0.9112  0.201296E-02    -0.395717E-04
   -0.9293  0.147648E-02    -0.236250E-04
   -0.9458  0.104228E-02    -0.131022E-04
   -0.9607  0.694933E-03    -0.657059E-05
   -0.9735  0.429506E-03    -0.291265E-05
   -0.9843  0.238508E-03    -0.108730E-05
   -0.9930  0.112782E-03    -0.314395E-06
   -0.9996  0.407528E-04    -0.597687E-07
   -1.0039  0.852796E-05    -0.508766E-08
   -1.0061  0.498143E-06    -0.693138E-10
   -1.0064   0.00000         -0.00000    
   
