
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23548_1_f7adfe                                      
  Mach  =    0.850
  alpha =    2.055    CLtot =    0.174
  beta  =    0.000

  Sref  =   934.80000
  Bref  =    61.75000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064777327935222     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.867516E-01     0.160944E-01
    0.0003  0.866130E-01     0.160506E-01
    0.0023  0.863360E-01     0.159633E-01
    0.0063  0.857829E-01     0.157900E-01
    0.0123  0.849559E-01     0.155330E-01
    0.0203  0.838573E-01     0.151958E-01
    0.0302  0.824903E-01     0.147832E-01
    0.0421  0.808583E-01     0.143009E-01
    0.0557  0.789659E-01     0.137554E-01
    0.0712  0.768187E-01     0.131544E-01
    0.0883  0.744250E-01     0.125060E-01
    0.1071  0.717985E-01     0.118192E-01
    0.1275  0.689716E-01     0.111030E-01
    0.1500  0.658996E-01     0.103445E-01
    0.1746  0.625923E-01     0.955490E-02
    0.2005  0.591390E-01     0.876549E-02
    0.2277  0.555796E-01     0.798582E-02
    0.2561  0.519555E-01     0.722460E-02
    0.2854  0.483053E-01     0.648959E-02
    0.3156  0.446697E-01     0.578747E-02
    0.3466  0.410899E-01     0.512368E-02
    0.3788  0.375548E-01     0.448819E-02
    0.4120  0.341222E-01     0.388686E-02
    0.4456  0.308663E-01     0.333572E-02
    0.4795  0.277815E-01     0.283513E-02
    0.5134  0.248650E-01     0.238481E-02
    0.5472  0.221168E-01     0.198380E-02
    0.5808  0.195382E-01     0.163054E-02
    0.6140  0.171311E-01     0.132290E-02
    0.6468  0.148973E-01     0.105827E-02
    0.6789  0.128378E-01     0.833624E-03
    0.7102  0.109529E-01     0.645613E-03
    0.7406  0.924183E-02     0.490686E-03
    0.7700  0.770223E-02     0.365168E-03
    0.7982  0.633047E-02     0.265364E-03
    0.8251  0.512140E-02     0.187650E-03
    0.8505  0.406832E-02     0.128550E-03
    0.8745  0.316308E-02     0.848110E-04
    0.8969  0.239613E-02     0.534576E-04
    0.9175  0.175682E-02     0.318323E-04
    0.9363  0.123405E-02     0.176190E-04
    0.9533  0.817340E-03     0.884540E-05
    0.9672  0.518200E-03     0.413841E-05
    0.9782  0.314978E-03     0.181081E-05
    0.9875  0.172147E-03     0.667747E-06
    0.9950  0.801961E-04     0.190967E-06
    1.0006  0.286237E-04     0.359877E-07
    1.0044  0.594711E-05     0.304663E-08
    1.0062  0.347068E-06     0.414715E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064777327935222     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.867516E-01    -0.160944E-01
   -0.0003  0.866130E-01    -0.160506E-01
   -0.0023  0.863360E-01    -0.159633E-01
   -0.0063  0.857829E-01    -0.157900E-01
   -0.0123  0.849559E-01    -0.155330E-01
   -0.0203  0.838573E-01    -0.151958E-01
   -0.0302  0.824903E-01    -0.147832E-01
   -0.0421  0.808583E-01    -0.143009E-01
   -0.0557  0.789659E-01    -0.137554E-01
   -0.0712  0.768187E-01    -0.131544E-01
   -0.0883  0.744250E-01    -0.125060E-01
   -0.1071  0.717985E-01    -0.118192E-01
   -0.1275  0.689716E-01    -0.111030E-01
   -0.1500  0.658996E-01    -0.103445E-01
   -0.1746  0.625923E-01    -0.955490E-02
   -0.2005  0.591390E-01    -0.876549E-02
   -0.2277  0.555796E-01    -0.798582E-02
   -0.2561  0.519555E-01    -0.722460E-02
   -0.2854  0.483053E-01    -0.648959E-02
