
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23676_14_211dd5                                     
  Mach  =    0.850
  alpha =    2.451    CLtot =    0.198
  beta  =    0.000

  Sref  =   726.60000
  Bref  =    62.08000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061726804123712     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.989674E-01     0.171717E-01
    0.0003  0.987818E-01     0.171175E-01
    0.0025  0.984105E-01     0.170094E-01
    0.0068  0.976694E-01     0.167948E-01
    0.0134  0.965613E-01     0.164771E-01
    0.0221  0.950901E-01     0.160613E-01
    0.0329  0.932610E-01     0.155538E-01
    0.0457  0.910805E-01     0.149624E-01
    0.0605  0.885564E-01     0.142963E-01
    0.0773  0.856988E-01     0.135659E-01
    0.0960  0.825213E-01     0.127824E-01
    0.1164  0.790452E-01     0.119578E-01
    0.1385  0.753165E-01     0.111046E-01
    0.1614  0.715052E-01     0.102657E-01
    0.1848  0.676123E-01     0.945031E-02
    0.2096  0.635164E-01     0.863927E-02
    0.2355  0.592614E-01     0.784339E-02
    0.2626  0.549127E-01     0.707252E-02
    0.2905  0.505387E-01     0.633518E-02
    0.3194  0.462132E-01     0.563830E-02
    0.3489  0.420202E-01     0.498693E-02
    0.3791  0.380531E-01     0.438393E-02
    0.4108  0.342661E-01     0.380770E-02
    0.4440  0.307025E-01     0.326357E-02
    0.4774  0.274374E-01     0.277349E-02
    0.5109  0.244307E-01     0.233533E-02
    0.5443  0.216582E-01     0.194683E-02
    0.5775  0.191032E-01     0.160544E-02
    0.6103  0.167530E-01     0.130836E-02
    0.6426  0.145971E-01     0.105256E-02
    0.6743  0.126261E-01     0.834791E-03
    0.7053  0.108315E-01     0.651716E-03
    0.7353  0.920513E-02     0.499911E-03
    0.7643  0.773903E-02     0.375952E-03
    0.7921  0.642550E-02     0.276462E-03
    0.8187  0.525710E-02     0.198167E-03
    0.8439  0.422684E-02     0.137932E-03
    0.8675  0.332847E-02     0.928021E-04
    0.8896  0.255676E-02     0.600223E-04
    0.9100  0.190728E-02     0.370659E-04
    0.9286  0.137494E-02     0.216618E-04
    0.9454  0.950359E-03     0.117951E-04
    0.9603  0.622684E-03     0.586032E-05
    0.9732  0.380487E-03     0.258563E-05
    0.9840  0.210564E-03     0.965015E-06
    0.9927  0.998776E-04     0.279636E-06
    0.9993  0.361925E-04     0.531952E-07
    1.0037  0.753604E-05     0.450755E-08
    1.0059  0.434715E-06     0.606965E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
