
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23676_3_5ca127                                      
  Mach  =    0.850
  alpha =    1.764    CLtot =    0.170
  beta  =    0.000

  Sref  =   896.90000
  Bref  =    65.91000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062084660901229     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.847590E-01     0.162499E-01
    0.0003  0.846218E-01     0.162046E-01
    0.0024  0.843473E-01     0.161142E-01
    0.0067  0.837995E-01     0.159347E-01
    0.0131  0.829803E-01     0.156685E-01
    0.0215  0.818924E-01     0.153194E-01
    0.0321  0.805393E-01     0.148923E-01
    0.0446  0.789253E-01     0.143931E-01
    0.0591  0.770555E-01     0.138288E-01
    0.0754  0.749367E-01     0.132071E-01
    0.0936  0.725786E-01     0.125367E-01
    0.1136  0.699998E-01     0.118267E-01
    0.1351  0.672386E-01     0.110865E-01
    0.1580  0.643553E-01     0.103352E-01
    0.1820  0.613466E-01     0.958159E-02
    0.2073  0.581840E-01     0.882540E-02
    0.2338  0.548922E-01     0.807567E-02
    0.2615  0.515104E-01     0.734088E-02
    0.2901  0.480824E-01     0.662861E-02
    0.3196  0.446516E-01     0.594542E-02
    0.3498  0.412611E-01     0.529669E-02
    0.3806  0.379536E-01     0.468654E-02
    0.4128  0.346850E-01     0.409973E-02
    0.4462  0.315082E-01     0.354215E-02
    0.4798  0.285175E-01     0.303325E-02
    0.5135  0.256988E-01     0.257262E-02
    0.5471  0.230432E-01     0.215939E-02
    0.5804  0.205452E-01     0.179223E-02
    0.6135  0.182014E-01     0.146936E-02
    0.6460  0.160097E-01     0.118860E-02
    0.6779  0.139684E-01     0.947415E-03
    0.7090  0.120763E-01     0.742979E-03
    0.7392  0.103325E-01     0.572225E-03
    0.7683  0.873626E-02     0.431919E-03
    0.7963  0.728690E-02     0.318726E-03
    0.8231  0.598406E-02     0.229274E-03
    0.8484  0.482754E-02     0.160212E-03
    0.8722  0.381700E-02     0.108279E-03
    0.8944  0.295129E-02     0.703633E-04
    0.9149  0.222672E-02     0.435819E-04
    0.9336  0.163377E-02     0.253596E-04
    0.9498  0.116382E-02     0.138627E-04
    0.9637  0.790752E-03     0.702574E-05
    0.9756  0.494510E-03     0.313585E-05
    0.9857  0.276467E-03     0.117589E-05
    0.9937  0.131306E-03     0.341210E-06
    0.9998  0.476511E-04     0.650948E-07
    1.0039  0.100189E-04     0.556223E-08
    1.0060  0.587408E-06     0.760413E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062084660901229     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.847590E-01    -0.162499E-01
   -0.0003  0.846218E-01    -0.162046E-01
   -0.0024  0.843473E-01    -0.161142E-01
   -0.0067  0.837995E-01    -0.159347E-01
   -0.0131  0.829803E-01    -0.156685E-01
   -0.0215  0.818924E-01    -0.153194E-01
   -0.0321  0.805393E-01    -0.148923E-01
   -0.0446  0.789253E-01    -0.143931E-01
   -0.0591  0.770555E-01    -0.138288E-01
   -0.0754  0.749367E-01    -0.132071E-01
   -0.0936  0.725786E-01    -0.125367E-01
   -0.1136  0.699998E-01    -0.118267E-01
   -0.1351  0.672386E-01    -0.110865E-01
   -0.1580  0.643553E-01    -0.103352E-01
   -0.1820  0.613466E-01    -0.958159E-02
   -0.2073  0.581840E-01    -0.882540E-02
   -0.2338  0.548922E-01    -0.807567E-02
   -0.2615  0.515104E-01    -0.734088E-02
   -0.2901  0.480824E-01    -0.662861E-02
   -0.3196  0.446516E-01    -0.594542E-02
   -0.3498  0.412611E-01    -0.529669E-02
   -0.3806  0.379536E-01    -0.468654E-02
   -0.4128  0.346850E-01    -0.409973E-02
   -0.4462  0.315082E-01    -0.354215E-02
   -0.4798  0.285175E-01    -0.303325E-02
   -0.5135  0.256988E-01    -0.257262E-02
   -0.5471  0.230432E-01    -0.215939E-02
   -0.5804  0.205452E-01    -0.179223E-02
   -0.6135  0.182014E-01    -0.146936E-02
   -0.6460  0.160097E-01    -0.118860E-02
   -0.6779  0.139684E-01    -0.947415E-03
   -0.7090  0.120763E-01    -0.742979E-03
   -0.7392  0.103325E-01    -0.572225E-03
   -0.7683  0.873626E-02    -0.431919E-03
   -0.7963  0.728690E-02    -0.318726E-03
   -0.8231  0.598406E-02    -0.229274E-03
   -0.8484  0.482754E-02    -0.160212E-03
   -0.8722  0.381700E-02    -0.108279E-03
   -0.8944  0.295129E-02    -0.703633E-04
   -0.9149  0.222672E-02    -0.435819E-04
   -0.9336  0.163377E-02    -0.253596E-04
   -0.9498  0.116382E-02    -0.138627E-04
   -0.9637  0.790752E-03    -0.702574E-05
   -0.9756  0.494510E-03    -0.313585E-05
   -0.9857  0.276467E-03    -0.117589E-05
   -0.9937  0.131306E-03    -0.341210E-06
   -0.9998  0.476511E-04    -0.650948E-07
   -1.0039  0.100189E-04    -0.556223E-08
   -1.0060  0.587408E-06    -0.760413E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12441207707479897     
     2Ymax/Bref =   0.19288423607950234     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1244  0.823701E-03     0.259546E-04
    0.1247  0.821273E-03     0.250112E-04
    0.1270  0.811105E-03     0.231387E-04
    0.1315  0.769737E-03     0.196357E-04
    0.1378  0.681555E-03     0.150877E-04
    0.1455  0.551734E-03     0.103542E-04
    0.1542  0.406685E-03     0.625133E-05
    0.1631  0.272330E-03     0.324203E-05
    0.1717  0.162205E-03     0.138186E-05
    0.1795  0.816424E-04     0.445943E-06
    0.1858  0.311433E-04     0.924952E-07
    0.1903  0.680754E-05     0.839886E-08
    0.1926  0.410259E-06     0.119686E-09
    0.1929   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19288423607950234     
     2Ymax/Bref =  -0.12441207707479897     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1244  0.823701E-03    -0.259546E-04
   -0.1247  0.821273E-03    -0.250112E-04
