
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23976_13_d5a9fd                                     
  Mach  =    0.850
  alpha =    1.800    CLtot =    0.151
  beta  =    0.000

  Sref  =  1058.00000
  Bref  =    64.85000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062050886661527     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.751417E-01     0.145301E-01
    0.0003  0.750268E-01     0.144912E-01
    0.0023  0.747970E-01     0.144135E-01
    0.0065  0.743383E-01     0.142593E-01
    0.0127  0.736525E-01     0.140304E-01
    0.0209  0.727424E-01     0.137301E-01
    0.0311  0.716112E-01     0.133623E-01
    0.0432  0.702636E-01     0.129320E-01
    0.0572  0.687049E-01     0.124448E-01
    0.0731  0.669417E-01     0.119072E-01
    0.0907  0.649827E-01     0.113263E-01
    0.1100  0.628415E-01     0.107095E-01
    0.1310  0.605495E-01     0.100646E-01
    0.1534  0.581182E-01     0.939773E-02
    0.1774  0.555378E-01     0.871686E-02
    0.2027  0.528158E-01     0.803190E-02
    0.2292  0.499667E-01     0.735095E-02
    0.2568  0.470144E-01     0.668173E-02
    0.2854  0.439915E-01     0.603138E-02
    0.3149  0.409360E-01     0.540619E-02
    0.3451  0.378864E-01     0.481146E-02
    0.3759  0.348807E-01     0.425141E-02
    0.4080  0.318870E-01     0.371402E-02
    0.4411  0.289557E-01     0.320480E-02
    0.4745  0.261777E-01     0.274039E-02
    0.5080  0.235507E-01     0.232060E-02
    0.5414  0.210722E-01     0.194472E-02
    0.5745  0.187410E-01     0.161151E-02
    0.6073  0.165570E-01     0.131926E-02
    0.6396  0.145203E-01     0.106586E-02
    0.6713  0.126309E-01     0.848824E-03
    0.7022  0.108884E-01     0.665398E-03
    0.7322  0.929200E-02     0.512612E-03
    0.7612  0.784032E-02     0.387364E-03
    0.7890  0.653127E-02     0.286491E-03
    0.8156  0.536217E-02     0.206839E-03
    0.8407  0.432975E-02     0.145327E-03
    0.8644  0.343020E-02     0.990071E-04
    0.8864  0.265917E-02     0.651142E-04
    0.9068  0.201170E-02     0.411110E-04
    0.9254  0.148155E-02     0.247281E-04
    0.9426  0.104647E-02     0.137676E-04
    0.9582  0.695272E-03     0.688956E-05
    0.9717  0.428558E-03     0.304968E-05
    0.9830  0.237624E-03     0.113775E-05
    0.9921  0.112338E-03     0.329040E-06
    0.9990  0.406258E-04     0.625981E-07
    1.0036  0.851141E-05     0.533351E-08
    1.0059  0.497562E-06     0.727157E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062050886661527     
