
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24212_18_81062b                                     
  Mach  =    0.850
  alpha =    1.738    CLtot =    0.157
  beta  =    0.000

  Sref  =  1013.10000
  Bref  =    65.94000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063694267515924     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.783365E-01     0.152775E-01
    0.0003  0.782028E-01     0.152319E-01
    0.0026  0.779355E-01     0.151410E-01
    0.0073  0.774018E-01     0.149605E-01
    0.0142  0.766039E-01     0.146930E-01
    0.0234  0.755445E-01     0.143424E-01
    0.0349  0.742272E-01     0.139138E-01
    0.0485  0.726567E-01     0.134134E-01
    0.0643  0.708390E-01     0.128484E-01
    0.0821  0.687818E-01     0.122269E-01
    0.1019  0.664972E-01     0.115578E-01
    0.1236  0.640150E-01     0.108505E-01
    0.1471  0.613590E-01     0.101146E-01
    0.1705  0.587284E-01     0.941258E-02
    0.1936  0.561367E-01     0.875000E-02
    0.2180  0.534094E-01     0.808320E-02
    0.2435  0.505690E-01     0.741989E-02
    0.2701  0.476440E-01     0.676732E-02
    0.2976  0.446677E-01     0.613211E-02
    0.3260  0.416755E-01     0.552009E-02
    0.3551  0.387046E-01     0.493611E-02
    0.3861  0.356584E-01     0.435672E-02
    0.4189  0.325914E-01     0.379087E-02
    0.4521  0.296580E-01     0.326917E-02
    0.4856  0.268570E-01     0.279245E-02
    0.5191  0.241885E-01     0.236095E-02
    0.5525  0.216542E-01     0.197426E-02
    0.5857  0.192572E-01     0.163139E-02
    0.6186  0.170005E-01     0.133078E-02
    0.6509  0.148877E-01     0.107041E-02
    0.6827  0.129213E-01     0.847805E-03
    0.7136  0.111036E-01     0.660176E-03
    0.7437  0.943596E-02     0.504455E-03
    0.7727  0.791877E-02     0.377406E-03
    0.8005  0.655147E-02     0.275700E-03
    0.8271  0.533249E-02     0.196001E-03
    0.8523  0.425926E-02     0.135041E-03
    0.8760  0.332817E-02     0.896884E-04
    0.8981  0.253447E-02     0.570123E-04
    0.9185  0.187202E-02     0.343365E-04
    0.9371  0.133227E-02     0.192879E-04
    0.9529  0.922175E-03     0.102651E-04
    0.9660  0.616762E-03     0.515911E-05
    0.9773  0.382054E-03     0.229176E-05
    0.9869  0.212677E-03     0.857666E-06
    0.9945  0.100917E-03     0.248802E-06
    1.0003  0.366422E-04     0.474850E-07
    1.0042  0.770796E-05     0.405900E-08
    1.0061  0.451954E-06     0.554951E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063694267515924     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.783365E-01    -0.152775E-01
   -0.0003  0.782028E-01    -0.152319E-01
   -0.0026  0.779355E-01    -0.151410E-01
   -0.0073  0.774018E-01    -0.149605E-01
   -0.0142  0.766039E-01    -0.146930E-01
   -0.0234  0.755445E-01    -0.143424E-01
   -0.0349  0.742272E-01    -0.139138E-01
   -0.0485  0.726567E-01    -0.134134E-01
   -0.0643  0.708390E-01    -0.128484E-01
   -0.0821  0.687818E-01    -0.122269E-01
   -0.1019  0.664972E-01    -0.115578E-01
   -0.1236  0.640150E-01    -0.108505E-01
   -0.1471  0.613590E-01    -0.101146E-01
   -0.1705  0.587284E-01    -0.941258E-02
   -0.1936  0.561367E-01    -0.875000E-02
   -0.2180  0.534094E-01    -0.808320E-02
   -0.2435  0.505690E-01    -0.741989E-02
   -0.2701  0.476440E-01    -0.676732E-02
   -0.2976  0.446677E-01    -0.613211E-02
   -0.3260  0.416755E-01    -0.552009E-02
   -0.3551  0.387046E-01    -0.493611E-02
   -0.3861  0.356584E-01    -0.435672E-02
   -0.4189  0.325914E-01    -0.379087E-02
   -0.4521  0.296580E-01    -0.326917E-02
   -0.4856  0.268570E-01    -0.279245E-02
   -0.5191  0.241885E-01    -0.236095E-02
   -0.5525  0.216542E-01    -0.197426E-02
   -0.5857  0.192572E-01    -0.163139E-02
   -0.6186  0.170005E-01    -0.133078E-02
   -0.6509  0.148877E-01    -0.107041E-02
   -0.6827  0.129213E-01    -0.847805E-03
   -0.7136  0.111036E-01    -0.660176E-03
   -0.7437  0.943596E-02    -0.504455E-03
   -0.7727  0.791877E-02    -0.377406E-03
   -0.8005  0.655147E-02    -0.275700E-03
   -0.8271  0.533249E-02    -0.196001E-03
   -0.8523  0.425926E-02    -0.135041E-03
   -0.8760  0.332817E-02    -0.896884E-04
   -0.8981  0.253447E-02    -0.570123E-04
   -0.9185  0.187202E-02    -0.343365E-04
   -0.9371  0.133227E-02    -0.192879E-04
   -0.9529  0.922175E-03    -0.102651E-04
   -0.9660  0.616762E-03    -0.515911E-05
   -0.9773  0.382054E-03    -0.229176E-05
   -0.9869  0.212677E-03    -0.857666E-06
   -0.9945  0.100917E-03    -0.248802E-06
   -1.0003  0.366422E-04    -0.474850E-07
   -1.0042  0.770796E-05    -0.405900E-08
   -1.0061  0.451954E-06    -0.554951E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12435547467394600     
     2Ymax/Bref =   0.19279648164998484     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1244  0.633338E-03     0.200439E-04
    0.1246  0.631186E-03     0.193190E-04
    0.1270  0.622383E-03     0.178817E-04
    0.1314  0.588027E-03     0.152008E-04
    0.1377  0.518644E-03     0.117343E-04
    0.1455  0.421603E-03     0.812714E-05
    0.1541  0.315842E-03     0.497168E-05
    0.1630  0.216190E-03     0.261486E-05
    0.1717  0.131273E-03     0.112811E-05
    0.1794  0.670093E-04     0.367428E-06
    0.1857  0.258019E-04     0.767089E-07
    0.1902  0.567215E-05     0.699638E-08
    0.1925  0.342876E-06     0.999825E-10
    0.1928   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19279648164998484     
     2Ymax/Bref =  -0.12435547467394600     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1244  0.633338E-03    -0.200439E-04
   -0.1246  0.631186E-03    -0.193190E-04
   -0.1270  0.622383E-03    -0.178817E-04
   -0.1314  0.588027E-03    -0.152008E-04
   -0.1377  0.518644E-03    -0.117343E-04
   -0.1455  0.421603E-03    -0.812714E-05
   -0.1541  0.315842E-03    -0.497168E-05
   -0.1630  0.216190E-03    -0.261486E-05
   -0.1717  0.131273E-03    -0.112811E-05
   -0.1794  0.670093E-04    -0.367428E-06
   -0.1857  0.258019E-04    -0.767089E-07
   -0.1902  0.567215E-05    -0.699638E-08
   -0.1925  0.342876E-06    -0.999825E-10
   -0.1928   0.00000         -0.00000    
