
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24212_6_beb721                                      
  Mach  =    0.850
  alpha =    1.753    CLtot =    0.163
  beta  =    0.000

  Sref  =   947.60000
  Bref  =    65.03000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061725357527294     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.813388E-01     0.154965E-01
    0.0003  0.812080E-01     0.154538E-01
    0.0024  0.809465E-01     0.153687E-01
    0.0066  0.804244E-01     0.151996E-01
    0.0128  0.796435E-01     0.149490E-01
    0.0211  0.786064E-01     0.146203E-01
    0.0315  0.773158E-01     0.142180E-01
    0.0438  0.757753E-01     0.137478E-01
    0.0580  0.739892E-01     0.132162E-01
    0.0740  0.719632E-01     0.126305E-01
    0.0919  0.697061E-01     0.119988E-01
    0.1114  0.672342E-01     0.113297E-01
    0.1326  0.645831E-01     0.106321E-01
    0.1566  0.616115E-01     0.987350E-02
    0.1836  0.583287E-01     0.906669E-02
    0.2120  0.549262E-01     0.826278E-02
    0.2417  0.514385E-01     0.747150E-02
    0.2728  0.478999E-01     0.670179E-02
    0.3049  0.443470E-01     0.596156E-02
    0.3379  0.408169E-01     0.525759E-02
    0.3719  0.373470E-01     0.459536E-02
    0.4046  0.341450E-01     0.400743E-02
    0.4361  0.312220E-01     0.348889E-02
    0.4678  0.284197E-01     0.301062E-02
    0.4998  0.257401E-01     0.257350E-02
    0.5319  0.231852E-01     0.217778E-02
    0.5639  0.207583E-01     0.182312E-02
    0.5957  0.184634E-01     0.150860E-02
    0.6271  0.163043E-01     0.123279E-02
    0.6581  0.142846E-01     0.993815E-03
    0.6884  0.124072E-01     0.789383E-03
    0.7180  0.106743E-01     0.616906E-03
    0.7468  0.908673E-02     0.473558E-03
    0.7745  0.764458E-02     0.356361E-03
    0.8012  0.634662E-02     0.262269E-03
    0.8266  0.519049E-02     0.188238E-03
    0.8507  0.417276E-02     0.131299E-03
    0.8734  0.328890E-02     0.886242E-04
