
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24668_10_70c97e                                     
  Mach  =    0.850
  alpha =    2.091    CLtot =    0.172
  beta  =    0.000

  Sref  =   913.20000
  Bref  =    64.70000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060401854714065     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.859801E-01     0.152823E-01
    0.0003  0.858206E-01     0.152336E-01
    0.0026  0.855016E-01     0.151365E-01
    0.0071  0.848649E-01     0.149437E-01
    0.0138  0.839127E-01     0.146583E-01
    0.0228  0.826482E-01     0.142846E-01
    0.0340  0.810756E-01     0.138284E-01
    0.0473  0.791995E-01     0.132968E-01
    0.0626  0.770259E-01     0.126978E-01
    0.0799  0.745624E-01     0.120408E-01
    0.0992  0.718202E-01     0.113359E-01
    0.1203  0.688242E-01     0.105937E-01
    0.1432  0.656136E-01     0.982531E-02
    0.1666  0.623679E-01     0.907942E-02
    0.1902  0.590905E-01     0.836320E-02
    0.2151  0.556405E-01     0.764930E-02
    0.2412  0.520477E-01     0.694703E-02
    0.2683  0.483526E-01     0.626507E-02
    0.2965  0.446093E-01     0.561115E-02
    0.3255  0.408842E-01     0.499165E-02
    0.3552  0.372499E-01     0.441136E-02
    0.3855  0.337824E-01     0.387323E-02
    0.4173  0.304583E-01     0.336143E-02
    0.4503  0.273210E-01     0.288028E-02
    0.4835  0.244316E-01     0.244654E-02
    0.5168  0.217607E-01     0.205856E-02
    0.5500  0.192903E-01     0.171450E-02
    0.5830  0.170083E-01     0.141224E-02
    0.6156  0.149056E-01     0.114934E-02
    0.6478  0.129746E-01     0.923145E-03
    0.6793  0.112083E-01     0.730809E-03
    0.7101  0.960012E-02     0.569340E-03
    0.7399  0.814361E-02     0.435677E-03
    0.7687  0.683221E-02     0.326744E-03
    0.7964  0.565932E-02     0.239508E-03
    0.8228  0.461836E-02     0.171023E-03
    0.8479  0.370292E-02     0.118475E-03
    0.8714  0.290689E-02     0.792192E-04
    0.8933  0.222464E-02     0.508010E-04
    0.9136  0.165081E-02     0.309856E-04
    0.9321  0.117994E-02     0.177763E-04
