
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24688_16_4cf844                                     
  Mach  =    0.850
  alpha =    2.119    CLtot =    0.165
  beta  =    0.000

  Sref  =  1006.10000
  Bref  =    68.89000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067121498040354     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.821859E-01     0.152302E-01
    0.0003  0.820422E-01     0.151863E-01
    0.0024  0.817548E-01     0.150988E-01
    0.0067  0.811811E-01     0.149249E-01
    0.0131  0.803231E-01     0.146673E-01
    0.0215  0.791838E-01     0.143299E-01
    0.0320  0.777669E-01     0.139175E-01
    0.0446  0.760766E-01     0.134362E-01
    0.0590  0.741186E-01     0.128932E-01
    0.0754  0.719005E-01     0.122964E-01
    0.0936  0.694340E-01     0.116545E-01
    0.1135  0.667473E-01     0.109768E-01
    0.1351  0.638831E-01     0.102727E-01
    0.1581  0.608712E-01     0.955521E-02
    0.1824  0.577078E-01     0.883344E-02
    0.2081  0.543943E-01     0.811341E-02
    0.2351  0.509642E-01     0.740419E-02
    0.2631  0.474723E-01     0.671402E-02
    0.2922  0.439886E-01     0.604992E-02
    0.3221  0.405852E-01     0.541734E-02
    0.3532  0.372874E-01     0.480955E-02
    0.3853  0.341357E-01     0.423103E-02
    0.4179  0.311626E-01     0.369398E-02
    0.4509  0.283543E-01     0.319916E-02
    0.4840  0.257012E-01     0.274685E-02
    0.5173  0.231973E-01     0.233680E-02
    0.5504  0.208386E-01     0.196832E-02
    0.5834  0.186223E-01     0.164025E-02
    0.6160  0.165460E-01     0.135101E-02
    0.6481  0.146075E-01     0.109867E-02
    0.6795  0.128046E-01     0.881000E-03
    0.7102  0.111346E-01     0.695536E-03
    0.7400  0.959487E-02     0.539633E-03
    0.7688  0.818233E-02     0.410532E-03
    0.7965  0.689365E-02     0.305416E-03
    0.8228  0.572537E-02     0.221465E-03
    0.8478  0.467402E-02     0.155900E-03
    0.8713  0.373659E-02     0.106029E-03
    0.8932  0.291151E-02     0.692717E-04
    0.9135  0.219995E-02     0.431785E-04
    0.9319  0.160561E-02     0.254492E-04
    0.9485  0.112967E-02     0.139807E-04
    0.9630  0.763339E-03     0.706152E-05
    0.9753  0.483280E-03     0.318522E-05
    0.9856  0.274045E-03     0.120722E-05
    0.9939  0.131845E-03     0.353632E-06
    1.0002  0.483515E-04     0.679862E-07
    1.0044  0.102419E-04     0.584339E-08
    1.0064  0.602911E-06     0.801865E-10
    1.0067   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0067121498040354     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.821859E-01    -0.152302E-01
   -0.0003  0.820422E-01    -0.151863E-01
   -0.0024  0.817548E-01    -0.150988E-01
   -0.0067  0.811811E-01    -0.149249E-01
   -0.0131  0.803231E-01    -0.146673E-01
   -0.0215  0.791838E-01    -0.143299E-01
   -0.0320  0.777669E-01    -0.139175E-01
   -0.0446  0.760766E-01    -0.134362E-01
   -0.0590  0.741186E-01    -0.128932E-01
   -0.0754  0.719005E-01    -0.122964E-01
   -0.0936  0.694340E-01    -0.116545E-01
   -0.1135  0.667473E-01    -0.109768E-01
   -0.1351  0.638831E-01    -0.102727E-01
   -0.1581  0.608712E-01    -0.955521E-02
   -0.1824  0.577078E-01    -0.883344E-02
   -0.2081  0.543943E-01    -0.811341E-02
   -0.2351  0.509642E-01    -0.740419E-02
   -0.2631  0.474723E-01    -0.671402E-02
   -0.2922  0.439886E-01    -0.604992E-02
   -0.3221  0.405852E-01    -0.541734E-02
   -0.3532  0.372874E-01    -0.480955E-02
   -0.3853  0.341357E-01    -0.423103E-02
   -0.4179  0.311626E-01    -0.369398E-02
   -0.4509  0.283543E-01    -0.319916E-02
   -0.4840  0.257012E-01    -0.274685E-02
   -0.5173  0.231973E-01    -0.233680E-02
   -0.5504  0.208386E-01    -0.196832E-02
   -0.5834  0.186223E-01    -0.164025E-02
   -0.6160  0.165460E-01    -0.135101E-02
   -0.6481  0.146075E-01    -0.109867E-02
   -0.6795  0.128046E-01    -0.881000E-03
   -0.7102  0.111346E-01    -0.695536E-03
   -0.7400  0.959487E-02    -0.539633E-03
   -0.7688  0.818233E-02    -0.410532E-03
   -0.7965  0.689365E-02    -0.305416E-03
   -0.8228  0.572537E-02    -0.221465E-03
   -0.8478  0.467402E-02    -0.155900E-03
   -0.8713  0.373659E-02    -0.106029E-03
   -0.8932  0.291151E-02    -0.692717E-04
