
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24688_4_d7c252                                      
  Mach  =    0.850
  alpha =    1.824    CLtot =    0.166
  beta  =    0.000

  Sref  =   929.60000
  Bref  =    67.23000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063453815261043     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.827075E-01     0.153261E-01
    0.0003  0.825659E-01     0.152813E-01
    0.0024  0.822828E-01     0.151919E-01
    0.0068  0.817177E-01     0.150143E-01
    0.0133  0.808727E-01     0.147513E-01
    0.0218  0.797511E-01     0.144065E-01
    0.0325  0.783568E-01     0.139850E-01
    0.0452  0.766947E-01     0.134929E-01
    0.0599  0.747709E-01     0.129373E-01
    0.0765  0.725923E-01     0.123262E-01
    0.0949  0.701682E-01     0.116685E-01
    0.1151  0.675156E-01     0.109733E-01
    0.1365  0.647225E-01     0.102668E-01
    0.1590  0.617982E-01     0.955768E-02
    0.1828  0.586789E-01     0.883971E-02
    0.2080  0.553798E-01     0.812246E-02
    0.2344  0.519426E-01     0.741514E-02
    0.2618  0.484256E-01     0.672616E-02
    0.2903  0.448872E-01     0.606280E-02
    0.3196  0.413907E-01     0.543098E-02
    0.3496  0.380037E-01     0.483507E-02
    0.3809  0.347255E-01     0.426298E-02
    0.4134  0.316040E-01     0.371934E-02
    0.4463  0.286897E-01     0.321980E-02
    0.4793  0.259593E-01     0.276410E-02
    0.5124  0.233981E-01     0.235164E-02
    0.5455  0.209968E-01     0.198144E-02
    0.5783  0.187488E-01     0.165215E-02
    0.6108  0.166491E-01     0.136202E-02
    0.6428  0.146935E-01     0.110903E-02
    0.6741  0.128781E-01     0.890853E-03
    0.7047  0.111995E-01     0.704961E-03
    0.7344  0.965417E-02     0.548667E-03
    0.7631  0.823858E-02     0.419176E-03
    0.7907  0.694936E-02     0.313646E-03
    0.8169  0.578320E-02     0.229233E-03
    0.8418  0.473712E-02     0.163135E-03
    0.8653  0.380866E-02     0.112638E-03
    0.8871  0.299620E-02     0.751440E-04
    0.9073  0.229904E-02     0.482062E-04
    0.9257  0.171659E-02     0.295629E-04
    0.9422  0.124599E-02     0.171843E-04
    0.9569  0.878281E-03     0.933292E-05
    0.9702  0.577566E-03     0.442614E-05
    0.9821  0.333147E-03     0.169334E-05
    0.9916  0.161571E-03     0.498026E-06
    0.9988  0.593109E-04     0.957514E-07
    1.0036  0.125310E-04     0.821223E-08
    1.0060  0.735409E-06     0.112372E-09
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063453815261043     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.827075E-01    -0.153261E-01
   -0.0003  0.825659E-01    -0.152813E-01
   -0.0024  0.822828E-01    -0.151919E-01
   -0.0068  0.817177E-01    -0.150143E-01
   -0.0133  0.808727E-01    -0.147513E-01
   -0.0218  0.797511E-01    -0.144065E-01
   -0.0325  0.783568E-01    -0.139850E-01
   -0.0452  0.766947E-01    -0.134929E-01
   -0.0599  0.747709E-01    -0.129373E-01
   -0.0765  0.725923E-01    -0.123262E-01
   -0.0949  0.701682E-01    -0.116685E-01
   -0.1151  0.675156E-01    -0.109733E-01
   -0.1365  0.647225E-01    -0.102668E-01
   -0.1590  0.617982E-01    -0.955768E-02
   -0.1828  0.586789E-01    -0.883971E-02
   -0.2080  0.553798E-01    -0.812246E-02
   -0.2344  0.519426E-01    -0.741514E-02
   -0.2618  0.484256E-01    -0.672616E-02
   -0.2903  0.448872E-01    -0.606280E-02
   -0.3196  0.413907E-01    -0.543098E-02
   -0.3496  0.380037E-01    -0.483507E-02
   -0.3809  0.347255E-01    -0.426298E-02
   -0.4134  0.316040E-01    -0.371934E-02
   -0.4463  0.286897E-01    -0.321980E-02
   -0.4793  0.259593E-01    -0.276410E-02
   -0.5124  0.233981E-01    -0.235164E-02
   -0.5455  0.209968E-01    -0.198144E-02
   -0.5783  0.187488E-01    -0.165215E-02
   -0.6108  0.166491E-01    -0.136202E-02
   -0.6428  0.146935E-01    -0.110903E-02
   -0.6741  0.128781E-01    -0.890853E-03
   -0.7047  0.111995E-01    -0.704961E-03
   -0.7344  0.965417E-02    -0.548667E-03
   -0.7631  0.823858E-02    -0.419176E-03
   -0.7907  0.694936E-02    -0.313646E-03
   -0.8169  0.578320E-02    -0.229233E-03
   -0.8418  0.473712E-02    -0.163135E-03
   -0.8653  0.380866E-02    -0.112638E-03
   -0.8871  0.299620E-02    -0.751440E-04
   -0.9073  0.229904E-02    -0.482062E-04
   -0.9257  0.171659E-02    -0.295629E-04
   -0.9422  0.124599E-02    -0.171843E-04
   -0.9569  0.878281E-03    -0.933292E-05
   -0.9702  0.577566E-03    -0.442614E-05
   -0.9821  0.333147E-03    -0.169334E-05
   -0.9916  0.161571E-03    -0.498026E-06
   -0.9988  0.593109E-04    -0.957514E-07
   -1.0036  0.125310E-04    -0.821223E-08
   -1.0060  0.735409E-06    -0.112372E-09
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12196935891715006     
     2Ymax/Bref =   0.18909712925777181     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1220  0.725737E-03     0.227102E-04
    0.1223  0.723790E-03     0.218952E-04
    0.1245  0.715525E-03     0.202766E-04
    0.1289  0.681240E-03     0.172422E-04
    0.1351  0.606539E-03     0.132858E-04
    0.1427  0.494001E-03     0.914479E-05
    0.1512  0.365761E-03     0.553654E-05
    0.1599  0.245762E-03     0.287957E-05
    0.1684  0.146969E-03     0.123136E-05
    0.1760  0.743117E-04     0.398738E-06
    0.1822  0.284697E-04     0.829660E-07
    0.1865  0.624393E-05     0.755334E-08
    0.1888  0.377072E-06     0.107844E-09
    0.1891   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.18909712925777181     
     2Ymax/Bref =  -0.12196935891715006     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1220  0.725737E-03    -0.227102E-04
   -0.1223  0.723790E-03    -0.218952E-04
   -0.1245  0.715525E-03    -0.202766E-04
   -0.1289  0.681240E-03    -0.172422E-04
   -0.1351  0.606539E-03    -0.132858E-04
   -0.1427  0.494001E-03    -0.914479E-05
   -0.1512  0.365761E-03    -0.553654E-05
   -0.1599  0.245762E-03    -0.287957E-05
   -0.1684  0.146969E-03    -0.123136E-05
   -0.1760  0.743117E-04    -0.398738E-06
   -0.1822  0.284697E-04    -0.829660E-07
   -0.1865  0.624393E-05    -0.755334E-08
   -0.1888  0.377072E-06    -0.107844E-09
   -0.1891   0.00000         -0.00000    
