
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24692_12_bd2831                                     
  Mach  =    0.850
  alpha =    2.008    CLtot =    0.180
  beta  =    0.000

  Sref  =   887.50000
  Bref  =    65.27000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063306266278536     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.896268E-01     0.163010E-01
    0.0003  0.894773E-01     0.162556E-01
    0.0023  0.891781E-01     0.161650E-01
    0.0063  0.885810E-01     0.159851E-01
    0.0124  0.876880E-01     0.157184E-01
    0.0204  0.865018E-01     0.153688E-01
    0.0304  0.850254E-01     0.149413E-01
    0.0423  0.832626E-01     0.144419E-01
    0.0560  0.812182E-01     0.138778E-01
    0.0715  0.788990E-01     0.132570E-01
    0.0888  0.763158E-01     0.125883E-01
    0.1077  0.734901E-01     0.118811E-01
    0.1281  0.704835E-01     0.111450E-01
    0.1518  0.670908E-01     0.103288E-01
    0.1789  0.633003E-01     0.944804E-02
    0.2074  0.593515E-01     0.857378E-02
    0.2373  0.552881E-01     0.771737E-02
    0.2684  0.511717E-01     0.688901E-02
    0.3007  0.470555E-01     0.609749E-02
    0.3339  0.429909E-01     0.535004E-02
    0.3679  0.390293E-01     0.465223E-02
    0.4009  0.354160E-01     0.403707E-02
    0.4325  0.321618E-01     0.349806E-02
    0.4644  0.290796E-01     0.300428E-02
    0.4966  0.261641E-01     0.255598E-02
    0.5288  0.234131E-01     0.215280E-02
    0.5610  0.208262E-01     0.179380E-02
    0.5929  0.184042E-01     0.147749E-02
    0.6246  0.161481E-01     0.120190E-02
    0.6557  0.140585E-01     0.964619E-03
    0.6862  0.121351E-01     0.762908E-03
    0.7160  0.103768E-01     0.593768E-03
    0.7449  0.878160E-02     0.454032E-03
    0.7728  0.734611E-02     0.340447E-03
    0.7996  0.606606E-02     0.249756E-03
    0.8252  0.493613E-02     0.178772E-03
    0.8494  0.395015E-02     0.124439E-03
    0.8722  0.310122E-02     0.838900E-04
    0.8934  0.238179E-02     0.544898E-04
    0.9131  0.178342E-02     0.338691E-04
    0.9310  0.129592E-02     0.199563E-04
    0.9472  0.903460E-03     0.109294E-04
    0.9617  0.595331E-03     0.543135E-05
    0.9742  0.364334E-03     0.238540E-05
    0.9848  0.200098E-03     0.880622E-06
    0.9933  0.931489E-04     0.251127E-06
    0.9996  0.329967E-04     0.470141E-07
    1.0039  0.678499E-05     0.394717E-08
    1.0061  0.393146E-06     0.533729E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063306266278536     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.896268E-01    -0.163010E-01
   -0.0003  0.894773E-01    -0.162556E-01
   -0.0023  0.891781E-01    -0.161650E-01
   -0.0063  0.885810E-01    -0.159851E-01
   -0.0124  0.876880E-01    -0.157184E-01
   -0.0204  0.865018E-01    -0.153688E-01
   -0.0304  0.850254E-01    -0.149413E-01
   -0.0423  0.832626E-01    -0.144419E-01
   -0.0560  0.812182E-01    -0.138778E-01
   -0.0715  0.788990E-01    -0.132570E-01
   -0.0888  0.763158E-01    -0.125883E-01
   -0.1077  0.734901E-01    -0.118811E-01
   -0.1281  0.704835E-01    -0.111450E-01
   -0.1518  0.670908E-01    -0.103288E-01
   -0.1789  0.633003E-01    -0.944804E-02
   -0.2074  0.593515E-01    -0.857378E-02
   -0.2373  0.552881E-01    -0.771737E-02
   -0.2684  0.511717E-01    -0.688901E-02
   -0.3007  0.470555E-01    -0.609749E-02
   -0.3339  0.429909E-01    -0.535004E-02
   -0.3679  0.390293E-01    -0.465223E-02
   -0.4009  0.354160E-01    -0.403707E-02
   -0.4325  0.321618E-01    -0.349806E-02
   -0.4644  0.290796E-01    -0.300428E-02
   -0.4966  0.261641E-01    -0.255598E-02
   -0.5288  0.234131E-01    -0.215280E-02
   -0.5610  0.208262E-01    -0.179380E-02
   -0.5929  0.184042E-01    -0.147749E-02
