
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24692_7_7c8acf                                      
  Mach  =    0.850
  alpha =    2.612    CLtot =    0.195
  beta  =    0.000

  Sref  =   767.20000
  Bref  =    63.50000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063149606299213     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.967583E-01     0.166175E-01
    0.0003  0.965729E-01     0.165656E-01
    0.0024  0.962019E-01     0.164623E-01
    0.0067  0.954616E-01     0.162572E-01
    0.0131  0.943546E-01     0.159536E-01
    0.0216  0.928848E-01     0.155563E-01
    0.0321  0.910570E-01     0.150716E-01
    0.0447  0.888773E-01     0.145071E-01
    0.0592  0.863533E-01     0.138717E-01
    0.0756  0.834949E-01     0.131755E-01
    0.0938  0.803163E-01     0.124294E-01
    0.1138  0.768437E-01     0.116450E-01
    0.1354  0.731407E-01     0.108343E-01
    0.1593  0.691388E-01     0.998622E-02
    0.1853  0.648200E-01     0.911536E-02
    0.2128  0.602943E-01     0.825708E-02
    0.2415  0.556265E-01     0.742367E-02
    0.2715  0.509128E-01     0.662586E-02
    0.3025  0.462471E-01     0.587238E-02
    0.3345  0.417357E-01     0.516953E-02
    0.3673  0.375031E-01     0.452073E-02
    0.3998  0.337579E-01     0.393834E-02
    0.4320  0.304659E-01     0.341689E-02
    0.4645  0.274469E-01     0.294157E-02
    0.4973  0.246597E-01     0.251115E-02
    0.5301  0.220788E-01     0.212423E-02
    0.5628  0.196870E-01     0.177922E-02
    0.5954  0.174713E-01     0.147425E-02
    0.6275  0.154216E-01     0.120718E-02
    0.6592  0.135291E-01     0.975685E-03
    0.6903  0.117863E-01     0.777239E-03
    0.7206  0.101861E-01     0.609190E-03
    0.7500  0.872227E-02     0.468804E-03
    0.7784  0.738859E-02     0.353302E-03
    0.8057  0.617937E-02     0.259911E-03
    0.8317  0.508926E-02     0.185904E-03
    0.8564  0.411352E-02     0.128626E-03
    0.8796  0.324830E-02     0.855326E-04
    0.9012  0.249098E-02     0.542061E-04
    0.9212  0.184063E-02     0.323769E-04
    0.9385  0.132423E-02     0.185161E-04
    0.9532  0.928264E-03     0.101289E-04
    0.9662  0.614887E-03     0.504608E-05
    0.9775  0.377060E-03     0.221915E-05
    0.9870  0.207243E-03     0.820452E-06
    0.9946  0.966894E-04     0.234638E-06
    1.0003  0.344359E-04     0.441318E-07
    1.0042  0.713158E-05     0.372658E-08
    1.0061  0.415539E-06     0.506527E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063149606299213     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.967583E-01    -0.166175E-01
   -0.0003  0.965729E-01    -0.165656E-01
   -0.0024  0.962019E-01    -0.164623E-01
   -0.0067  0.954616E-01    -0.162572E-01
   -0.0131  0.943546E-01    -0.159536E-01
   -0.0216  0.928848E-01    -0.155563E-01
   -0.0321  0.910570E-01    -0.150716E-01
   -0.0447  0.888773E-01    -0.145071E-01
   -0.0592  0.863533E-01    -0.138717E-01
   -0.0756  0.834949E-01    -0.131755E-01
   -0.0938  0.803163E-01    -0.124294E-01
   -0.1138  0.768437E-01    -0.116450E-01
   -0.1354  0.731407E-01    -0.108343E-01
   -0.1593  0.691388E-01    -0.998622E-02
   -0.1853  0.648200E-01    -0.911536E-02
   -0.2128  0.602943E-01    -0.825708E-02
   -0.2415  0.556265E-01    -0.742367E-02
   -0.2715  0.509128E-01    -0.662586E-02
   -0.3025  0.462471E-01    -0.587238E-02
   -0.3345  0.417357E-01    -0.516953E-02
   -0.3673  0.375031E-01    -0.452073E-02
   -0.3998  0.337579E-01    -0.393834E-02
   -0.4320  0.304659E-01    -0.341689E-02
   -0.4645  0.274469E-01    -0.294157E-02
   -0.4973  0.246597E-01    -0.251115E-02
   -0.5301  0.220788E-01    -0.212423E-02
   -0.5628  0.196870E-01    -0.177922E-02
   -0.5954  0.174713E-01    -0.147425E-02
   -0.6275  0.154216E-01    -0.120718E-02
   -0.6592  0.135291E-01    -0.975685E-03
   -0.6903  0.117863E-01    -0.777239E-03
   -0.7206  0.101861E-01    -0.609190E-03
   -0.7500  0.872227E-02    -0.468804E-03
   -0.7784  0.738859E-02    -0.353302E-03
   -0.8057  0.617937E-02    -0.259911E-03
   -0.8317  0.508926E-02    -0.185904E-03
   -0.8564  0.411352E-02    -0.128626E-03
   -0.8796  0.324830E-02    -0.855326E-04
   -0.9012  0.249098E-02    -0.542061E-04
   -0.9212  0.184063E-02    -0.323769E-04
   -0.9385  0.132423E-02    -0.185161E-04
   -0.9532  0.928264E-03    -0.101289E-04
   -0.9662  0.614887E-03    -0.504608E-05
   -0.9775  0.377060E-03    -0.221915E-05
   -0.9870  0.207243E-03    -0.820452E-06
   -0.9946  0.966894E-04    -0.234638E-06
   -1.0003  0.344359E-04    -0.441318E-07
   -1.0042  0.713158E-05    -0.372658E-08
   -1.0061  0.415539E-06    -0.506527E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12913385826771653     
     2Ymax/Bref =   0.20020472440944881     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1291  0.153800E-02     0.512881E-04
    0.1294  0.153406E-02     0.494593E-04
    0.1318  0.151726E-02     0.458265E-04
    0.1365  0.144699E-02     0.390086E-04
    0.1430  0.129142E-02     0.301013E-04
    0.1511  0.105396E-02     0.207578E-04
    0.1600  0.782366E-03     0.125984E-04
    0.1693  0.527822E-03     0.657144E-05
    0.1783  0.316976E-03     0.281773E-05
    0.1863  0.160798E-03     0.914389E-06
    0.1929  0.617367E-04     0.190543E-06
    0.1975  0.135572E-04     0.173645E-07
    0.1999  0.819280E-06     0.248082E-09
    0.2002   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20020472440944881     
     2Ymax/Bref =  -0.12913385826771653     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1291  0.153800E-02    -0.512881E-04
   -0.1294  0.153406E-02    -0.494593E-04
   -0.1318  0.151726E-02    -0.458265E-04
   -0.1365  0.144699E-02    -0.390086E-04
   -0.1430  0.129142E-02    -0.301013E-04
   -0.1511  0.105396E-02    -0.207578E-04
   -0.1600  0.782366E-03    -0.125984E-04
   -0.1693  0.527822E-03    -0.657144E-05
   -0.1783  0.316976E-03    -0.281773E-05
   -0.1863  0.160798E-03    -0.914389E-06
   -0.1929  0.617367E-04    -0.190543E-06
   -0.1975  0.135572E-04    -0.173645E-07
   -0.1999  0.819280E-06    -0.248082E-09
   -0.2002   0.00000         -0.00000    
