
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24704_12_7b4c06                                     
  Mach  =    0.850
  alpha =    1.906    CLtot =    0.170
  beta  =    0.000

  Sref  =   948.90000
  Bref  =    64.31000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0065308661172445     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.847414E-01     0.156123E-01
    0.0003  0.845857E-01     0.155627E-01
    0.0026  0.842743E-01     0.154637E-01
    0.0073  0.836528E-01     0.152671E-01
    0.0143  0.827232E-01     0.149762E-01
    0.0236  0.814881E-01     0.145951E-01
    0.0351  0.799507E-01     0.141299E-01
    0.0489  0.781146E-01     0.135876E-01
    0.0647  0.759846E-01     0.129766E-01
    0.0827  0.735674E-01     0.123062E-01
    0.1026  0.708736E-01     0.115868E-01
    0.1245  0.679277E-01     0.108293E-01
    0.1462  0.650274E-01     0.101095E-01
    0.1674  0.622050E-01     0.943387E-02
    0.1900  0.592240E-01     0.874825E-02
    0.2139  0.561029E-01     0.806113E-02
    0.2388  0.528740E-01     0.738066E-02
    0.2649  0.495761E-01     0.671435E-02
    0.2918  0.462470E-01     0.606894E-02
    0.3196  0.429260E-01     0.545023E-02
    0.3481  0.396529E-01     0.486299E-02
    0.3786  0.363145E-01     0.428000E-02
    0.4111  0.329830E-01     0.371096E-02
    0.4440  0.298333E-01     0.318954E-02
    0.4772  0.268570E-01     0.271592E-02
    0.5103  0.240492E-01     0.228971E-02
    0.5434  0.214083E-01     0.190994E-02
    0.5763  0.189343E-01     0.157506E-02
    0.6089  0.166276E-01     0.128305E-02
    0.6409  0.144891E-01     0.103140E-02
    0.6724  0.125190E-01     0.817278E-03
    0.7030  0.107165E-01     0.637550E-03
    0.7328  0.908034E-02     0.488895E-03
    0.7615  0.760770E-02     0.367895E-03
    0.7891  0.629471E-02     0.271115E-03
    0.8154  0.513622E-02     0.195188E-03
    0.8404  0.412586E-02     0.136886E-03
    0.8638  0.325613E-02     0.931834E-04
    0.8857  0.251848E-02     0.613058E-04
    0.9059  0.190345E-02     0.387681E-04
    0.9243  0.140064E-02     0.233993E-04
    0.9409  0.998610E-03     0.133556E-04
    0.9564  0.669300E-03     0.685345E-05
    0.9705  0.408866E-03     0.300863E-05
    0.9823  0.224562E-03     0.111129E-05
    0.9918  0.104679E-03     0.317211E-06
    0.9990  0.371223E-04     0.594205E-07
    1.0038  0.763043E-05     0.498686E-08
    1.0062  0.441455E-06     0.673349E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0065308661172445     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.847414E-01    -0.156123E-01
   -0.0003  0.845857E-01    -0.155627E-01
   -0.0026  0.842743E-01    -0.154637E-01
   -0.0073  0.836528E-01    -0.152671E-01
   -0.0143  0.827232E-01    -0.149762E-01
   -0.0236  0.814881E-01    -0.145951E-01
   -0.0351  0.799507E-01    -0.141299E-01
   -0.0489  0.781146E-01    -0.135876E-01
   -0.0647  0.759846E-01    -0.129766E-01
   -0.0827  0.735674E-01    -0.123062E-01
   -0.1026  0.708736E-01    -0.115868E-01
   -0.1245  0.679277E-01    -0.108293E-01
   -0.1462  0.650274E-01    -0.101095E-01
   -0.1674  0.622050E-01    -0.943387E-02
   -0.1900  0.592240E-01    -0.874825E-02
   -0.2139  0.561029E-01    -0.806113E-02
   -0.2388  0.528740E-01    -0.738066E-02
   -0.2649  0.495761E-01    -0.671435E-02
   -0.2918  0.462470E-01    -0.606894E-02
   -0.3196  0.429260E-01    -0.545023E-02
   -0.3481  0.396529E-01    -0.486299E-02
   -0.3786  0.363145E-01    -0.428000E-02
   -0.4111  0.329830E-01    -0.371096E-02
   -0.4440  0.298333E-01    -0.318954E-02
   -0.4772  0.268570E-01    -0.271592E-02
   -0.5103  0.240492E-01    -0.228971E-02
   -0.5434  0.214083E-01    -0.190994E-02
   -0.5763  0.189343E-01    -0.157506E-02
   -0.6089  0.166276E-01    -0.128305E-02
   -0.6409  0.144891E-01    -0.103140E-02
   -0.6724  0.125190E-01    -0.817278E-03
   -0.7030  0.107165E-01    -0.637550E-03
   -0.7328  0.908034E-02    -0.488895E-03
   -0.7615  0.760770E-02    -0.367895E-03
   -0.7891  0.629471E-02    -0.271115E-03
   -0.8154  0.513622E-02    -0.195188E-03
   -0.8404  0.412586E-02    -0.136886E-03
   -0.8638  0.325613E-02    -0.931834E-04
   -0.8857  0.251848E-02    -0.613058E-04
   -0.9059  0.190345E-02    -0.387681E-04
   -0.9243  0.140064E-02    -0.233993E-04
   -0.9409  0.998610E-03    -0.133556E-04
   -0.9564  0.669300E-03    -0.685345E-05
   -0.9705  0.408866E-03    -0.300863E-05
   -0.9823  0.224562E-03    -0.111129E-05
   -0.9918  0.104679E-03    -0.317211E-06
   -0.9990  0.371223E-04    -0.594205E-07
   -1.0038  0.763043E-05    -0.498686E-08
   -1.0062  0.441455E-06    -0.673349E-10
   -1.0065   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12750738609858497     
     2Ymax/Bref =   0.19768309749650131     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1275  0.544072E-03     0.189818E-04
    0.1278  0.542600E-03     0.183431E-04
    0.1302  0.536601E-03     0.170744E-04
    0.1348  0.513235E-03     0.146901E-04
    0.1412  0.465725E-03     0.115459E-04
