
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24704_8_c079af                                      
  Mach  =    0.850
  alpha =    2.320    CLtot =    0.174
  beta  =    0.000

  Sref  =   896.10000
  Bref  =    52.45000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059752144899903     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.865830E-01     0.173244E-01
    0.0003  0.864553E-01     0.172790E-01
    0.0024  0.861998E-01     0.171885E-01
    0.0065  0.856899E-01     0.170086E-01
    0.0128  0.849274E-01     0.167417E-01
    0.0211  0.839153E-01     0.163913E-01
    0.0314  0.826570E-01     0.159620E-01
    0.0437  0.811569E-01     0.154594E-01
    0.0579  0.794199E-01     0.148899E-01
    0.0739  0.774524E-01     0.142610E-01
    0.0918  0.752623E-01     0.135808E-01
    0.1113  0.728596E-01     0.128578E-01
    0.1325  0.702606E-01     0.121012E-01
    0.1552  0.675026E-01     0.113201E-01
    0.1792  0.646303E-01     0.105277E-01
    0.2044  0.616488E-01     0.973249E-02
    0.2308  0.585507E-01     0.893921E-02
    0.2583  0.553476E-01     0.815627E-02
    0.2868  0.520620E-01     0.739164E-02
    0.3161  0.487274E-01     0.665253E-02
    0.3462  0.453809E-01     0.594519E-02
    0.3769  0.420570E-01     0.527481E-02
    0.4080  0.387909E-01     0.464542E-02
    0.4406  0.355087E-01     0.403859E-02
    0.4743  0.322502E-01     0.346148E-02
    0.5081  0.291388E-01     0.293750E-02
    0.5419  0.261775E-01     0.246636E-02
    0.5754  0.233684E-01     0.204708E-02
    0.6086  0.207151E-01     0.167804E-02
    0.6413  0.182214E-01     0.135702E-02
    0.6733  0.158915E-01     0.108131E-02
    0.7046  0.137288E-01     0.847730E-03
    0.7349  0.117363E-01     0.652789E-03
    0.7642  0.991569E-02     0.492740E-03
    0.7923  0.826756E-02     0.363694E-03
    0.8192  0.679109E-02     0.261723E-03
    0.8446  0.548394E-02     0.182950E-03
    0.8685  0.434223E-02     0.123645E-03
    0.8908  0.336040E-02     0.802959E-04
    0.9114  0.253107E-02     0.496835E-04
    0.9302  0.184441E-02     0.289348E-04
    0.9469  0.129179E-02     0.157306E-04
    0.9614  0.857222E-03     0.784928E-05
    0.9739  0.525978E-03     0.346017E-05
    0.9844  0.289940E-03     0.128547E-05
    0.9929  0.136369E-03     0.370578E-06
    0.9993  0.491908E-04     0.704057E-07
    1.0036  0.103140E-04     0.600342E-08
    1.0057  0.604722E-06     0.820751E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059752144899903     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.865830E-01    -0.173244E-01
   -0.0003  0.864553E-01    -0.172790E-01
   -0.0024  0.861998E-01    -0.171885E-01
   -0.0065  0.856899E-01    -0.170086E-01
   -0.0128  0.849274E-01    -0.167417E-01
   -0.0211  0.839153E-01    -0.163913E-01
   -0.0314  0.826570E-01    -0.159620E-01
   -0.0437  0.811569E-01    -0.154594E-01
   -0.0579  0.794199E-01    -0.148899E-01
   -0.0739  0.774524E-01    -0.142610E-01
   -0.0918  0.752623E-01    -0.135808E-01
   -0.1113  0.728596E-01    -0.128578E-01
   -0.1325  0.702606E-01    -0.121012E-01
   -0.1552  0.675026E-01    -0.113201E-01
   -0.1792  0.646303E-01    -0.105277E-01
   -0.2044  0.616488E-01    -0.973249E-02
   -0.2308  0.585507E-01    -0.893921E-02
   -0.2583  0.553476E-01    -0.815627E-02
   -0.2868  0.520620E-01    -0.739164E-02
   -0.3161  0.487274E-01    -0.665253E-02
   -0.3462  0.453809E-01    -0.594519E-02
   -0.3769  0.420570E-01    -0.527481E-02
   -0.4080  0.387909E-01    -0.464542E-02
   -0.4406  0.355087E-01    -0.403859E-02
   -0.4743  0.322502E-01    -0.346148E-02
   -0.5081  0.291388E-01    -0.293750E-02
   -0.5419  0.261775E-01    -0.246636E-02
   -0.5754  0.233684E-01    -0.204708E-02
   -0.6086  0.207151E-01    -0.167804E-02
   -0.6413  0.182214E-01    -0.135702E-02
   -0.6733  0.158915E-01    -0.108131E-02
   -0.7046  0.137288E-01    -0.847730E-03
   -0.7349  0.117363E-01    -0.652789E-03
   -0.7642  0.991569E-02    -0.492740E-03
   -0.7923  0.826756E-02    -0.363694E-03
   -0.8192  0.679109E-02    -0.261723E-03
   -0.8446  0.548394E-02    -0.182950E-03
   -0.8685  0.434223E-02    -0.123645E-03
   -0.8908  0.336040E-02    -0.802959E-04
   -0.9114  0.253107E-02    -0.496835E-04
   -0.9302  0.184441E-02    -0.289348E-04
   -0.9469  0.129179E-02    -0.157306E-04
   -0.9614  0.857222E-03    -0.784928E-05
   -0.9739  0.525978E-03    -0.346017E-05
   -0.9844  0.289940E-03    -0.128547E-05
   -0.9929  0.136369E-03    -0.370578E-06
   -0.9993  0.491908E-04    -0.704057E-07
   -1.0036  0.103140E-04    -0.600342E-08
   -1.0057  0.604722E-06    -0.820751E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.15633937082936128     
     2Ymax/Bref =   0.24238322211630120     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
