
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24744_6_d499e6                                      
  Mach  =    0.850
  alpha =    1.983    CLtot =    0.170
  beta  =    0.000

  Sref  =   982.00000
  Bref  =    75.91000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0066552496377290     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.844592E-01     0.153918E-01
    0.0003  0.843033E-01     0.153467E-01
    0.0024  0.839914E-01     0.152567E-01
    0.0067  0.833687E-01     0.150781E-01
    0.0131  0.824373E-01     0.148136E-01
    0.0215  0.811999E-01     0.144673E-01
    0.0321  0.796593E-01     0.140446E-01
    0.0446  0.778196E-01     0.135518E-01
    0.0590  0.756861E-01     0.129967E-01
    0.0754  0.732678E-01     0.123878E-01
    0.0936  0.705819E-01     0.117343E-01
    0.1135  0.676756E-01     0.110462E-01
    0.1349  0.646088E-01     0.103376E-01
    0.1578  0.613854E-01     0.961814E-02
    0.1821  0.580120E-01     0.889320E-02
    0.2077  0.545369E-01     0.817211E-02
    0.2346  0.510072E-01     0.746342E-02
    0.2626  0.474724E-01     0.677468E-02
    0.2916  0.439865E-01     0.611226E-02
    0.3214  0.406055E-01     0.548112E-02
    0.3523  0.373496E-01     0.487676E-02
    0.3841  0.342531E-01     0.430296E-02
    0.4163  0.313398E-01     0.376924E-02
    0.4489  0.285923E-01     0.327629E-02
    0.4817  0.259980E-01     0.282436E-02
    0.5146  0.235485E-01     0.241331E-02
    0.5474  0.212383E-01     0.204254E-02
    0.5800  0.190634E-01     0.171105E-02
    0.6123  0.170206E-01     0.141744E-02
    0.6440  0.151073E-01     0.115998E-02
    0.6752  0.133208E-01     0.936649E-03
    0.7055  0.116587E-01     0.745188E-03
    0.7350  0.101184E-01     0.583151E-03
    0.7635  0.869725E-02     0.447965E-03
    0.7908  0.739237E-02     0.336977E-03
    0.8169  0.620081E-02     0.247509E-03
    0.8416  0.511961E-02     0.176898E-03
    0.8649  0.414611E-02     0.122543E-03
    0.8866  0.327918E-02     0.819256E-04
    0.9066  0.252142E-02     0.526300E-04
    0.9249  0.188042E-02     0.323413E-04
    0.9413  0.136380E-02     0.188838E-04
    0.9567  0.940521E-03     0.995491E-05
    0.9707  0.595289E-03     0.449390E-05
    0.9825  0.338151E-03     0.170597E-05
    0.9920  0.163086E-03     0.500560E-06
    0.9992  0.599101E-04     0.963302E-07
    1.0040  0.126907E-04     0.827911E-08
    1.0064  0.746133E-06     0.113479E-09
    1.0067   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0066552496377290     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.844592E-01    -0.153918E-01
   -0.0003  0.843033E-01    -0.153467E-01
   -0.0024  0.839914E-01    -0.152567E-01
   -0.0067  0.833687E-01    -0.150781E-01
   -0.0131  0.824373E-01    -0.148136E-01
   -0.0215  0.811999E-01    -0.144673E-01
   -0.0321  0.796593E-01    -0.140446E-01
   -0.0446  0.778196E-01    -0.135518E-01
   -0.0590  0.756861E-01    -0.129967E-01
   -0.0754  0.732678E-01    -0.123878E-01
   -0.0936  0.705819E-01    -0.117343E-01
   -0.1135  0.676756E-01    -0.110462E-01
   -0.1349  0.646088E-01    -0.103376E-01
   -0.1578  0.613854E-01    -0.961814E-02
   -0.1821  0.580120E-01    -0.889320E-02
   -0.2077  0.545369E-01    -0.817211E-02
   -0.2346  0.510072E-01    -0.746342E-02
