
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24764_17_b23c68                                     
  Mach  =    0.850
  alpha =    2.194    CLtot =    0.181
  beta  =    0.000

  Sref  =   826.50000
  Bref  =    70.09000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0065772578113854     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.903004E-01     0.158248E-01
    0.0003  0.901291E-01     0.157760E-01
    0.0024  0.897864E-01     0.156786E-01
    0.0068  0.891024E-01     0.154853E-01
    0.0132  0.880798E-01     0.151993E-01
    0.0218  0.867226E-01     0.148249E-01
    0.0324  0.850361E-01     0.143680E-01
    0.0451  0.830270E-01     0.138358E-01
    0.0598  0.807039E-01     0.132365E-01
    0.0763  0.780775E-01     0.125795E-01
    0.0947  0.751640E-01     0.118750E-01
    0.1149  0.720026E-01     0.111336E-01
    0.1373  0.685273E-01     0.103445E-01
    0.1621  0.647227E-01     0.952120E-02
    0.1884  0.606699E-01     0.869739E-02
    0.2161  0.564043E-01     0.788576E-02
    0.2452  0.520124E-01     0.709804E-02
    0.2755  0.475985E-01     0.634423E-02
    0.3068  0.432707E-01     0.563207E-02
    0.3392  0.391527E-01     0.496665E-02
    0.3708  0.355264E-01     0.437378E-02
    0.4015  0.323654E-01     0.384671E-02
    0.4328  0.294423E-01     0.335950E-02
    0.4644  0.267214E-01     0.291196E-02
    0.4962  0.241811E-01     0.250372E-02
    0.5280  0.218069E-01     0.213411E-02
    0.5598  0.195882E-01     0.180212E-02
    0.5914  0.175169E-01     0.150645E-02
    0.6226  0.155862E-01     0.124551E-02
    0.6534  0.137903E-01     0.101745E-02
    0.6835  0.121241E-01     0.820227E-03
    0.7130  0.105827E-01     0.651620E-03
    0.7415  0.916182E-02     0.509295E-03
    0.7691  0.785712E-02     0.390836E-03
    0.7956  0.666460E-02     0.293793E-03
    0.8209  0.558046E-02     0.215714E-03
    0.8448  0.460119E-02     0.154190E-03
    0.8674  0.372381E-02     0.106878E-03
    0.8884  0.294635E-02     0.715307E-04
    0.9077  0.226897E-02     0.460136E-04
    0.9254  0.169597E-02     0.283093E-04
    0.9423  0.120592E-02     0.159752E-04
    0.9580  0.799535E-03     0.797468E-05
    0.9717  0.491424E-03     0.351859E-05
    0.9831  0.271379E-03     0.130695E-05
    0.9924  0.127505E-03     0.375749E-06
    0.9993  0.457001E-04     0.709603E-07
    1.0040  0.947826E-05     0.599700E-08
    1.0063  0.549766E-06     0.811679E-10
    1.0066   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0065772578113854     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.903004E-01    -0.158248E-01
   -0.0003  0.901291E-01    -0.157760E-01
   -0.0024  0.897864E-01    -0.156786E-01
   -0.0068  0.891024E-01    -0.154853E-01
   -0.0132  0.880798E-01    -0.151993E-01
   -0.0218  0.867226E-01    -0.148249E-01
   -0.0324  0.850361E-01    -0.143680E-01
   -0.0451  0.830270E-01    -0.138358E-01
   -0.0598  0.807039E-01    -0.132365E-01
   -0.0763  0.780775E-01    -0.125795E-01
   -0.0947  0.751640E-01    -0.118750E-01
   -0.1149  0.720026E-01    -0.111336E-01
   -0.1373  0.685273E-01    -0.103445E-01
   -0.1621  0.647227E-01    -0.952120E-02
   -0.1884  0.606699E-01    -0.869739E-02
   -0.2161  0.564043E-01    -0.788576E-02
   -0.2452  0.520124E-01    -0.709804E-02
   -0.2755  0.475985E-01    -0.634423E-02
   -0.3068  0.432707E-01    -0.563207E-02
   -0.3392  0.391527E-01    -0.496665E-02
   -0.3708  0.355264E-01    -0.437378E-02
   -0.4015  0.323654E-01    -0.384671E-02
   -0.4328  0.294423E-01    -0.335950E-02
   -0.4644  0.267214E-01    -0.291196E-02
   -0.4962  0.241811E-01    -0.250372E-02
   -0.5280  0.218069E-01    -0.213411E-02
   -0.5598  0.195882E-01    -0.180212E-02
   -0.5914  0.175169E-01    -0.150645E-02
   -0.6226  0.155862E-01    -0.124551E-02
   -0.6534  0.137903E-01    -0.101745E-02
   -0.6835  0.121241E-01    -0.820227E-03
   -0.7130  0.105827E-01    -0.651620E-03
