
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24828_12_a070e5                                     
  Mach  =    0.850
  alpha =    2.349    CLtot =    0.184
  beta  =    0.000

  Sref  =   825.30000
  Bref  =    61.08000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059462999345121     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.914115E-01     0.160646E-01
    0.0003  0.912549E-01     0.160179E-01
    0.0023  0.909416E-01     0.159249E-01
    0.0064  0.903163E-01     0.157403E-01
    0.0125  0.893813E-01     0.154666E-01
    0.0206  0.881399E-01     0.151080E-01
    0.0306  0.865963E-01     0.146695E-01
    0.0426  0.847553E-01     0.141577E-01
    0.0564  0.826231E-01     0.135798E-01
    0.0720  0.802072E-01     0.129443E-01
    0.0893  0.775177E-01     0.122603E-01
    0.1084  0.745704E-01     0.115376E-01
    0.1290  0.714030E-01     0.107863E-01
    0.1511  0.680660E-01     0.100166E-01
    0.1765  0.642829E-01     0.917509E-02
    0.2053  0.600261E-01     0.828051E-02
    0.2355  0.555856E-01     0.740854E-02
    0.2669  0.510338E-01     0.657098E-02
    0.2995  0.464594E-01     0.577783E-02
    0.3330  0.419448E-01     0.503697E-02
    0.3674  0.375795E-01     0.435390E-02
    0.4024  0.334598E-01     0.373146E-02
    0.4359  0.298893E-01     0.319912E-02
    0.4676  0.268248E-01     0.274526E-02
    0.4996  0.239997E-01     0.233590E-02
    0.5315  0.213884E-01     0.196955E-02
    0.5635  0.189743E-01     0.164445E-02
    0.5952  0.167461E-01     0.135860E-02
    0.6266  0.146952E-01     0.110969E-02
    0.6575  0.128141E-01     0.895211E-03
    0.6877  0.110960E-01     0.712460E-03
    0.7173  0.953415E-02     0.558617E-03
    0.7460  0.812182E-02     0.430801E-03
    0.7737  0.685200E-02     0.326131E-03
    0.8003  0.571745E-02     0.241773E-03
    0.8257  0.471065E-02     0.174995E-03
    0.8497  0.382386E-02     0.123203E-03
    0.8723  0.304922E-02     0.839747E-04
    0.8934  0.237894E-02     0.550861E-04
    0.9129  0.180577E-02     0.345237E-04
    0.9307  0.132451E-02     0.204864E-04
    0.9469  0.928702E-03     0.112770E-04
    0.9613  0.614322E-03     0.561960E-05
    0.9739  0.376929E-03     0.247504E-05
    0.9844  0.207714E-03     0.917192E-06
    0.9929  0.972460E-04     0.262894E-06
    0.9993  0.347049E-04     0.494994E-07
    1.0035  0.718215E-05     0.417690E-08
    1.0057  0.417439E-06     0.566413E-10
    1.0059   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059462999345121     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.914115E-01    -0.160646E-01
   -0.0003  0.912549E-01    -0.160179E-01
   -0.0023  0.909416E-01    -0.159249E-01
   -0.0064  0.903163E-01    -0.157403E-01
   -0.0125  0.893813E-01    -0.154666E-01
   -0.0206  0.881399E-01    -0.151080E-01
   -0.0306  0.865963E-01    -0.146695E-01
   -0.0426  0.847553E-01    -0.141577E-01
   -0.0564  0.826231E-01    -0.135798E-01
   -0.0720  0.802072E-01    -0.129443E-01
   -0.0893  0.775177E-01    -0.122603E-01
   -0.1084  0.745704E-01    -0.115376E-01
   -0.1290  0.714030E-01    -0.107863E-01
   -0.1511  0.680660E-01    -0.100166E-01
   -0.1765  0.642829E-01    -0.917509E-02
   -0.2053  0.600261E-01    -0.828051E-02
   -0.2355  0.555856E-01    -0.740854E-02
   -0.2669  0.510338E-01    -0.657098E-02
   -0.2995  0.464594E-01    -0.577783E-02
   -0.3330  0.419448E-01    -0.503697E-02
   -0.3674  0.375795E-01    -0.435390E-02
   -0.4024  0.334598E-01    -0.373146E-02
   -0.4359  0.298893E-01    -0.319912E-02
   -0.4676  0.268248E-01    -0.274526E-02
   -0.4996  0.239997E-01    -0.233590E-02
   -0.5315  0.213884E-01    -0.196955E-02
   -0.5635  0.189743E-01    -0.164445E-02
   -0.5952  0.167461E-01    -0.135860E-02
   -0.6266  0.146952E-01    -0.110969E-02
   -0.6575  0.128141E-01    -0.895211E-03
   -0.6877  0.110960E-01    -0.712460E-03
   -0.7173  0.953415E-02    -0.558617E-03
   -0.7460  0.812182E-02    -0.430801E-03
   -0.7737  0.685200E-02    -0.326131E-03
   -0.8003  0.571745E-02    -0.241773E-03
   -0.8257  0.471065E-02    -0.174995E-03
   -0.8497  0.382386E-02    -0.123203E-03
   -0.8723  0.304922E-02    -0.839747E-04
   -0.8934  0.237894E-02    -0.550861E-04
   -0.9129  0.180577E-02    -0.345237E-04
   -0.9307  0.132451E-02    -0.204864E-04
   -0.9469  0.928702E-03    -0.112770E-04
   -0.9613  0.614322E-03    -0.561960E-05
   -0.9739  0.376929E-03    -0.247504E-05
   -0.9844  0.207714E-03    -0.917192E-06
   -0.9929  0.972460E-04    -0.262894E-06
   -0.9993  0.347049E-04    -0.494994E-07
   -1.0035  0.718215E-05    -0.417690E-08
   -1.0057  0.417439E-06    -0.566413E-10
   -1.0059   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13425016371971185     
     2Ymax/Bref =   0.20813686967910935     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1343  0.152056E-02     0.520036E-04
    0.1346  0.151697E-02     0.501237E-04
    0.1371  0.150130E-02     0.463878E-04
    0.1419  0.143329E-02     0.393707E-04
    0.1487  0.127724E-02     0.302048E-04
    0.1571  0.103376E-02     0.206335E-04
    0.1664  0.755134E-03     0.123700E-04
    0.1760  0.499670E-03     0.636910E-05
    0.1853  0.294802E-03     0.269915E-05
    0.1937  0.147446E-03     0.867531E-06
    0.2005  0.560279E-04     0.179462E-06
    0.2053  0.122208E-04     0.162687E-07
    0.2078  0.735737E-06     0.231611E-09
    0.2081   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20813686967910935     
     2Ymax/Bref =  -0.13425016371971185     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1343  0.152056E-02    -0.520036E-04
   -0.1346  0.151697E-02    -0.501237E-04
   -0.1371  0.150130E-02    -0.463878E-04
   -0.1419  0.143329E-02    -0.393707E-04
   -0.1487  0.127724E-02    -0.302048E-04
   -0.1571  0.103376E-02    -0.206335E-04
   -0.1664  0.755134E-03    -0.123700E-04
   -0.1760  0.499670E-03    -0.636910E-05
   -0.1853  0.294802E-03    -0.269915E-05
   -0.1937  0.147446E-03    -0.867531E-06
   -0.2005  0.560279E-04    -0.179462E-06
   -0.2053  0.122208E-04    -0.162687E-07
   -0.2078  0.735737E-06    -0.231611E-09
   -0.2081   0.00000         -0.00000    
