
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24828_4_7fc5c6                                      
  Mach  =    0.850
  alpha =    2.425    CLtot =    0.177
  beta  =    0.000

  Sref  =   851.10000
  Bref  =    64.27000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060463668896844     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.883206E-01     0.153771E-01
    0.0003  0.881551E-01     0.153294E-01
    0.0024  0.878241E-01     0.152342E-01
    0.0068  0.871634E-01     0.150453E-01
    0.0132  0.861755E-01     0.147656E-01
    0.0218  0.848639E-01     0.143994E-01
    0.0324  0.832335E-01     0.139525E-01
    0.0451  0.812899E-01     0.134318E-01
    0.0597  0.790403E-01     0.128452E-01
    0.0763  0.764937E-01     0.122020E-01
    0.0947  0.736621E-01     0.115121E-01
    0.1148  0.705664E-01     0.107859E-01
    0.1366  0.672497E-01     0.100343E-01
    0.1597  0.637806E-01     0.927876E-02
    0.1839  0.601466E-01     0.852918E-02
    0.2095  0.563117E-01     0.778589E-02
    0.2363  0.523241E-01     0.705920E-02
    0.2641  0.482548E-01     0.635845E-02
    0.2930  0.441766E-01     0.569153E-02
    0.3228  0.401710E-01     0.506461E-02
    0.3532  0.363328E-01     0.448180E-02
    0.3843  0.327717E-01     0.394480E-02
    0.4166  0.295147E-01     0.344046E-02
    0.4498  0.265569E-01     0.296995E-02
    0.4833  0.238702E-01     0.254406E-02
    0.5169  0.214081E-01     0.216084E-02
    0.5503  0.191414E-01     0.181837E-02
    0.5836  0.170500E-01     0.151468E-02
    0.6165  0.151189E-01     0.124764E-02
    0.6489  0.133363E-01     0.101501E-02
    0.6806  0.116923E-01     0.814419E-03
    0.7116  0.101787E-01     0.643399E-03
    0.7417  0.878814E-02     0.499424E-03
    0.7708  0.751411E-02     0.379932E-03
    0.7987  0.635071E-02     0.282361E-03
    0.8253  0.529235E-02     0.204181E-03
    0.8505  0.433363E-02     0.142927E-03
    0.8742  0.346933E-02     0.962286E-04
    0.8963  0.269578E-02     0.618241E-04
    0.9167  0.201558E-02     0.375493E-04
    0.9354  0.144153E-02     0.212934E-04
    0.9514  0.100044E-02     0.114157E-04
    0.9648  0.670669E-03     0.574583E-05
    0.9764  0.416311E-03     0.255486E-05
    0.9861  0.231965E-03     0.956338E-06
    0.9939  0.110045E-03     0.277296E-06
    0.9999  0.399127E-04     0.528731E-07
    1.0038  0.838390E-05     0.451437E-08
    1.0058  0.491044E-06     0.616574E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060463668896844     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.883206E-01    -0.153771E-01
   -0.0003  0.881551E-01    -0.153294E-01
   -0.0024  0.878241E-01    -0.152342E-01
   -0.0068  0.871634E-01    -0.150453E-01
   -0.0132  0.861755E-01    -0.147656E-01
   -0.0218  0.848639E-01    -0.143994E-01
   -0.0324  0.832335E-01    -0.139525E-01
   -0.0451  0.812899E-01    -0.134318E-01
   -0.0597  0.790403E-01    -0.128452E-01
   -0.0763  0.764937E-01    -0.122020E-01
   -0.0947  0.736621E-01    -0.115121E-01
   -0.1148  0.705664E-01    -0.107859E-01
   -0.1366  0.672497E-01    -0.100343E-01
   -0.1597  0.637806E-01    -0.927876E-02
   -0.1839  0.601466E-01    -0.852918E-02
   -0.2095  0.563117E-01    -0.778589E-02
   -0.2363  0.523241E-01    -0.705920E-02
   -0.2641  0.482548E-01    -0.635845E-02
   -0.2930  0.441766E-01    -0.569153E-02
   -0.3228  0.401710E-01    -0.506461E-02
   -0.3532  0.363328E-01    -0.448180E-02
   -0.3843  0.327717E-01    -0.394480E-02
   -0.4166  0.295147E-01    -0.344046E-02
   -0.4498  0.265569E-01    -0.296995E-02
   -0.4833  0.238702E-01    -0.254406E-02
   -0.5169  0.214081E-01    -0.216084E-02
   -0.5503  0.191414E-01    -0.181837E-02
   -0.5836  0.170500E-01    -0.151468E-02
   -0.6165  0.151189E-01    -0.124764E-02
   -0.6489  0.133363E-01    -0.101501E-02
   -0.6806  0.116923E-01    -0.814419E-03
   -0.7116  0.101787E-01    -0.643399E-03
   -0.7417  0.878814E-02    -0.499424E-03
   -0.7708  0.751411E-02    -0.379932E-03
   -0.7987  0.635071E-02    -0.282361E-03
   -0.8253  0.529235E-02    -0.204181E-03
   -0.8505  0.433363E-02    -0.142927E-03
   -0.8742  0.346933E-02    -0.962286E-04
   -0.8963  0.269578E-02    -0.618241E-04
   -0.9167  0.201558E-02    -0.375493E-04
   -0.9354  0.144153E-02    -0.212934E-04
   -0.9514  0.100044E-02    -0.114157E-04
   -0.9648  0.670669E-03    -0.574583E-05
   -0.9764  0.416311E-03    -0.255486E-05
   -0.9861  0.231965E-03    -0.956338E-06
   -0.9939  0.110045E-03    -0.277296E-06
   -0.9999  0.399127E-04    -0.528731E-07
   -1.0038  0.838390E-05    -0.451437E-08
   -1.0058  0.491044E-06    -0.616574E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12758674342617085     
     2Ymax/Bref =   0.19780613038742803     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1276  0.102265E-02     0.336756E-04
    0.1279  0.101979E-02     0.324743E-04
    0.1303  0.100774E-02     0.300893E-04
    0.1348  0.958498E-03     0.256211E-04
    0.1413  0.852888E-03     0.197997E-04
    0.1493  0.696518E-03     0.137012E-04
    0.1581  0.520162E-03     0.835985E-05
    0.1673  0.353931E-03     0.438714E-05
    0.1761  0.214359E-03     0.189230E-05
    0.1841  0.109564E-03     0.617326E-06
