
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_25088_19_241dda                                     
  Mach  =    0.850
  alpha =    1.847    CLtot =    0.155
  beta  =    0.000

  Sref  =  1024.90000
  Bref  =    61.58000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062520298798312     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.774068E-01     0.152513E-01
    0.0003  0.772838E-01     0.152084E-01
    0.0025  0.770378E-01     0.151229E-01
    0.0069  0.765468E-01     0.149531E-01
    0.0135  0.758127E-01     0.147013E-01
    0.0223  0.748381E-01     0.143710E-01
    0.0332  0.736264E-01     0.139668E-01
    0.0462  0.721819E-01     0.134941E-01
    0.0612  0.705100E-01     0.129595E-01
    0.0781  0.686171E-01     0.123702E-01
    0.0970  0.665121E-01     0.117343E-01
    0.1176  0.642087E-01     0.110602E-01
    0.1400  0.617374E-01     0.103567E-01
    0.1628  0.592387E-01     0.966563E-02
    0.1860  0.567168E-01     0.899330E-02
    0.2105  0.540656E-01     0.831551E-02
    0.2362  0.513008E-01     0.763988E-02
    0.2629  0.484443E-01     0.697371E-02
    0.2906  0.455232E-01     0.632378E-02
    0.3191  0.425689E-01     0.569613E-02
    0.3483  0.396148E-01     0.509598E-02
    0.3781  0.366973E-01     0.452752E-02
    0.4097  0.337248E-01     0.396912E-02
    0.4429  0.307409E-01     0.342889E-02
    0.4764  0.278871E-01     0.293440E-02
    0.5099  0.251635E-01     0.248599E-02
    0.5433  0.225709E-01     0.208338E-02
    0.5765  0.201121E-01     0.172568E-02
    0.6093  0.177910E-01     0.141146E-02
    0.6417  0.156120E-01     0.113875E-02
    0.6734  0.135792E-01     0.905102E-03
    0.7044  0.116964E-01     0.707723E-03
    0.7344  0.996629E-02     0.543502E-03
    0.7634  0.839061E-02     0.409128E-03
    0.7913  0.696965E-02     0.301176E-03
    0.8179  0.570223E-02     0.216201E-03
    0.8430  0.458557E-02     0.150823E-03
    0.8667  0.361532E-02     0.101808E-03
    0.8888  0.278551E-02     0.661352E-04
    0.9092  0.208870E-02     0.410547E-04
    0.9278  0.151600E-02     0.241272E-04
    0.9447  0.105257E-02     0.131626E-04
    0.9598  0.689022E-03     0.651297E-05
    0.9729  0.418780E-03     0.285325E-05
    0.9838  0.229333E-03     0.105481E-05
    0.9926  0.107281E-03     0.302711E-06
    0.9993  0.384731E-04     0.572391E-07
    1.0037  0.801581E-05     0.485578E-08
    1.0060  0.467508E-06     0.660599E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062520298798312     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.774068E-01    -0.152513E-01
   -0.0003  0.772838E-01    -0.152084E-01
   -0.0025  0.770378E-01    -0.151229E-01
   -0.0069  0.765468E-01    -0.149531E-01
   -0.0135  0.758127E-01    -0.147013E-01
   -0.0223  0.748381E-01    -0.143710E-01
   -0.0332  0.736264E-01    -0.139668E-01
   -0.0462  0.721819E-01    -0.134941E-01
   -0.0612  0.705100E-01    -0.129595E-01
   -0.0781  0.686171E-01    -0.123702E-01
   -0.0970  0.665121E-01    -0.117343E-01
   -0.1176  0.642087E-01    -0.110602E-01
   -0.1400  0.617374E-01    -0.103567E-01
   -0.1628  0.592387E-01    -0.966563E-02
   -0.1860  0.567168E-01    -0.899330E-02
   -0.2105  0.540656E-01    -0.831551E-02
   -0.2362  0.513008E-01    -0.763988E-02
   -0.2629  0.484443E-01    -0.697371E-02
   -0.2906  0.455232E-01    -0.632378E-02
   -0.3191  0.425689E-01    -0.569613E-02
   -0.3483  0.396148E-01    -0.509598E-02
   -0.3781  0.366973E-01    -0.452752E-02
   -0.4097  0.337248E-01    -0.396912E-02
   -0.4429  0.307409E-01    -0.342889E-02
   -0.4764  0.278871E-01    -0.293440E-02
   -0.5099  0.251635E-01    -0.248599E-02
   -0.5433  0.225709E-01    -0.208338E-02
   -0.5765  0.201121E-01    -0.172568E-02
   -0.6093  0.177910E-01    -0.141146E-02
   -0.6417  0.156120E-01    -0.113875E-02
   -0.6734  0.135792E-01    -0.905102E-03
   -0.7044  0.116964E-01    -0.707723E-03
   -0.7344  0.996629E-02    -0.543502E-03
   -0.7634  0.839061E-02    -0.409128E-03
   -0.7913  0.696965E-02    -0.301176E-03
   -0.8179  0.570223E-02    -0.216201E-03
   -0.8430  0.458557E-02    -0.150823E-03
   -0.8667  0.361532E-02    -0.101808E-03
   -0.8888  0.278551E-02    -0.661352E-04
   -0.9092  0.208870E-02    -0.410547E-04
   -0.9278  0.151600E-02    -0.241272E-04
   -0.9447  0.105257E-02    -0.131626E-04
   -0.9598  0.689022E-03    -0.651297E-05
   -0.9729  0.418780E-03    -0.285325E-05
   -0.9838  0.229333E-03    -0.105481E-05
   -0.9926  0.107281E-03    -0.302711E-06
   -0.9993  0.384731E-04    -0.572391E-07
   -1.0037  0.801581E-05    -0.485578E-08
   -1.0060  0.467508E-06    -0.660599E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13316011692107826     
     2Ymax/Bref =   0.20644689834361804     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1332  0.676951E-03     0.235525E-04
    0.1335  0.674986E-03     0.227226E-04
    0.1359  0.666839E-03     0.210753E-04
    0.1407  0.634259E-03     0.179894E-04
    0.1475  0.566221E-03     0.139628E-04
    0.1558  0.466919E-03     0.971868E-05
    0.1650  0.353196E-03     0.596103E-05
    0.1746  0.242330E-03     0.313616E-05
    0.1838  0.147045E-03     0.135210E-05
    0.1921  0.749772E-04     0.440037E-06
    0.1989  0.288434E-04     0.918074E-07
    0.2037  0.633673E-05     0.836928E-08
    0.2061  0.382904E-06     0.119560E-09
    0.2064   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20644689834361804     
     2Ymax/Bref =  -0.13316011692107826     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1332  0.676951E-03    -0.235525E-04
   -0.1335  0.674986E-03    -0.227226E-04
   -0.1359  0.666839E-03    -0.210753E-04
   -0.1407  0.634259E-03    -0.179894E-04
   -0.1475  0.566221E-03    -0.139628E-04
   -0.1558  0.466919E-03    -0.971868E-05
   -0.1650  0.353196E-03    -0.596103E-05
   -0.1746  0.242330E-03    -0.313616E-05
   -0.1838  0.147045E-03    -0.135210E-05
   -0.1921  0.749772E-04    -0.440037E-06
   -0.1989  0.288434E-04    -0.918074E-07
   -0.2037  0.633673E-05    -0.836928E-08
   -0.2061  0.382904E-06    -0.119560E-09
   -0.2064   0.00000         -0.00000    
