
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_25088_8_c812b2                                      
  Mach  =    0.850
  alpha =    2.149    CLtot =    0.163
  beta  =    0.000

  Sref  =   954.10000
  Bref  =    57.73000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0058479126970379     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.812399E-01     0.162678E-01
    0.0003  0.811125E-01     0.162234E-01
    0.0025  0.808579E-01     0.161347E-01
    0.0068  0.803496E-01     0.159585E-01
    0.0134  0.795897E-01     0.156972E-01
    0.0221  0.785808E-01     0.153544E-01
    0.0328  0.773266E-01     0.149348E-01
    0.0456  0.758316E-01     0.144440E-01
    0.0605  0.741012E-01     0.138887E-01
    0.0772  0.721425E-01     0.132765E-01
    0.0958  0.699647E-01     0.126154E-01
    0.1162  0.675813E-01     0.119142E-01
    0.1383  0.650222E-01     0.111821E-01
    0.1620  0.623207E-01     0.104281E-01
    0.1864  0.595824E-01     0.968563E-02
    0.2113  0.568193E-01     0.896120E-02
    0.2374  0.539601E-01     0.823863E-02
    0.2646  0.510253E-01     0.752540E-02
    0.2928  0.480393E-01     0.682842E-02
    0.3218  0.450294E-01     0.615390E-02
    0.3515  0.420236E-01     0.550725E-02
    0.3818  0.390501E-01     0.489293E-02
    0.4126  0.361399E-01     0.431442E-02
    0.4446  0.332199E-01     0.375694E-02
    0.4777  0.303010E-01     0.322660E-02
    0.5109  0.274820E-01     0.274313E-02
    0.5440  0.247710E-01     0.230687E-02
    0.5769  0.221757E-01     0.191743E-02
    0.6094  0.197043E-01     0.157375E-02
    0.6414  0.173655E-01     0.127416E-02
    0.6728  0.151674E-01     0.101640E-02
    0.7034  0.131176E-01     0.797759E-03
    0.7332  0.112221E-01     0.615111E-03
    0.7619  0.948585E-02     0.465061E-03
    0.7895  0.791169E-02     0.344028E-03
    0.8158  0.650076E-02     0.248359E-03
    0.8407  0.525212E-02     0.174426E-03
    0.8642  0.416278E-02     0.118725E-03
    0.8860  0.322767E-02     0.779535E-04
    0.9062  0.243970E-02     0.490869E-04
    0.9246  0.178984E-02     0.294262E-04
    0.9418  0.125045E-02     0.162614E-04
    0.9575  0.817292E-03     0.804094E-05
    0.9711  0.496362E-03     0.352221E-05
    0.9825  0.271833E-03     0.130265E-05
