
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_25932_11_2eedd1                                     
  Mach  =    0.850
  alpha =    2.481    CLtot =    0.194
  beta  =    0.000

  Sref  =   745.40000
  Bref  =    58.55000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061383432963280     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.967891E-01     0.169805E-01
    0.0003  0.966118E-01     0.169271E-01
    0.0025  0.962573E-01     0.168206E-01
    0.0069  0.955496E-01     0.166093E-01
    0.0135  0.944914E-01     0.162963E-01
    0.0222  0.930865E-01     0.158865E-01
    0.0331  0.913397E-01     0.153861E-01
    0.0460  0.892567E-01     0.148027E-01
    0.0610  0.868449E-01     0.141452E-01
    0.0779  0.841135E-01     0.134237E-01
    0.0966  0.810747E-01     0.126490E-01
    0.1172  0.777468E-01     0.118328E-01
    0.1395  0.741714E-01     0.109873E-01
    0.1633  0.703791E-01     0.101245E-01
    0.1881  0.664608E-01     0.927786E-02
    0.2136  0.624309E-01     0.845685E-02
    0.2403  0.582435E-01     0.765125E-02
    0.2682  0.539595E-01     0.687107E-02
    0.2970  0.496384E-01     0.612507E-02
    0.3267  0.453486E-01     0.542048E-02
    0.3571  0.411673E-01     0.476271E-02
    0.3881  0.371796E-01     0.415511E-02
    0.4200  0.334249E-01     0.359003E-02
    0.4526  0.299325E-01     0.306931E-02
    0.4854  0.267068E-01     0.260078E-02
    0.5182  0.237210E-01     0.218275E-02
    0.5510  0.209592E-01     0.181316E-02
    0.5836  0.184111E-01     0.148958E-02
    0.6158  0.160687E-01     0.120924E-02
    0.6475  0.139252E-01     0.969070E-03
    0.6786  0.119741E-01     0.765765E-03
    0.7090  0.102085E-01     0.595875E-03
    0.7385  0.862134E-02     0.455878E-03
    0.7669  0.720475E-02     0.342260E-03
    0.7942  0.595033E-02     0.251586E-03
    0.8203  0.484903E-02     0.180562E-03
    0.8450  0.389127E-02     0.126087E-03
    0.8682  0.306705E-02     0.852990E-04
    0.8899  0.236615E-02     0.556021E-04
    0.9099  0.177847E-02     0.346864E-04
    0.9281  0.129468E-02     0.205328E-04
    0.9448  0.900731E-03     0.112720E-04
    0.9599  0.590666E-03     0.559864E-05
    0.9729  0.360784E-03     0.246701E-05
    0.9838  0.199258E-03     0.918680E-06
    0.9926  0.941690E-04     0.265487E-06
    0.9992  0.340112E-04     0.504066E-07
    1.0036  0.708279E-05     0.427274E-08
    1.0059  0.410185E-06     0.577468E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061383432963280     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.967891E-01    -0.169805E-01
   -0.0003  0.966118E-01    -0.169271E-01
   -0.0025  0.962573E-01    -0.168206E-01
   -0.0069  0.955496E-01    -0.166093E-01
   -0.0135  0.944914E-01    -0.162963E-01
   -0.0222  0.930865E-01    -0.158865E-01
   -0.0331  0.913397E-01    -0.153861E-01
   -0.0460  0.892567E-01    -0.148027E-01
   -0.0610  0.868449E-01    -0.141452E-01
   -0.0779  0.841135E-01    -0.134237E-01
   -0.0966  0.810747E-01    -0.126490E-01
   -0.1172  0.777468E-01    -0.118328E-01
   -0.1395  0.741714E-01    -0.109873E-01
   -0.1633  0.703791E-01    -0.101245E-01
   -0.1881  0.664608E-01    -0.927786E-02
   -0.2136  0.624309E-01    -0.845685E-02
   -0.2403  0.582435E-01    -0.765125E-02
   -0.2682  0.539595E-01    -0.687107E-02
   -0.2970  0.496384E-01    -0.612507E-02
   -0.3267  0.453486E-01    -0.542048E-02
   -0.3571  0.411673E-01    -0.476271E-02
   -0.3881  0.371796E-01    -0.415511E-02
   -0.4200  0.334249E-01    -0.359003E-02
   -0.4526  0.299325E-01    -0.306931E-02
   -0.4854  0.267068E-01    -0.260078E-02
   -0.5182  0.237210E-01    -0.218275E-02
   -0.5510  0.209592E-01    -0.181316E-02
   -0.5836  0.184111E-01    -0.148958E-02
   -0.6158  0.160687E-01    -0.120924E-02
   -0.6475  0.139252E-01    -0.969070E-03
   -0.6786  0.119741E-01    -0.765765E-03
   -0.7090  0.102085E-01    -0.595875E-03
   -0.7385  0.862134E-02    -0.455878E-03
   -0.7669  0.720475E-02    -0.342260E-03
   -0.7942  0.595033E-02    -0.251586E-03
   -0.8203  0.484903E-02    -0.180562E-03
   -0.8450  0.389127E-02    -0.126087E-03
   -0.8682  0.306705E-02    -0.852990E-04
   -0.8899  0.236615E-02    -0.556021E-04
   -0.9099  0.177847E-02    -0.346864E-04
   -0.9281  0.129468E-02    -0.205328E-04
   -0.9448  0.900731E-03    -0.112720E-04
   -0.9599  0.590666E-03    -0.559864E-05
   -0.9729  0.360784E-03    -0.246701E-05
   -0.9838  0.199258E-03    -0.918680E-06
   -0.9926  0.941690E-04    -0.265487E-06
   -0.9992  0.340112E-04    -0.504066E-07
   -1.0036  0.708279E-05    -0.427274E-08
   -1.0059  0.410185E-06    -0.577468E-10
   -1.0061   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.14005123825789922     
     2Ymax/Bref =   0.21713065755764305     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1401  0.102430E-02     0.367902E-04
    0.1404  0.102115E-02     0.354696E-04
    0.1430  0.100803E-02     0.328495E-04
    0.1480  0.955261E-03     0.279521E-04
    0.1551  0.845069E-03     0.216010E-04
    0.1638  0.687465E-03     0.149796E-04
    0.1736  0.514881E-03     0.918555E-05
    0.1836  0.353417E-03     0.485364E-05
    0.1933  0.216252E-03     0.210843E-05
    0.2021  0.111546E-03     0.692162E-06
    0.2092  0.433917E-04     0.145584E-06
    0.2142  0.961469E-05     0.133608E-07
    0.2168  0.584059E-06     0.191808E-09
    0.2171   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.21713065755764305     
     2Ymax/Bref =  -0.14005123825789922     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1401  0.102430E-02    -0.367902E-04
   -0.1404  0.102115E-02    -0.354696E-04
   -0.1430  0.100803E-02    -0.328495E-04
   -0.1480  0.955261E-03    -0.279521E-04
   -0.1551  0.845069E-03    -0.216010E-04
   -0.1638  0.687465E-03    -0.149796E-04
   -0.1736  0.514881E-03    -0.918555E-05
   -0.1836  0.353417E-03    -0.485364E-05
   -0.1933  0.216252E-03    -0.210843E-05
   -0.2021  0.111546E-03    -0.692162E-06
   -0.2092  0.433917E-04    -0.145584E-06
   -0.2142  0.961469E-05    -0.133608E-07
   -0.2168  0.584059E-06    -0.191808E-09
   -0.2171   0.00000         -0.00000    
