
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26120_17_fe8a2e                                     
  Mach  =    0.850
  alpha =    2.552    CLtot =    0.193
  beta  =    0.000

  Sref  =   759.30000
  Bref  =    64.78000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061500463105897     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.957281E-01     0.162718E-01
    0.0003  0.955503E-01     0.162224E-01
    0.0023  0.951946E-01     0.161238E-01
    0.0065  0.944847E-01     0.159282E-01
    0.0126  0.934233E-01     0.156385E-01
    0.0208  0.920142E-01     0.152592E-01
    0.0310  0.902626E-01     0.147962E-01
    0.0431  0.881748E-01     0.142566E-01
    0.0571  0.857588E-01     0.136486E-01
    0.0729  0.830249E-01     0.129817E-01
    0.0905  0.799873E-01     0.122661E-01
    0.1097  0.766711E-01     0.115124E-01
    0.1306  0.731387E-01     0.107319E-01
    0.1546  0.691411E-01     0.987522E-02
    0.1820  0.646401E-01     0.896107E-02
    0.2108  0.599067E-01     0.806304E-02
    0.2411  0.550170E-01     0.719458E-02
    0.2726  0.500759E-01     0.636741E-02
    0.3052  0.451836E-01     0.559093E-02
    0.3388  0.404539E-01     0.487185E-02
    0.3732  0.360194E-01     0.421371E-02
    0.4061  0.322492E-01     0.365035E-02
    0.4373  0.290733E-01     0.316875E-02
    0.4687  0.261641E-01     0.273023E-02
    0.5004  0.234835E-01     0.233353E-02
    0.5321  0.210072E-01     0.197727E-02
    0.5638  0.187186E-01     0.165985E-02
    0.5952  0.166052E-01     0.137942E-02
    0.6264  0.146568E-01     0.113391E-02
    0.6570  0.128646E-01     0.921040E-03
    0.6871  0.112209E-01     0.738412E-03
    0.7164  0.971834E-02     0.583506E-03
    0.7449  0.835008E-02     0.453746E-03
    0.7723  0.710944E-02     0.346540E-03
    0.7987  0.598995E-02     0.259325E-03
    0.8239  0.498527E-02     0.189603E-03
    0.8478  0.408930E-02     0.134972E-03
    0.8702  0.329631E-02     0.931536E-04
    0.8911  0.260124E-02     0.620166E-04
    0.9105  0.200002E-02     0.395873E-04
    0.9281  0.149025E-02     0.240602E-04
    0.9445  0.105735E-02     0.134775E-04
    0.9596  0.702722E-03     0.674802E-05
    0.9727  0.433813E-03     0.298821E-05
    0.9837  0.240855E-03     0.111351E-05
    0.9925  0.113556E-03     0.320555E-06
    0.9992  0.406660E-04     0.604635E-07
