
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26120_1_a2c4d9                                      
  Mach  =    0.850
  alpha =    1.847    CLtot =    0.161
  beta  =    0.000

  Sref  =   973.50000
  Bref  =    61.06000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060825417622010     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.804117E-01     0.156988E-01
    0.0003  0.802929E-01     0.156579E-01
    0.0023  0.800553E-01     0.155761E-01
    0.0064  0.795809E-01     0.154137E-01
    0.0125  0.788717E-01     0.151728E-01
    0.0205  0.779303E-01     0.148566E-01
    0.0305  0.767600E-01     0.144690E-01
    0.0425  0.753652E-01     0.140154E-01
    0.0563  0.737509E-01     0.135014E-01
    0.0719  0.719236E-01     0.129337E-01
    0.0892  0.698910E-01     0.123197E-01
    0.1082  0.676646E-01     0.116671E-01
    0.1288  0.652682E-01     0.109841E-01
    0.1508  0.627336E-01     0.102787E-01
    0.1747  0.600113E-01     0.954422E-02
    0.2005  0.570912E-01     0.879027E-02
    0.2275  0.540346E-01     0.804043E-02
    0.2556  0.508645E-01     0.730319E-02
    0.2848  0.476175E-01     0.658640E-02
    0.3148  0.443366E-01     0.589696E-02
    0.3455  0.410621E-01     0.524070E-02
    0.3769  0.378326E-01     0.462226E-02
    0.4092  0.346483E-01     0.403534E-02
    0.4421  0.315531E-01     0.348430E-02
    0.4753  0.286014E-01     0.298036E-02
    0.5086  0.257894E-01     0.252372E-02
    0.5418  0.231165E-01     0.211402E-02
    0.5748  0.205842E-01     0.175027E-02
    0.6074  0.181958E-01     0.143095E-02
    0.6396  0.159552E-01     0.115400E-02
    0.6711  0.138662E-01     0.916926E-03
    0.7018  0.119327E-01     0.716819E-03
    0.7317  0.101574E-01     0.550489E-03
    0.7605  0.854232E-02     0.414529E-03
    0.7882  0.708789E-02     0.305421E-03
    0.8145  0.579312E-02     0.219627E-03
    0.8396  0.465531E-02     0.153676E-03
    0.8631  0.366997E-02     0.104253E-03
    0.8850  0.283083E-02     0.682679E-04
    0.9053  0.212976E-02     0.429152E-04
    0.9238  0.155679E-02     0.257202E-04
    0.9404  0.110008E-02     0.145674E-04
    0.9559  0.729691E-03     0.742040E-05
    0.9700  0.441536E-03     0.323911E-05
    0.9818  0.240924E-03     0.119263E-05
    0.9914  0.112061E-03     0.340352E-06
    0.9986  0.398351E-04     0.639055E-07
    1.0034  0.822599E-05     0.538326E-08
    1.0058  0.477529E-06     0.729177E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060825417622010     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.804117E-01    -0.156988E-01
   -0.0003  0.802929E-01    -0.156579E-01
   -0.0023  0.800553E-01    -0.155761E-01
   -0.0064  0.795809E-01    -0.154137E-01
   -0.0125  0.788717E-01    -0.151728E-01
   -0.0205  0.779303E-01    -0.148566E-01
   -0.0305  0.767600E-01    -0.144690E-01
   -0.0425  0.753652E-01    -0.140154E-01
   -0.0563  0.737509E-01    -0.135014E-01
   -0.0719  0.719236E-01    -0.129337E-01
   -0.0892  0.698910E-01    -0.123197E-01
   -0.1082  0.676646E-01    -0.116671E-01
   -0.1288  0.652682E-01    -0.109841E-01
   -0.1508  0.627336E-01    -0.102787E-01
   -0.1747  0.600113E-01    -0.954422E-02
   -0.2005  0.570912E-01    -0.879027E-02
   -0.2275  0.540346E-01    -0.804043E-02
   -0.2556  0.508645E-01    -0.730319E-02
   -0.2848  0.476175E-01    -0.658640E-02
   -0.3148  0.443366E-01    -0.589696E-02
   -0.3455  0.410621E-01    -0.524070E-02
   -0.3769  0.378326E-01    -0.462226E-02
   -0.4092  0.346483E-01    -0.403534E-02
   -0.4421  0.315531E-01    -0.348430E-02
   -0.4753  0.286014E-01    -0.298036E-02
   -0.5086  0.257894E-01    -0.252372E-02
   -0.5418  0.231165E-01    -0.211402E-02
   -0.5748  0.205842E-01    -0.175027E-02
   -0.6074  0.181958E-01    -0.143095E-02
   -0.6396  0.159552E-01    -0.115400E-02
   -0.6711  0.138662E-01    -0.916926E-03
   -0.7018  0.119327E-01    -0.716819E-03
   -0.7317  0.101574E-01    -0.550489E-03
   -0.7605  0.854232E-02    -0.414529E-03
   -0.7882  0.708789E-02    -0.305421E-03
   -0.8145  0.579312E-02    -0.219627E-03
   -0.8396  0.465531E-02    -0.153676E-03
   -0.8631  0.366997E-02    -0.104253E-03
   -0.8850  0.283083E-02    -0.682679E-04
   -0.9053  0.212976E-02    -0.429152E-04
   -0.9238  0.155679E-02    -0.257202E-04
   -0.9404  0.110008E-02    -0.145674E-04
   -0.9559  0.729691E-03    -0.742040E-05
   -0.9700  0.441536E-03    -0.323911E-05
   -0.9818  0.240924E-03    -0.119263E-05
   -0.9914  0.112061E-03    -0.340352E-06
   -0.9986  0.398351E-04    -0.639055E-07
   -1.0034  0.822599E-05    -0.538326E-08
   -1.0058  0.477529E-06    -0.729177E-10
   -1.0061   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13429413691451031     
     2Ymax/Bref =   0.20820504421880115     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1343  0.904768E-03     0.306063E-04
    0.1346  0.902296E-03     0.294876E-04
    0.1371  0.891722E-03     0.272663E-04
    0.1419  0.847335E-03     0.231066E-04
    0.1488  0.749711E-03     0.177043E-04
    0.1571  0.603751E-03     0.120969E-04
    0.1664  0.441445E-03     0.726721E-05
    0.1761  0.293409E-03     0.375176E-05
    0.1854  0.173748E-03     0.159308E-05
    0.1937  0.870641E-04     0.512550E-06
    0.2006  0.331023E-04     0.106062E-06
    0.2054  0.721970E-05     0.961401E-08
    0.2079  0.434536E-06     0.136837E-09
    0.2082   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20820504421880115     
     2Ymax/Bref =  -0.13429413691451031     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1343  0.904768E-03    -0.306063E-04
   -0.1346  0.902296E-03    -0.294876E-04
   -0.1371  0.891722E-03    -0.272663E-04
   -0.1419  0.847335E-03    -0.231066E-04
   -0.1488  0.749711E-03    -0.177043E-04
   -0.1571  0.603751E-03    -0.120969E-04
   -0.1664  0.441445E-03    -0.726721E-05
   -0.1761  0.293409E-03    -0.375176E-05
   -0.1854  0.173748E-03    -0.159308E-05
   -0.1937  0.870641E-04    -0.512550E-06
   -0.2006  0.331023E-04    -0.106062E-06
   -0.2054  0.721970E-05    -0.961401E-08
   -0.2079  0.434536E-06    -0.136837E-09
   -0.2082   0.00000         -0.00000    
