
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26292_9_a1f9c2                                      
  Mach  =    0.850
  alpha =    1.879    CLtot =    0.163
  beta  =    0.000

  Sref  =   926.70000
  Bref  =    64.89000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060379103097550     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.813217E-01     0.144913E-01
    0.0003  0.811730E-01     0.144448E-01
    0.0026  0.808754E-01     0.143520E-01
    0.0071  0.802816E-01     0.141679E-01
    0.0140  0.793941E-01     0.138952E-01
    0.0230  0.782166E-01     0.135382E-01
    0.0343  0.767542E-01     0.131022E-01
    0.0477  0.750132E-01     0.125939E-01
    0.0632  0.730012E-01     0.120209E-01
    0.0807  0.707273E-01     0.113919E-01
    0.1002  0.682030E-01     0.107163E-01
    0.1215  0.654501E-01     0.100042E-01
    0.1446  0.624948E-01     0.926581E-02
    0.1684  0.594612E-01     0.854199E-02
    0.1926  0.563391E-01     0.784051E-02
    0.2182  0.530149E-01     0.714151E-02
    0.2450  0.495174E-01     0.645462E-02
    0.2729  0.458950E-01     0.578887E-02
    0.3019  0.422105E-01     0.515220E-02
    0.3316  0.385316E-01     0.455117E-02
    0.3622  0.349314E-01     0.399068E-02
    0.3933  0.314879E-01     0.347377E-02
    0.4251  0.282707E-01     0.299771E-02
    0.4572  0.253110E-01     0.256277E-02
    0.4896  0.225864E-01     0.217146E-02
    0.5220  0.200693E-01     0.182223E-02
    0.5544  0.177431E-01     0.151332E-02
    0.5866  0.155969E-01     0.124269E-02
    0.6184  0.136225E-01     0.100806E-02
    0.6498  0.118130E-01     0.806910E-03
    0.6805  0.101623E-01     0.636542E-03
    0.7105  0.866425E-02     0.494138E-03
    0.7396  0.731283E-02     0.376820E-03
    0.7677  0.610183E-02     0.281705E-03
    0.7946  0.502491E-02     0.205961E-03
    0.8204  0.407568E-02     0.146849E-03
    0.8448  0.324784E-02     0.101769E-03
    0.8677  0.253538E-02     0.682888E-04
    0.8891  0.193260E-02     0.441697E-04
    0.9089  0.143379E-02     0.273913E-04
    0.9269  0.103199E-02     0.161755E-04
    0.9436  0.707941E-03     0.882042E-05
    0.9589  0.455132E-03     0.431735E-05
    0.9722  0.272745E-03     0.187902E-05
    0.9833  0.148309E-03     0.694250E-06
    0.9922  0.696413E-04     0.200453E-06
    0.9990  0.253209E-04     0.382785E-07
    1.0035  0.532231E-05     0.326568E-08
    1.0058  0.305285E-06     0.437427E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060379103097550     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.813217E-01    -0.144913E-01
   -0.0003  0.811730E-01    -0.144448E-01
   -0.0026  0.808754E-01    -0.143520E-01
   -0.0071  0.802816E-01    -0.141679E-01
   -0.0140  0.793941E-01    -0.138952E-01
   -0.0230  0.782166E-01    -0.135382E-01
   -0.0343  0.767542E-01    -0.131022E-01
   -0.0477  0.750132E-01    -0.125939E-01
   -0.0632  0.730012E-01    -0.120209E-01
   -0.0807  0.707273E-01    -0.113919E-01
   -0.1002  0.682030E-01    -0.107163E-01
   -0.1215  0.654501E-01    -0.100042E-01
   -0.1446  0.624948E-01    -0.926581E-02
   -0.1684  0.594612E-01    -0.854199E-02
   -0.1926  0.563391E-01    -0.784051E-02
   -0.2182  0.530149E-01    -0.714151E-02
   -0.2450  0.495174E-01    -0.645462E-02
   -0.2729  0.458950E-01    -0.578887E-02
   -0.3019  0.422105E-01    -0.515220E-02
   -0.3316  0.385316E-01    -0.455117E-02
   -0.3622  0.349314E-01    -0.399068E-02
   -0.3933  0.314879E-01    -0.347377E-02
   -0.4251  0.282707E-01    -0.299771E-02
   -0.4572  0.253110E-01    -0.256277E-02
   -0.4896  0.225864E-01    -0.217146E-02
   -0.5220  0.200693E-01    -0.182223E-02
   -0.5544  0.177431E-01    -0.151332E-02
   -0.5866  0.155969E-01    -0.124269E-02
   -0.6184  0.136225E-01    -0.100806E-02
   -0.6498  0.118130E-01    -0.806910E-03
   -0.6805  0.101623E-01    -0.636542E-03
   -0.7105  0.866425E-02    -0.494138E-03
   -0.7396  0.731283E-02    -0.376820E-03
   -0.7677  0.610183E-02    -0.281705E-03
   -0.7946  0.502491E-02    -0.205961E-03
   -0.8204  0.407568E-02    -0.146849E-03
   -0.8448  0.324784E-02    -0.101769E-03
   -0.8677  0.253538E-02    -0.682888E-04
   -0.8891  0.193260E-02    -0.441697E-04
   -0.9089  0.143379E-02    -0.273913E-04
   -0.9269  0.103199E-02    -0.161755E-04
   -0.9436  0.707941E-03    -0.882042E-05
   -0.9589  0.455132E-03    -0.431735E-05
   -0.9722  0.272745E-03    -0.187902E-05
   -0.9833  0.148309E-03    -0.694250E-06
   -0.9922  0.696413E-04    -0.200453E-06
   -0.9990  0.253209E-04    -0.382785E-07
   -1.0035  0.532231E-05    -0.326568E-08
   -1.0058  0.305285E-06    -0.437427E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12636769918323315     
     2Ymax/Bref =   0.19591616581907842     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1264  0.683865E-03     0.218521E-04
    0.1267  0.681687E-03     0.210566E-04
    0.1290  0.672658E-03     0.194787E-04
    0.1336  0.636599E-03     0.165319E-04
    0.1400  0.561667E-03     0.127178E-04
    0.1478  0.454339E-03     0.875692E-05
    0.1566  0.336638E-03     0.531764E-05
    0.1657  0.227586E-03     0.277777E-05
    0.1744  0.136960E-03     0.119268E-05
    0.1823  0.695875E-04     0.387468E-06
    0.1887  0.267513E-04     0.808161E-07
    0.1933  0.588014E-05     0.737044E-08
    0.1956  0.355554E-06     0.105357E-09
    0.1959   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19591616581907842     
     2Ymax/Bref =  -0.12636769918323315     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1264  0.683865E-03    -0.218521E-04
   -0.1267  0.681687E-03    -0.210566E-04
   -0.1290  0.672658E-03    -0.194787E-04
   -0.1336  0.636599E-03    -0.165319E-04
   -0.1400  0.561667E-03    -0.127178E-04
   -0.1478  0.454339E-03    -0.875692E-05
   -0.1566  0.336638E-03    -0.531764E-05
   -0.1657  0.227586E-03    -0.277777E-05
   -0.1744  0.136960E-03    -0.119268E-05
   -0.1823  0.695875E-04    -0.387468E-06
   -0.1887  0.267513E-04    -0.808161E-07
   -0.1933  0.588014E-05    -0.737044E-08
   -0.1956  0.355554E-06    -0.105357E-09
   -0.1959   0.00000         -0.00000    
