
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26648_0_93727a                                      
  Mach  =    0.850
  alpha =    1.626    CLtot =    0.141
  beta  =    0.000

  Sref  =  1237.50000
  Bref  =    67.74000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061322704458224     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.705688E-01     0.135848E-01
    0.0003  0.704527E-01     0.135454E-01
    0.0025  0.702204E-01     0.134668E-01
    0.0070  0.697567E-01     0.133107E-01
    0.0136  0.690631E-01     0.130793E-01
    0.0225  0.681420E-01     0.127759E-01
    0.0335  0.669959E-01     0.124048E-01
    0.0466  0.656277E-01     0.119712E-01
    0.0617  0.640414E-01     0.114813E-01
    0.0788  0.622419E-01     0.109418E-01
    0.0978  0.602378E-01     0.103605E-01
    0.1186  0.580549E-01     0.974530E-02
    0.1411  0.557187E-01     0.910443E-02
    0.1642  0.533455E-01     0.847544E-02
    0.1877  0.509466E-01     0.786437E-02
    0.2124  0.484294E-01     0.724996E-02
    0.2384  0.458126E-01     0.663929E-02
    0.2654  0.431190E-01     0.603909E-02
    0.2934  0.403748E-01     0.545551E-02
    0.3222  0.376085E-01     0.489403E-02
    0.3517  0.348503E-01     0.435932E-02
    0.3818  0.321345E-01     0.385508E-02
    0.4133  0.294209E-01     0.336911E-02
    0.4459  0.267498E-01     0.290673E-02
    0.4787  0.242096E-01     0.248453E-02
    0.5116  0.217969E-01     0.210256E-02
    0.5445  0.195102E-01     0.176033E-02
    0.5771  0.173502E-01     0.145691E-02
    0.6094  0.153186E-01     0.119088E-02
    0.6411  0.134179E-01     0.960422E-03
    0.6723  0.116507E-01     0.763331E-03
    0.7027  0.100192E-01     0.597108E-03
    0.7322  0.852493E-02     0.459020E-03
    0.7607  0.716863E-02     0.346178E-03
    0.7881  0.594986E-02     0.255615E-03
    0.8142  0.486696E-02     0.184365E-03
    0.8389  0.391696E-02     0.129534E-03
    0.8622  0.309543E-02     0.883647E-04
    0.8839  0.239653E-02     0.582998E-04
    0.9039  0.181286E-02     0.370240E-04
    0.9222  0.133538E-02     0.225020E-04
    0.9396  0.933381E-03     0.125320E-04
    0.9559  0.606766E-03     0.617410E-05
    0.9700  0.367240E-03     0.269513E-05
    0.9819  0.200382E-03     0.992159E-06
    0.9914  0.931819E-04     0.282993E-06
    0.9986  0.330864E-04     0.530718E-07
    1.0034  0.681478E-05     0.446099E-08
    1.0058  0.394294E-06     0.602384E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061322704458224     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.705688E-01    -0.135848E-01
   -0.0003  0.704527E-01    -0.135454E-01
   -0.0025  0.702204E-01    -0.134668E-01
   -0.0070  0.697567E-01    -0.133107E-01
   -0.0136  0.690631E-01    -0.130793E-01
   -0.0225  0.681420E-01    -0.127759E-01
   -0.0335  0.669959E-01    -0.124048E-01
   -0.0466  0.656277E-01    -0.119712E-01
   -0.0617  0.640414E-01    -0.114813E-01
   -0.0788  0.622419E-01    -0.109418E-01
   -0.0978  0.602378E-01    -0.103605E-01
   -0.1186  0.580549E-01    -0.974530E-02
   -0.1411  0.557187E-01    -0.910443E-02
   -0.1642  0.533455E-01    -0.847544E-02
   -0.1877  0.509466E-01    -0.786437E-02
   -0.2124  0.484294E-01    -0.724996E-02
   -0.2384  0.458126E-01    -0.663929E-02
   -0.2654  0.431190E-01    -0.603909E-02
   -0.2934  0.403748E-01    -0.545551E-02
   -0.3222  0.376085E-01    -0.489403E-02
   -0.3517  0.348503E-01    -0.435932E-02
   -0.3818  0.321345E-01    -0.385508E-02
   -0.4133  0.294209E-01    -0.336911E-02
   -0.4459  0.267498E-01    -0.290673E-02
   -0.4787  0.242096E-01    -0.248453E-02
   -0.5116  0.217969E-01    -0.210256E-02
   -0.5445  0.195102E-01    -0.176033E-02
   -0.5771  0.173502E-01    -0.145691E-02
   -0.6094  0.153186E-01    -0.119088E-02
   -0.6411  0.134179E-01    -0.960422E-03
   -0.6723  0.116507E-01    -0.763331E-03
   -0.7027  0.100192E-01    -0.597108E-03
   -0.7322  0.852493E-02    -0.459020E-03
   -0.7607  0.716863E-02    -0.346178E-03
   -0.7881  0.594986E-02    -0.255615E-03
   -0.8142  0.486696E-02    -0.184365E-03
   -0.8389  0.391696E-02    -0.129534E-03
   -0.8622  0.309543E-02    -0.883647E-04
   -0.8839  0.239653E-02    -0.582998E-04
   -0.9039  0.181286E-02    -0.370240E-04
   -0.9222  0.133538E-02    -0.225020E-04
   -0.9396  0.933381E-03    -0.125320E-04
   -0.9559  0.606766E-03    -0.617410E-05
   -0.9700  0.367240E-03    -0.269513E-05
   -0.9819  0.200382E-03    -0.992159E-06
   -0.9914  0.931819E-04    -0.282993E-06
   -0.9986  0.330864E-04    -0.530718E-07
   -1.0034  0.681478E-05    -0.446099E-08
   -1.0058  0.394294E-06    -0.602384E-10
   -1.0061   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12105107764983761     
     2Ymax/Bref =   0.18767345733687629     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1211  0.633611E-03     0.196349E-04
    0.1213  0.631768E-03     0.189288E-04
    0.1236  0.624023E-03     0.175273E-04
    0.1279  0.592441E-03     0.149045E-04
    0.1341  0.525287E-03     0.114964E-04
    0.1416  0.427305E-03     0.793903E-05
    0.1500  0.318342E-03     0.483327E-05
    0.1587  0.216111E-03     0.252863E-05
    0.1671  0.130270E-03     0.108589E-05
    0.1746  0.661376E-04     0.352420E-06
    0.1808  0.253735E-04     0.733902E-07
    0.1851  0.556601E-05     0.668255E-08
    0.1874  0.336114E-06     0.954064E-10
    0.1877   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.18767345733687629     
     2Ymax/Bref =  -0.12105107764983761     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1211  0.633611E-03    -0.196349E-04
   -0.1213  0.631768E-03    -0.189288E-04
   -0.1236  0.624023E-03    -0.175273E-04
   -0.1279  0.592441E-03    -0.149045E-04
   -0.1341  0.525287E-03    -0.114964E-04
   -0.1416  0.427305E-03    -0.793903E-05
   -0.1500  0.318342E-03    -0.483327E-05
   -0.1587  0.216111E-03    -0.252863E-05
   -0.1671  0.130270E-03    -0.108589E-05
   -0.1746  0.661376E-04    -0.352420E-06
   -0.1808  0.253735E-04    -0.733902E-07
   -0.1851  0.556601E-05    -0.668255E-08
   -0.1874  0.336114E-06    -0.954064E-10
   -0.1877   0.00000         -0.00000    
