
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26648_17_9aa717                                     
  Mach  =    0.850
  alpha =    2.058    CLtot =    0.184
  beta  =    0.000

  Sref  =   801.60000
  Bref  =    68.26000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063668326985056     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.916834E-01     0.159483E-01
    0.0003  0.915204E-01     0.159009E-01
    0.0023  0.911942E-01     0.158064E-01
    0.0065  0.905433E-01     0.156187E-01
    0.0126  0.895699E-01     0.153408E-01
    0.0208  0.882776E-01     0.149767E-01
    0.0310  0.866709E-01     0.145318E-01
    0.0431  0.847554E-01     0.140129E-01
    0.0571  0.825379E-01     0.134275E-01
    0.0730  0.800272E-01     0.127846E-01
    0.0905  0.772358E-01     0.120934E-01
    0.1098  0.741884E-01     0.113642E-01
    0.1307  0.709365E-01     0.106073E-01
    0.1541  0.673392E-01     0.979727E-02
    0.1801  0.633662E-01     0.894879E-02
    0.2075  0.591730E-01     0.810941E-02
    0.2362  0.548070E-01     0.729114E-02
    0.2662  0.503523E-01     0.650483E-02
    0.2972  0.459001E-01     0.575947E-02
    0.3291  0.415454E-01     0.506193E-02
    0.3618  0.373926E-01     0.441654E-02
    0.3944  0.336314E-01     0.383514E-02
    0.4267  0.302710E-01     0.331380E-02
    0.4594  0.271783E-01     0.284001E-02
    0.4923  0.243178E-01     0.241257E-02
    0.5253  0.216684E-01     0.203005E-02
    0.5582  0.192156E-01     0.169070E-02
    0.5909  0.169489E-01     0.139245E-02
    0.6232  0.148593E-01     0.113294E-02
    0.6551  0.129393E-01     0.909588E-03
    0.6863  0.111818E-01     0.719592E-03
    0.7167  0.957990E-02     0.560038E-03
    0.7463  0.812707E-02     0.427938E-03
    0.7748  0.681680E-02     0.320285E-03
    0.8023  0.564268E-02     0.234111E-03
    0.8284  0.459851E-02     0.166527E-03
    0.8532  0.367844E-02     0.114763E-03
    0.8765  0.287729E-02     0.762035E-04
    0.8982  0.219070E-02     0.484078E-04
    0.9183  0.161475E-02     0.291378E-04
    0.9366  0.114408E-02     0.163883E-04
    0.9524  0.784757E-03     0.870383E-05
    0.9656  0.518806E-03     0.433611E-05
    0.9771  0.318502E-03     0.190871E-05
    0.9867  0.175446E-03     0.705901E-06
    0.9944  0.818329E-04     0.201451E-06
    1.0003  0.289762E-04     0.376832E-07
    1.0042  0.594131E-05     0.315625E-08
    1.0061  0.343080E-06     0.425419E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063668326985056     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.916834E-01    -0.159483E-01
   -0.0003  0.915204E-01    -0.159009E-01
   -0.0023  0.911942E-01    -0.158064E-01
   -0.0065  0.905433E-01    -0.156187E-01
   -0.0126  0.895699E-01    -0.153408E-01
   -0.0208  0.882776E-01    -0.149767E-01
   -0.0310  0.866709E-01    -0.145318E-01
   -0.0431  0.847554E-01    -0.140129E-01
   -0.0571  0.825379E-01    -0.134275E-01
   -0.0730  0.800272E-01    -0.127846E-01
   -0.0905  0.772358E-01    -0.120934E-01
   -0.1098  0.741884E-01    -0.113642E-01
   -0.1307  0.709365E-01    -0.106073E-01
   -0.1541  0.673392E-01    -0.979727E-02
   -0.1801  0.633662E-01    -0.894879E-02
   -0.2075  0.591730E-01    -0.810941E-02
   -0.2362  0.548070E-01    -0.729114E-02
   -0.2662  0.503523E-01    -0.650483E-02
   -0.2972  0.459001E-01    -0.575947E-02
   -0.3291  0.415454E-01    -0.506193E-02
   -0.3618  0.373926E-01    -0.441654E-02
   -0.3944  0.336314E-01    -0.383514E-02
   -0.4267  0.302710E-01    -0.331380E-02
   -0.4594  0.271783E-01    -0.284001E-02
   -0.4923  0.243178E-01    -0.241257E-02
   -0.5253  0.216684E-01    -0.203005E-02
   -0.5582  0.192156E-01    -0.169070E-02
   -0.5909  0.169489E-01    -0.139245E-02
   -0.6232  0.148593E-01    -0.113294E-02
   -0.6551  0.129393E-01    -0.909588E-03
   -0.6863  0.111818E-01    -0.719592E-03
   -0.7167  0.957990E-02    -0.560038E-03
   -0.7463  0.812707E-02    -0.427938E-03
   -0.7748  0.681680E-02    -0.320285E-03
   -0.8023  0.564268E-02    -0.234111E-03
   -0.8284  0.459851E-02    -0.166527E-03
   -0.8532  0.367844E-02    -0.114763E-03
   -0.8765  0.287729E-02    -0.762035E-04
   -0.8982  0.219070E-02    -0.484078E-04
   -0.9183  0.161475E-02    -0.291378E-04
   -0.9366  0.114408E-02    -0.163883E-04
   -0.9524  0.784757E-03    -0.870383E-05
   -0.9656  0.518806E-03    -0.433611E-05
   -0.9771  0.318502E-03    -0.190871E-05
   -0.9867  0.175446E-03    -0.705901E-06
   -0.9944  0.818329E-04    -0.201451E-06
   -1.0003  0.289762E-04    -0.376832E-07
   -1.0042  0.594131E-05    -0.315625E-08
   -1.0061  0.343080E-06    -0.425419E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12012891883973043     
     2Ymax/Bref =   0.18624377380603571     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1201  0.128088E-02     0.391963E-04
    0.1204  0.127766E-02     0.377794E-04
    0.1226  0.126385E-02     0.349646E-04
    0.1270  0.120529E-02     0.296815E-04
    0.1331  0.107371E-02     0.227855E-04
    0.1405  0.870349E-03     0.155808E-04
    0.1489  0.637239E-03     0.934926E-05
    0.1575  0.422229E-03     0.481550E-05
    0.1658  0.249139E-03     0.204042E-05
    0.1733  0.124548E-03     0.655548E-06
    0.1794  0.472997E-04     0.135553E-06
    0.1837  0.103124E-04     0.122838E-07
    0.1860  0.620660E-06     0.174833E-09
    0.1862   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.18624377380603571     
     2Ymax/Bref =  -0.12012891883973043     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1201  0.128088E-02    -0.391963E-04
   -0.1204  0.127766E-02    -0.377794E-04
   -0.1226  0.126385E-02    -0.349646E-04
   -0.1270  0.120529E-02    -0.296815E-04
   -0.1331  0.107371E-02    -0.227855E-04
   -0.1405  0.870349E-03    -0.155808E-04
