
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26900_14_e09703                                     
  Mach  =    0.850
  alpha =    2.195    CLtot =    0.185
  beta  =    0.000

  Sref  =   796.30000
  Bref  =    64.86000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060191181005242     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.920230E-01     0.161572E-01
    0.0003  0.918463E-01     0.161046E-01
    0.0026  0.914930E-01     0.159996E-01
    0.0072  0.907877E-01     0.157913E-01
    0.0140  0.897331E-01     0.154830E-01
    0.0231  0.883329E-01     0.150796E-01
    0.0343  0.865922E-01     0.145874E-01
    0.0477  0.845170E-01     0.140141E-01
    0.0632  0.821152E-01     0.133690E-01
    0.0807  0.793967E-01     0.126620E-01
    0.1002  0.763766E-01     0.119044E-01
    0.1215  0.730869E-01     0.111079E-01
    0.1446  0.695717E-01     0.102844E-01
    0.1686  0.659600E-01     0.947229E-02
    0.1933  0.622497E-01     0.868069E-02
    0.2194  0.583451E-01     0.789500E-02
    0.2467  0.542841E-01     0.712595E-02
    0.2752  0.501262E-01     0.638339E-02
    0.3047  0.459412E-01     0.567582E-02
    0.3350  0.418024E-01     0.501011E-02
    0.3662  0.377898E-01     0.439117E-02
    0.3979  0.339904E-01     0.382179E-02
    0.4298  0.305197E-01     0.330516E-02
    0.4617  0.273867E-01     0.283903E-02
    0.4938  0.245130E-01     0.241855E-02
    0.5260  0.218652E-01     0.204199E-02
    0.5581  0.194224E-01     0.170749E-02
    0.5900  0.171699E-01     0.141293E-02
    0.6216  0.150964E-01     0.115599E-02
    0.6526  0.131925E-01     0.934135E-03
    0.6831  0.114499E-01     0.744677E-03
    0.7128  0.986076E-02     0.584823E-03
    0.7417  0.841803E-02     0.451719E-03
    0.7696  0.711477E-02     0.342501E-03
    0.7963  0.594437E-02     0.254341E-03
    0.8219  0.490057E-02     0.184485E-03
    0.8460  0.397757E-02     0.130290E-03
    0.8688  0.317029E-02     0.892529E-04
    0.8900  0.247437E-02     0.590351E-04
    0.9096  0.188562E-02     0.374853E-04
    0.9275  0.139826E-02     0.226724E-04
    0.9441  0.990773E-03     0.126534E-04
    0.9593  0.658033E-03     0.631767E-05
    0.9724  0.405074E-03     0.278309E-05
    0.9834  0.223161E-03     0.102863E-05
    0.9923  0.103900E-03     0.293187E-06
    0.9990  0.367396E-04     0.548092E-07
    1.0035  0.754047E-05     0.459487E-08
    1.0057  0.436614E-06     0.620902E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060191181005242     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.920230E-01    -0.161572E-01
   -0.0003  0.918463E-01    -0.161046E-01
   -0.0026  0.914930E-01    -0.159996E-01
   -0.0072  0.907877E-01    -0.157913E-01
   -0.0140  0.897331E-01    -0.154830E-01
   -0.0231  0.883329E-01    -0.150796E-01
   -0.0343  0.865922E-01    -0.145874E-01
   -0.0477  0.845170E-01    -0.140141E-01
   -0.0632  0.821152E-01    -0.133690E-01
   -0.0807  0.793967E-01    -0.126620E-01
   -0.1002  0.763766E-01    -0.119044E-01
   -0.1215  0.730869E-01    -0.111079E-01
   -0.1446  0.695717E-01    -0.102844E-01
   -0.1686  0.659600E-01    -0.947229E-02
   -0.1933  0.622497E-01    -0.868069E-02
   -0.2194  0.583451E-01    -0.789500E-02
   -0.2467  0.542841E-01    -0.712595E-02
   -0.2752  0.501262E-01    -0.638339E-02
   -0.3047  0.459412E-01    -0.567582E-02
   -0.3350  0.418024E-01    -0.501011E-02
   -0.3662  0.377898E-01    -0.439117E-02
   -0.3979  0.339904E-01    -0.382179E-02
   -0.4298  0.305197E-01    -0.330516E-02
   -0.4617  0.273867E-01    -0.283903E-02
   -0.4938  0.245130E-01    -0.241855E-02
   -0.5260  0.218652E-01    -0.204199E-02
   -0.5581  0.194224E-01    -0.170749E-02
   -0.5900  0.171699E-01    -0.141293E-02
   -0.6216  0.150964E-01    -0.115599E-02
   -0.6526  0.131925E-01    -0.934135E-03
   -0.6831  0.114499E-01    -0.744677E-03
   -0.7128  0.986076E-02    -0.584823E-03
   -0.7417  0.841803E-02    -0.451719E-03
   -0.7696  0.711477E-02    -0.342501E-03
   -0.7963  0.594437E-02    -0.254341E-03
   -0.8219  0.490057E-02    -0.184485E-03
   -0.8460  0.397757E-02    -0.130290E-03
   -0.8688  0.317029E-02    -0.892529E-04
   -0.8900  0.247437E-02    -0.590351E-04
   -0.9096  0.188562E-02    -0.374853E-04
   -0.9275  0.139826E-02    -0.226724E-04
   -0.9441  0.990773E-03    -0.126534E-04
   -0.9593  0.658033E-03    -0.631767E-05
   -0.9724  0.405074E-03    -0.278309E-05
   -0.9834  0.223161E-03    -0.102863E-05
   -0.9923  0.103900E-03    -0.293187E-06
   -0.9990  0.367396E-04    -0.548092E-07
   -1.0035  0.754047E-05    -0.459487E-08
   -1.0057  0.436614E-06    -0.620902E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12642614862781373     
     2Ymax/Bref =   0.19600678384212147     
