
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26900_2_e5a47b                                      
  Mach  =    0.850
  alpha =    1.670    CLtot =    0.164
  beta  =    0.000

  Sref  =   934.00000
  Bref  =    70.01000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062762462505355     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.819747E-01     0.152018E-01
    0.0003  0.818376E-01     0.151580E-01
    0.0024  0.815632E-01     0.150705E-01
    0.0067  0.810156E-01     0.148970E-01
    0.0131  0.801968E-01     0.146397E-01
    0.0215  0.791099E-01     0.143025E-01
    0.0321  0.777587E-01     0.138901E-01
    0.0446  0.761484E-01     0.134083E-01
    0.0591  0.742852E-01     0.128641E-01
    0.0754  0.721770E-01     0.122651E-01
    0.0936  0.698359E-01     0.116198E-01
    0.1135  0.672895E-01     0.109370E-01
    0.1351  0.645727E-01     0.102259E-01
    0.1590  0.615923E-01     0.947227E-02
    0.1852  0.583271E-01     0.868801E-02
    0.2128  0.548746E-01     0.790679E-02
    0.2418  0.512671E-01     0.713911E-02
    0.2719  0.475544E-01     0.639467E-02
    0.3031  0.437990E-01     0.568197E-02
    0.3353  0.400656E-01     0.500799E-02
    0.3683  0.364174E-01     0.437801E-02
    0.4005  0.330673E-01     0.381617E-02
    0.4318  0.300431E-01     0.331795E-02
    0.4634  0.272021E-01     0.286112E-02
    0.4952  0.245303E-01     0.244561E-02
    0.5271  0.220196E-01     0.207093E-02
    0.5590  0.196650E-01     0.173612E-02
    0.5906  0.174635E-01     0.143983E-02
    0.6219  0.154127E-01     0.118029E-02
    0.6527  0.135105E-01     0.955418E-03
    0.6829  0.117547E-01     0.762848E-03
    0.7124  0.101426E-01     0.600011E-03
    0.7410  0.867126E-02     0.464193E-03
    0.7686  0.733706E-02     0.352604E-03
    0.7951  0.613603E-02     0.262434E-03
    0.8204  0.506376E-02     0.190915E-03
    0.8444  0.411560E-02     0.135365E-03
    0.8670  0.328673E-02     0.932340E-04
    0.8880  0.257242E-02     0.621386E-04
    0.9074  0.196817E-02     0.398899E-04
    0.9251  0.146942E-02     0.245175E-04
    0.9420  0.104551E-02     0.138218E-04
    0.9578  0.692267E-03     0.689095E-05
    0.9714  0.424647E-03     0.303665E-05
