
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_27100_19_deaac0                                     
  Mach  =    0.850
  alpha =    2.016    CLtot =    0.171
  beta  =    0.000

  Sref  =   885.80000
  Bref  =    60.35000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063661971830986     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.855831E-01     0.159585E-01
    0.0003  0.854312E-01     0.159094E-01
    0.0026  0.851273E-01     0.158115E-01
    0.0072  0.845212E-01     0.156171E-01
    0.0140  0.836159E-01     0.153290E-01
    0.0231  0.824160E-01     0.149517E-01
    0.0344  0.809282E-01     0.144907E-01
    0.0479  0.791604E-01     0.139528E-01
    0.0634  0.771222E-01     0.133459E-01
    0.0810  0.748246E-01     0.126788E-01
    0.1005  0.722806E-01     0.119612E-01
    0.1219  0.695071E-01     0.112033E-01
    0.1451  0.665297E-01     0.104157E-01
    0.1687  0.635119E-01     0.964743E-02
    0.1927  0.604496E-01     0.890586E-02
    0.2179  0.571985E-01     0.816320E-02
    0.2444  0.537824E-01     0.742897E-02
    0.2720  0.502409E-01     0.671217E-02
    0.3005  0.466275E-01     0.602089E-02
    0.3300  0.430061E-01     0.536198E-02
    0.3601  0.394431E-01     0.474077E-02
    0.3913  0.359703E-01     0.415066E-02
    0.4233  0.326476E-01     0.359593E-02
    0.4557  0.295143E-01     0.308794E-02
    0.4883  0.265561E-01     0.262676E-02
    0.5210  0.237660E-01     0.221197E-02
    0.5536  0.211417E-01     0.184260E-02
    0.5860  0.186828E-01     0.151715E-02
    0.6180  0.163900E-01     0.123361E-02
    0.6496  0.142644E-01     0.989550E-03
    0.6805  0.123063E-01     0.782160E-03
    0.7107  0.105155E-01     0.608367E-03
    0.7400  0.889065E-02     0.464905E-03
    0.7683  0.742936E-02     0.348407E-03
    0.7954  0.612786E-02     0.255493E-03
    0.8213  0.498108E-02     0.182848E-03
    0.8459  0.398268E-02     0.127298E-03
    0.8690  0.312512E-02     0.858703E-04
    0.8905  0.239970E-02     0.558442E-04
    0.9104  0.179672E-02     0.347873E-04
    0.9286  0.130540E-02     0.205816E-04
    0.9452  0.907215E-03     0.112860E-04
    0.9602  0.593880E-03     0.558877E-05
    0.9732  0.361639E-03     0.245095E-05
    0.9841  0.198408E-03     0.906147E-06
    0.9928  0.927409E-04     0.259510E-06
    0.9994  0.330920E-04     0.488514E-07
    1.0039  0.684424E-05     0.411986E-08
    1.0061  0.397048E-06     0.557694E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063661971830986     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.855831E-01    -0.159585E-01
   -0.0003  0.854312E-01    -0.159094E-01
   -0.0026  0.851273E-01    -0.158115E-01
   -0.0072  0.845212E-01    -0.156171E-01
   -0.0140  0.836159E-01    -0.153290E-01
   -0.0231  0.824160E-01    -0.149517E-01
   -0.0344  0.809282E-01    -0.144907E-01
   -0.0479  0.791604E-01    -0.139528E-01
   -0.0634  0.771222E-01    -0.133459E-01
   -0.0810  0.748246E-01    -0.126788E-01
   -0.1005  0.722806E-01    -0.119612E-01
   -0.1219  0.695071E-01    -0.112033E-01
   -0.1451  0.665297E-01    -0.104157E-01
   -0.1687  0.635119E-01    -0.964743E-02
   -0.1927  0.604496E-01    -0.890586E-02
   -0.2179  0.571985E-01    -0.816320E-02
   -0.2444  0.537824E-01    -0.742897E-02
   -0.2720  0.502409E-01    -0.671217E-02
   -0.3005  0.466275E-01    -0.602089E-02
   -0.3300  0.430061E-01    -0.536198E-02
   -0.3601  0.394431E-01    -0.474077E-02
   -0.3913  0.359703E-01    -0.415066E-02
   -0.4233  0.326476E-01    -0.359593E-02
   -0.4557  0.295143E-01    -0.308794E-02
   -0.4883  0.265561E-01    -0.262676E-02
   -0.5210  0.237660E-01    -0.221197E-02
   -0.5536  0.211417E-01    -0.184260E-02
   -0.5860  0.186828E-01    -0.151715E-02
   -0.6180  0.163900E-01    -0.123361E-02
   -0.6496  0.142644E-01    -0.989550E-03
   -0.6805  0.123063E-01    -0.782160E-03
   -0.7107  0.105155E-01    -0.608367E-03
   -0.7400  0.889065E-02    -0.464905E-03
   -0.7683  0.742936E-02    -0.348407E-03
   -0.7954  0.612786E-02    -0.255493E-03
   -0.8213  0.498108E-02    -0.182848E-03
   -0.8459  0.398268E-02    -0.127298E-03
   -0.8690  0.312512E-02    -0.858703E-04
   -0.8905  0.239970E-02    -0.558442E-04
   -0.9104  0.179672E-02    -0.347873E-04
   -0.9286  0.130540E-02    -0.205816E-04
   -0.9452  0.907215E-03    -0.112860E-04
   -0.9602  0.593880E-03    -0.558877E-05
   -0.9732  0.361639E-03    -0.245095E-05
   -0.9841  0.198408E-03    -0.906147E-06
   -0.9928  0.927409E-04    -0.259510E-06
   -0.9994  0.330920E-04    -0.488514E-07
   -1.0039  0.684424E-05    -0.411986E-08
   -1.0061  0.397048E-06    -0.557694E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13587406793703397     
     2Ymax/Bref =   0.21065451532725765     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1359  0.649222E-03     0.234575E-04
    0.1362  0.647485E-03     0.226453E-04
    0.1387  0.640165E-03     0.210322E-04
    0.1436  0.610284E-03     0.180060E-04
    0.1505  0.547009E-03     0.140452E-04
    0.1590  0.454405E-03     0.984755E-05
    0.1684  0.347840E-03     0.609687E-05
    0.1781  0.242153E-03     0.324120E-05
    0.1876  0.149120E-03     0.141191E-05
    0.1960  0.770586E-04     0.463830E-06
    0.2029  0.299686E-04     0.975285E-07
    0.2078  0.663501E-05     0.894475E-08
    0.2103  0.402782E-06     0.128330E-09
    0.2107   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.21065451532725765     
     2Ymax/Bref =  -0.13587406793703397     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1359  0.649222E-03    -0.234575E-04
   -0.1362  0.647485E-03    -0.226453E-04
   -0.1387  0.640165E-03    -0.210322E-04
   -0.1436  0.610284E-03    -0.180060E-04
   -0.1505  0.547009E-03    -0.140452E-04
   -0.1590  0.454405E-03    -0.984755E-05
   -0.1684  0.347840E-03    -0.609687E-05
   -0.1781  0.242153E-03    -0.324120E-05
   -0.1876  0.149120E-03    -0.141191E-05
   -0.1960  0.770586E-04    -0.463830E-06
   -0.2029  0.299686E-04    -0.975285E-07
   -0.2078  0.663501E-05    -0.894475E-08
   -0.2103  0.402782E-06    -0.128330E-09
   -0.2107   0.00000         -0.00000    
