
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_27100_8_cd03b3                                      
  Mach  =    0.850
  alpha =    2.113    CLtot =    0.183
  beta  =    0.000

  Sref  =   803.20000
  Bref  =    57.35000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060226678291193     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.915264E-01     0.171634E-01
    0.0003  0.913750E-01     0.171131E-01
    0.0025  0.910723E-01     0.170129E-01
    0.0069  0.904680E-01     0.168138E-01
    0.0134  0.895644E-01     0.165187E-01
    0.0221  0.883650E-01     0.161318E-01
    0.0329  0.868740E-01     0.156585E-01
    0.0458  0.850967E-01     0.151055E-01
    0.0607  0.830396E-01     0.144807E-01
    0.0775  0.807104E-01     0.137928E-01
    0.0962  0.781190E-01     0.130514E-01
    0.1166  0.752790E-01     0.122668E-01
    0.1388  0.722194E-01     0.114497E-01
    0.1626  0.689713E-01     0.106109E-01
    0.1877  0.655603E-01     0.976769E-02
    0.2139  0.619774E-01     0.893046E-02
    0.2415  0.582140E-01     0.810356E-02
    0.2702  0.543155E-01     0.729718E-02
    0.2999  0.503431E-01     0.652050E-02
    0.3305  0.463570E-01     0.578127E-02
    0.3618  0.424176E-01     0.508569E-02
    0.3938  0.385857E-01     0.443828E-02
    0.4259  0.349677E-01     0.384515E-02
    0.4580  0.316004E-01     0.330595E-02
    0.4903  0.284387E-01     0.281648E-02
    0.5227  0.254686E-01     0.237607E-02
    0.5550  0.226826E-01     0.198352E-02
    0.5871  0.200770E-01     0.163716E-02
    0.6189  0.176497E-01     0.133486E-02
    0.6502  0.153995E-01     0.107405E-02
    0.6808  0.133253E-01     0.851830E-03
    0.7107  0.114254E-01     0.665011E-03
    0.7398  0.969743E-02     0.510236E-03
    0.7678  0.813817E-02     0.384043E-03
    0.7947  0.674351E-02     0.282951E-03
    0.8204  0.550840E-02     0.203539E-03
    0.8448  0.442692E-02     0.142511E-03
    0.8677  0.349232E-02     0.967616E-04
    0.8890  0.269698E-02     0.634211E-04
    0.9087  0.203226E-02     0.399000E-04
    0.9267  0.148828E-02     0.239204E-04
    0.9435  0.103961E-02     0.132314E-04
    0.9588  0.680485E-03     0.655302E-05
    0.9721  0.414309E-03     0.287528E-05
    0.9832  0.227464E-03     0.106439E-05
    0.9922  0.106561E-03     0.305489E-06
    0.9989  0.381528E-04     0.576578E-07
    1.0035  0.791459E-05     0.487399E-08
    1.0057  0.459735E-06     0.660573E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060226678291193     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.915264E-01    -0.171634E-01
   -0.0003  0.913750E-01    -0.171131E-01
   -0.0025  0.910723E-01    -0.170129E-01
   -0.0069  0.904680E-01    -0.168138E-01
   -0.0134  0.895644E-01    -0.165187E-01
   -0.0221  0.883650E-01    -0.161318E-01
   -0.0329  0.868740E-01    -0.156585E-01
   -0.0458  0.850967E-01    -0.151055E-01
   -0.0607  0.830396E-01    -0.144807E-01
   -0.0775  0.807104E-01    -0.137928E-01
   -0.0962  0.781190E-01    -0.130514E-01
   -0.1166  0.752790E-01    -0.122668E-01
   -0.1388  0.722194E-01    -0.114497E-01
   -0.1626  0.689713E-01    -0.106109E-01
   -0.1877  0.655603E-01    -0.976769E-02
   -0.2139  0.619774E-01    -0.893046E-02
   -0.2415  0.582140E-01    -0.810356E-02
   -0.2702  0.543155E-01    -0.729718E-02
   -0.2999  0.503431E-01    -0.652050E-02
   -0.3305  0.463570E-01    -0.578127E-02
   -0.3618  0.424176E-01    -0.508569E-02
   -0.3938  0.385857E-01    -0.443828E-02
   -0.4259  0.349677E-01    -0.384515E-02
   -0.4580  0.316004E-01    -0.330595E-02
   -0.4903  0.284387E-01    -0.281648E-02
   -0.5227  0.254686E-01    -0.237607E-02
   -0.5550  0.226826E-01    -0.198352E-02
   -0.5871  0.200770E-01    -0.163716E-02
   -0.6189  0.176497E-01    -0.133486E-02
   -0.6502  0.153995E-01    -0.107405E-02
   -0.6808  0.133253E-01    -0.851830E-03
   -0.7107  0.114254E-01    -0.665011E-03
   -0.7398  0.969743E-02    -0.510236E-03
   -0.7678  0.813817E-02    -0.384043E-03
   -0.7947  0.674351E-02    -0.282951E-03
   -0.8204  0.550840E-02    -0.203539E-03
   -0.8448  0.442692E-02    -0.142511E-03
   -0.8677  0.349232E-02    -0.967616E-04
   -0.8890  0.269698E-02    -0.634211E-04
   -0.9087  0.203226E-02    -0.399000E-04
   -0.9267  0.148828E-02    -0.239204E-04
   -0.9435  0.103961E-02    -0.132314E-04
   -0.9588  0.680485E-03    -0.655302E-05
   -0.9721  0.414309E-03    -0.287528E-05
   -0.9832  0.227464E-03    -0.106439E-05
   -0.9922  0.106561E-03    -0.305489E-06
   -0.9989  0.381528E-04    -0.576578E-07
   -1.0035  0.791459E-05    -0.487399E-08
   -1.0057  0.459735E-06    -0.660573E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.14298169136878813     
     2Ymax/Bref =   0.22167393199651261     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1430  0.933807E-03     0.335958E-04
    0.1433  0.931005E-03     0.323667E-04
    0.1460  0.919187E-03     0.299277E-04
    0.1511  0.870739E-03     0.253693E-04
    0.1584  0.767476E-03     0.194692E-04
    0.1673  0.617858E-03     0.133585E-04
    0.1772  0.454607E-03     0.808221E-05
    0.1875  0.305563E-03     0.421040E-05
    0.1974  0.183324E-03     0.180517E-05
    0.2063  0.930419E-04     0.586123E-06
    0.2135  0.357602E-04     0.122237E-06
    0.2187  0.786083E-05     0.111486E-07
    0.2213  0.475362E-06     0.159378E-09
    0.2217   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.22167393199651261     
     2Ymax/Bref =  -0.14298169136878813     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1430  0.933807E-03    -0.335958E-04
   -0.1433  0.931005E-03    -0.323667E-04
   -0.1460  0.919187E-03    -0.299277E-04
