
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_27788_14_dcc71f                                     
  Mach  =    0.850
  alpha =    2.604    CLtot =    0.207
  beta  =    0.000

  Sref  =   691.90000
  Bref  =    60.01000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064055990668221     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.103201         0.181190E-01
    0.0003  0.103006         0.180619E-01
    0.0025  0.102616         0.179479E-01
    0.0069  0.101837         0.177217E-01
    0.0135  0.100672         0.173869E-01
    0.0223  0.991260E-01     0.169487E-01
    0.0332  0.972039E-01     0.164139E-01
    0.0462  0.949127E-01     0.157908E-01
    0.0612  0.922607E-01     0.150892E-01
    0.0782  0.892588E-01     0.143201E-01
    0.0970  0.859211E-01     0.134953E-01
    0.1176  0.822697E-01     0.126276E-01
    0.1400  0.783536E-01     0.117300E-01
    0.1635  0.742873E-01     0.108348E-01
    0.1879  0.700628E-01     0.995298E-02
    0.2137  0.656177E-01     0.907834E-02
    0.2408  0.610168E-01     0.822280E-02
    0.2689  0.563430E-01     0.739696E-02
    0.2981  0.516815E-01     0.660974E-02
    0.3282  0.471309E-01     0.586797E-02
    0.3589  0.428034E-01     0.517600E-02
    0.3904  0.387886E-01     0.453060E-02
    0.4225  0.350973E-01     0.393263E-02
    0.4549  0.316773E-01     0.338635E-02
    0.4876  0.284930E-01     0.289090E-02
    0.5203  0.255241E-01     0.244517E-02
    0.5529  0.227578E-01     0.204762E-02
    0.5853  0.201851E-01     0.169630E-02
    0.6174  0.177986E-01     0.138889E-02
    0.6490  0.155922E-01     0.112275E-02
    0.6800  0.135598E-01     0.894959E-03
    0.7102  0.116960E-01     0.702420E-03
    0.7395  0.999506E-02     0.541890E-03
    0.7678  0.845128E-02     0.410070E-03
    0.7950  0.705904E-02     0.303653E-03
    0.8210  0.581279E-02     0.219388E-03
    0.8456  0.470736E-02     0.154121E-03
    0.8687  0.373814E-02     0.104843E-03
    0.8902  0.290113E-02     0.687210E-04
    0.9102  0.219235E-02     0.431349E-04
    0.9283  0.160636E-02     0.257202E-04
    0.9450  0.112592E-02     0.142126E-04
    0.9600  0.743532E-03     0.708866E-05
    0.9731  0.456818E-03     0.313093E-05
    0.9840  0.252905E-03     0.116537E-05
    0.9928  0.119184E-03     0.335626E-06
    0.9995  0.427623E-04     0.634142E-07
    1.0039  0.886298E-05     0.535661E-08
    1.0061  0.514223E-06     0.725194E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064055990668221     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.103201        -0.181190E-01
   -0.0003  0.103006        -0.180619E-01
   -0.0025  0.102616        -0.179479E-01
   -0.0069  0.101837        -0.177217E-01
   -0.0135  0.100672        -0.173869E-01
   -0.0223  0.991260E-01    -0.169487E-01
   -0.0332  0.972039E-01    -0.164139E-01
   -0.0462  0.949127E-01    -0.157908E-01
   -0.0612  0.922607E-01    -0.150892E-01
   -0.0782  0.892588E-01    -0.143201E-01
   -0.0970  0.859211E-01    -0.134953E-01
   -0.1176  0.822697E-01    -0.126276E-01
   -0.1400  0.783536E-01    -0.117300E-01
   -0.1635  0.742873E-01    -0.108348E-01
   -0.1879  0.700628E-01    -0.995298E-02
   -0.2137  0.656177E-01    -0.907834E-02
   -0.2408  0.610168E-01    -0.822280E-02
   -0.2689  0.563430E-01    -0.739696E-02
   -0.2981  0.516815E-01    -0.660974E-02
   -0.3282  0.471309E-01    -0.586797E-02
   -0.3589  0.428034E-01    -0.517600E-02
   -0.3904  0.387886E-01    -0.453060E-02
   -0.4225  0.350973E-01    -0.393263E-02
   -0.4549  0.316773E-01    -0.338635E-02
   -0.4876  0.284930E-01    -0.289090E-02
   -0.5203  0.255241E-01    -0.244517E-02
   -0.5529  0.227578E-01    -0.204762E-02
   -0.5853  0.201851E-01    -0.169630E-02
   -0.6174  0.177986E-01    -0.138889E-02
   -0.6490  0.155922E-01    -0.112275E-02
   -0.6800  0.135598E-01    -0.894959E-03
   -0.7102  0.116960E-01    -0.702420E-03
   -0.7395  0.999506E-02    -0.541890E-03
   -0.7678  0.845128E-02    -0.410070E-03
   -0.7950  0.705904E-02    -0.303653E-03
   -0.8210  0.581279E-02    -0.219388E-03
   -0.8456  0.470736E-02    -0.154121E-03
   -0.8687  0.373814E-02    -0.104843E-03
   -0.8902  0.290113E-02    -0.687210E-04
   -0.9102  0.219235E-02    -0.431349E-04
   -0.9283  0.160636E-02    -0.257202E-04
   -0.9450  0.112592E-02    -0.142126E-04
   -0.9600  0.743532E-03    -0.708866E-05
   -0.9731  0.456818E-03    -0.313093E-05
   -0.9840  0.252905E-03    -0.116537E-05
   -0.9928  0.119184E-03    -0.335626E-06
   -0.9995  0.427623E-04    -0.634142E-07
   -1.0039  0.886298E-05    -0.535661E-08
   -1.0061  0.514223E-06    -0.725194E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13664389268455257     
     2Ymax/Bref =   0.21184802532911182     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1366  0.121127E-02     0.434393E-04
    0.1370  0.120792E-02     0.419155E-04
    0.1395  0.119390E-02     0.388896E-04
    0.1444  0.113696E-02     0.332168E-04
    0.1514  0.101579E-02     0.258072E-04
    0.1599  0.836930E-03     0.179972E-04
    0.1693  0.633366E-03     0.110842E-04
    0.1792  0.437285E-03     0.587276E-05
    0.1886  0.268363E-03     0.255499E-05
    0.1971  0.138616E-03     0.839391E-06
    0.2041  0.539485E-04     0.176603E-06
    0.2090  0.119546E-04     0.162082E-07
    0.2115  0.726151E-06     0.232670E-09
    0.2118   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.21184802532911182     
     2Ymax/Bref =  -0.13664389268455257     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1366  0.121127E-02    -0.434393E-04
   -0.1370  0.120792E-02    -0.419155E-04
   -0.1395  0.119390E-02    -0.388896E-04
   -0.1444  0.113696E-02    -0.332168E-04
   -0.1514  0.101579E-02    -0.258072E-04
   -0.1599  0.836930E-03    -0.179972E-04
   -0.1693  0.633366E-03    -0.110842E-04
