
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_27788_4_0e1316                                      
  Mach  =    0.850
  alpha =    1.784    CLtot =    0.141
  beta  =    0.000

  Sref  =  1169.40000
  Bref  =    63.67000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059902622899324     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.704177E-01     0.140307E-01
    0.0003  0.703041E-01     0.139909E-01
    0.0025  0.700767E-01     0.139116E-01
    0.0071  0.696230E-01     0.137541E-01
    0.0138  0.689449E-01     0.135205E-01
    0.0228  0.680454E-01     0.132142E-01
    0.0339  0.669285E-01     0.128394E-01
    0.0471  0.655994E-01     0.124012E-01
    0.0624  0.640645E-01     0.119058E-01
    0.0797  0.623317E-01     0.113598E-01
    0.0989  0.604112E-01     0.107707E-01
    0.1199  0.583193E-01     0.101462E-01
    0.1427  0.560821E-01     0.949456E-02
    0.1664  0.537858E-01     0.884472E-02
    0.1908  0.514283E-01     0.820337E-02
    0.2166  0.489441E-01     0.755776E-02
    0.2435  0.463494E-01     0.691537E-02
    0.2716  0.436664E-01     0.628334E-02
    0.3007  0.409213E-01     0.566826E-02
    0.3307  0.381425E-01     0.507604E-02
    0.3614  0.353598E-01     0.451174E-02
    0.3928  0.326072E-01     0.397947E-02
    0.4246  0.299143E-01     0.347975E-02
    0.4568  0.273120E-01     0.301503E-02
    0.4892  0.248213E-01     0.258893E-02
    0.5216  0.224445E-01     0.220179E-02
    0.5540  0.201830E-01     0.185339E-02
    0.5862  0.180391E-01     0.154300E-02
    0.6181  0.160155E-01     0.126942E-02
    0.6494  0.141152E-01     0.103104E-02
    0.6802  0.123408E-01     0.825845E-03
    0.7101  0.106947E-01     0.651529E-03
    0.7393  0.917844E-02     0.505539E-03
    0.7674  0.779296E-02     0.385154E-03
    0.7944  0.653823E-02     0.287554E-03
    0.8201  0.541332E-02     0.209890E-03
    0.8445  0.441627E-02     0.149358E-03
    0.8675  0.354407E-02     0.103254E-03
    0.8889  0.279246E-02     0.690332E-04
    0.9086  0.215559E-02     0.443611E-04
    0.9267  0.162511E-02     0.271569E-04
    0.9434  0.117165E-02     0.153177E-04
    0.9588  0.787956E-03     0.771227E-05
    0.9720  0.488796E-03     0.342485E-05
    0.9832  0.271732E-03     0.127967E-05
    0.9922  0.128595E-03     0.370468E-06
    0.9989  0.465776E-04     0.705845E-07
    1.0034  0.978556E-05     0.602767E-08
    1.0057  0.573596E-06     0.823871E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059902622899324     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.704177E-01    -0.140307E-01
   -0.0003  0.703041E-01    -0.139909E-01
   -0.0025  0.700767E-01    -0.139116E-01
   -0.0071  0.696230E-01    -0.137541E-01
   -0.0138  0.689449E-01    -0.135205E-01
   -0.0228  0.680454E-01    -0.132142E-01
   -0.0339  0.669285E-01    -0.128394E-01
   -0.0471  0.655994E-01    -0.124012E-01
   -0.0624  0.640645E-01    -0.119058E-01
   -0.0797  0.623317E-01    -0.113598E-01
   -0.0989  0.604112E-01    -0.107707E-01
   -0.1199  0.583193E-01    -0.101462E-01
   -0.1427  0.560821E-01    -0.949456E-02
   -0.1664  0.537858E-01    -0.884472E-02
   -0.1908  0.514283E-01    -0.820337E-02
   -0.2166  0.489441E-01    -0.755776E-02
   -0.2435  0.463494E-01    -0.691537E-02
   -0.2716  0.436664E-01    -0.628334E-02
   -0.3007  0.409213E-01    -0.566826E-02
   -0.3307  0.381425E-01    -0.507604E-02
   -0.3614  0.353598E-01    -0.451174E-02
   -0.3928  0.326072E-01    -0.397947E-02
   -0.4246  0.299143E-01    -0.347975E-02
   -0.4568  0.273120E-01    -0.301503E-02
   -0.4892  0.248213E-01    -0.258893E-02
   -0.5216  0.224445E-01    -0.220179E-02
   -0.5540  0.201830E-01    -0.185339E-02
   -0.5862  0.180391E-01    -0.154300E-02
   -0.6181  0.160155E-01    -0.126942E-02
   -0.6494  0.141152E-01    -0.103104E-02
   -0.6802  0.123408E-01    -0.825845E-03
   -0.7101  0.106947E-01    -0.651529E-03
   -0.7393  0.917844E-02    -0.505539E-03
   -0.7674  0.779296E-02    -0.385154E-03
   -0.7944  0.653823E-02    -0.287554E-03
   -0.8201  0.541332E-02    -0.209890E-03
   -0.8445  0.441627E-02    -0.149358E-03
   -0.8675  0.354407E-02    -0.103254E-03
   -0.8889  0.279246E-02    -0.690332E-04
   -0.9086  0.215559E-02    -0.443611E-04
   -0.9267  0.162511E-02    -0.271569E-04
   -0.9434  0.117165E-02    -0.153177E-04
   -0.9588  0.787956E-03    -0.771227E-05
   -0.9720  0.488796E-03    -0.342485E-05
   -0.9832  0.271732E-03    -0.127967E-05
   -0.9922  0.128595E-03    -0.370468E-06
   -0.9989  0.465776E-04    -0.705845E-07
   -1.0034  0.978556E-05    -0.602767E-08
   -1.0057  0.573596E-06    -0.823871E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12878906863514997     
     2Ymax/Bref =   0.19967017433642215     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1288  0.564139E-03     0.188587E-04
    0.1291  0.562620E-03     0.181897E-04
    0.1315  0.556170E-03     0.168612E-04
    0.1361  0.529490E-03     0.143709E-04
    0.1427  0.471936E-03     0.111222E-04
    0.1507  0.386694E-03     0.771074E-05
    0.1596  0.290106E-03     0.471153E-05
    0.1689  0.197926E-03     0.247255E-05
    0.1778  0.119767E-03     0.106470E-05
    0.1858  0.610185E-04     0.346419E-06
    0.1923  0.234808E-04     0.722992E-07
    0.1970  0.516242E-05     0.659483E-08
    0.1994  0.312167E-06     0.942732E-10
    0.1997   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19967017433642215     
     2Ymax/Bref =  -0.12878906863514997     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1288  0.564139E-03    -0.188587E-04
   -0.1291  0.562620E-03    -0.181897E-04
   -0.1315  0.556170E-03    -0.168612E-04
   -0.1361  0.529490E-03    -0.143709E-04
   -0.1427  0.471936E-03    -0.111222E-04
   -0.1507  0.386694E-03    -0.771074E-05
   -0.1596  0.290106E-03    -0.471153E-05
   -0.1689  0.197926E-03    -0.247255E-05
   -0.1778  0.119767E-03    -0.106470E-05
   -0.1858  0.610185E-04    -0.346419E-06
   -0.1923  0.234808E-04    -0.722992E-07
   -0.1970  0.516242E-05    -0.659483E-08
   -0.1994  0.312167E-06    -0.942732E-10
   -0.1997   0.00000         -0.00000    
