
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_28724_11_5ddf45                                     
  Mach  =    0.850
  alpha =    1.785    CLtot =    0.146
  beta  =    0.000

  Sref  =  1118.10000
  Bref  =    66.05000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063194549583649     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.731186E-01     0.141034E-01
    0.0003  0.729957E-01     0.140629E-01
    0.0025  0.727499E-01     0.139822E-01
    0.0069  0.722596E-01     0.138219E-01
    0.0135  0.715274E-01     0.135844E-01
    0.0223  0.705572E-01     0.132730E-01
    0.0332  0.693546E-01     0.128922E-01
    0.0462  0.679266E-01     0.124473E-01
    0.0612  0.662817E-01     0.119447E-01
    0.0781  0.644303E-01     0.113912E-01
    0.0969  0.623854E-01     0.107946E-01
    0.1176  0.601679E-01     0.101629E-01
    0.1399  0.578066E-01     0.950421E-02
    0.1641  0.552910E-01     0.882105E-02
    0.1900  0.526082E-01     0.812240E-02
    0.2173  0.497769E-01     0.742285E-02
    0.2460  0.468162E-01     0.673117E-02
    0.2758  0.437562E-01     0.605564E-02
    0.3068  0.406331E-01     0.540381E-02
    0.3386  0.374861E-01     0.478224E-02
    0.3712  0.343584E-01     0.419633E-02
    0.4032  0.314174E-01     0.366780E-02
    0.4345  0.286969E-01     0.319433E-02
    0.4660  0.260987E-01     0.275805E-02
    0.4978  0.236235E-01     0.235961E-02
    0.5296  0.212714E-01     0.199908E-02
    0.5614  0.190438E-01     0.167602E-02
    0.5929  0.169429E-01     0.138950E-02
    0.6241  0.149708E-01     0.113814E-02
    0.6549  0.131297E-01     0.920172E-03
    0.6850  0.114211E-01     0.733479E-03
    0.7144  0.984602E-02     0.575693E-03
    0.7430  0.840445E-02     0.444247E-03
    0.7705  0.709558E-02     0.336450E-03
    0.7970  0.591757E-02     0.249559E-03
    0.8222  0.486760E-02     0.180846E-03
    0.8462  0.394190E-02     0.127657E-03
    0.8687  0.313581E-02     0.874671E-04
    0.8896  0.244399E-02     0.579226E-04
    0.9090  0.186054E-02     0.368792E-04
    0.9267  0.137907E-02     0.224257E-04
    0.9434  0.973685E-03     0.125335E-04
    0.9588  0.641106E-03     0.622504E-05
    0.9721  0.391496E-03     0.273463E-05
    0.9834  0.215046E-03     0.101251E-05
    0.9924  0.100708E-03     0.290656E-06
    0.9992  0.360915E-04     0.549209E-07
    1.0038  0.750832E-05     0.465350E-08
    1.0060  0.437421E-06     0.632423E-10
    1.0063   0.00000          0.00000    
   
