
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_28776_7_7ed58e                                      
  Mach  =    0.850
  alpha =    2.319    CLtot =    0.175
  beta  =    0.000

  Sref  =   939.00000
  Bref  =    60.55000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063947151114780     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.870752E-01     0.163243E-01
    0.0003  0.869205E-01     0.162749E-01
    0.0026  0.866111E-01     0.161763E-01
    0.0071  0.859934E-01     0.159807E-01
    0.0139  0.850697E-01     0.156908E-01
    0.0229  0.838429E-01     0.153111E-01
    0.0340  0.823165E-01     0.148473E-01
    0.0473  0.804948E-01     0.143061E-01
    0.0627  0.783835E-01     0.136958E-01
    0.0801  0.759900E-01     0.130255E-01
    0.0994  0.733256E-01     0.123050E-01
    0.1206  0.704115E-01     0.115450E-01
    0.1435  0.672988E-01     0.107564E-01
    0.1671  0.641645E-01     0.998197E-02
    0.1912  0.610222E-01     0.922905E-02
    0.2166  0.577590E-01     0.847521E-02
    0.2432  0.543946E-01     0.772923E-02
    0.2709  0.509625E-01     0.699934E-02
    0.2996  0.475021E-01     0.629290E-02
    0.3292  0.440520E-01     0.561626E-02
    0.3595  0.406508E-01     0.497463E-02
    0.3907  0.372976E-01     0.436379E-02
    0.4227  0.340224E-01     0.378849E-02
    0.4550  0.308781E-01     0.325929E-02
    0.4875  0.278738E-01     0.277713E-02
    0.5201  0.250146E-01     0.234215E-02
    0.5526  0.223060E-01     0.195380E-02
    0.5850  0.197533E-01     0.161085E-02
    0.6169  0.173617E-01     0.131147E-02
    0.6484  0.151353E-01     0.105331E-02
    0.6793  0.130773E-01     0.833590E-03
    0.7094  0.111895E-01     0.649202E-03
    0.7386  0.947254E-02     0.496794E-03
    0.7669  0.792527E-02     0.372878E-03
    0.7940  0.654499E-02     0.273925E-03
    0.8198  0.532731E-02     0.196460E-03
    0.8443  0.426619E-02     0.137139E-03
    0.8674  0.335395E-02     0.928243E-04
    0.8889  0.258143E-02     0.606384E-04
    0.9087  0.193827E-02     0.380096E-04
    0.9268  0.141346E-02     0.226948E-04
    0.9436  0.982929E-03     0.125123E-04
    0.9590  0.640963E-03     0.618826E-05
    0.9723  0.389419E-03     0.271637E-05
    0.9835  0.214049E-03     0.100839E-05
    0.9925  0.100816E-03     0.290846E-06
    0.9993  0.363691E-04     0.551939E-07
    1.0038  0.758128E-05     0.468261E-08
    1.0061  0.439948E-06     0.634064E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063947151114780     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.870752E-01    -0.163243E-01
   -0.0003  0.869205E-01    -0.162749E-01
   -0.0026  0.866111E-01    -0.161763E-01
   -0.0071  0.859934E-01    -0.159807E-01
   -0.0139  0.850697E-01    -0.156908E-01
   -0.0229  0.838429E-01    -0.153111E-01
   -0.0340  0.823165E-01    -0.148473E-01
   -0.0473  0.804948E-01    -0.143061E-01
   -0.0627  0.783835E-01    -0.136958E-01
   -0.0801  0.759900E-01    -0.130255E-01
   -0.0994  0.733256E-01    -0.123050E-01
   -0.1206  0.704115E-01    -0.115450E-01
   -0.1435  0.672988E-01    -0.107564E-01
   -0.1671  0.641645E-01    -0.998197E-02
   -0.1912  0.610222E-01    -0.922905E-02
   -0.2166  0.577590E-01    -0.847521E-02
   -0.2432  0.543946E-01    -0.772923E-02
   -0.2709  0.509625E-01    -0.699934E-02
