
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_28904_17_779b4b                                     
  Mach  =    0.850
  alpha =    2.282    CLtot =    0.187
  beta  =    0.000

  Sref  =   785.70000
  Bref  =    64.99000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061609478381290     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.932341E-01     0.160525E-01
    0.0003  0.930547E-01     0.160005E-01
    0.0025  0.926960E-01     0.158967E-01
    0.0070  0.919800E-01     0.156907E-01
    0.0137  0.909094E-01     0.153858E-01
    0.0225  0.894880E-01     0.149868E-01
    0.0335  0.877206E-01     0.145000E-01
    0.0466  0.856134E-01     0.139332E-01
    0.0617  0.831740E-01     0.132953E-01
    0.0788  0.804121E-01     0.125963E-01
    0.0978  0.773418E-01     0.118474E-01
    0.1186  0.739906E-01     0.110602E-01
    0.1412  0.704037E-01     0.102466E-01
    0.1644  0.667490E-01     0.945115E-02
    0.1881  0.630253E-01     0.868224E-02
    0.2131  0.591049E-01     0.791867E-02
    0.2394  0.550294E-01     0.717081E-02
    0.2667  0.508622E-01     0.644812E-02
    0.2950  0.466726E-01     0.575876E-02
    0.3241  0.425346E-01     0.510927E-02
    0.3540  0.385312E-01     0.450433E-02
    0.3844  0.347548E-01     0.394647E-02
    0.4163  0.311871E-01     0.341853E-02
    0.4495  0.278655E-01     0.292430E-02
    0.4829  0.248369E-01     0.248036E-02
    0.5163  0.220603E-01     0.208447E-02
    0.5497  0.195105E-01     0.173430E-02
    0.5829  0.171696E-01     0.142731E-02
    0.6157  0.150239E-01     0.116077E-02
    0.6480  0.130622E-01     0.931756E-03
    0.6797  0.112743E-01     0.737220E-03
    0.7106  0.965127E-02     0.574021E-03
    0.7406  0.818435E-02     0.438987E-03
    0.7696  0.686533E-02     0.328964E-03
    0.7974  0.568624E-02     0.240865E-03
    0.8239  0.463943E-02     0.171713E-03
    0.8491  0.371772E-02     0.118672E-03
    0.8727  0.291472E-02     0.790823E-04
    0.8948  0.222518E-02     0.504740E-04
    0.9152  0.164507E-02     0.305851E-04
    0.9338  0.117000E-02     0.173827E-04
    0.9499  0.804016E-03     0.930750E-05
    0.9637  0.531149E-03     0.464812E-05
    0.9756  0.326986E-03     0.205702E-05
    0.9857  0.181594E-03     0.767145E-06
    0.9937  0.857904E-04     0.221109E-06
    0.9998  0.307530E-04     0.417138E-07
    1.0039  0.634305E-05     0.350937E-08
    1.0059  0.365902E-06     0.472560E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061609478381290     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.932341E-01    -0.160525E-01
   -0.0003  0.930547E-01    -0.160005E-01
   -0.0025  0.926960E-01    -0.158967E-01
   -0.0070  0.919800E-01    -0.156907E-01
   -0.0137  0.909094E-01    -0.153858E-01
   -0.0225  0.894880E-01    -0.149868E-01
   -0.0335  0.877206E-01    -0.145000E-01
   -0.0466  0.856134E-01    -0.139332E-01
   -0.0617  0.831740E-01    -0.132953E-01
   -0.0788  0.804121E-01    -0.125963E-01
   -0.0978  0.773418E-01    -0.118474E-01
   -0.1186  0.739906E-01    -0.110602E-01
   -0.1412  0.704037E-01    -0.102466E-01
   -0.1644  0.667490E-01    -0.945115E-02
   -0.1881  0.630253E-01    -0.868224E-02
   -0.2131  0.591049E-01    -0.791867E-02
   -0.2394  0.550294E-01    -0.717081E-02
   -0.2667  0.508622E-01    -0.644812E-02
   -0.2950  0.466726E-01    -0.575876E-02
   -0.3241  0.425346E-01    -0.510927E-02
   -0.3540  0.385312E-01    -0.450433E-02
   -0.3844  0.347548E-01    -0.394647E-02
   -0.4163  0.311871E-01    -0.341853E-02
   -0.4495  0.278655E-01    -0.292430E-02
   -0.4829  0.248369E-01    -0.248036E-02
   -0.5163  0.220603E-01    -0.208447E-02
   -0.5497  0.195105E-01    -0.173430E-02
   -0.5829  0.171696E-01    -0.142731E-02
   -0.6157  0.150239E-01    -0.116077E-02
   -0.6480  0.130622E-01    -0.931756E-03
   -0.6797  0.112743E-01    -0.737220E-03
   -0.7106  0.965127E-02    -0.574021E-03
   -0.7406  0.818435E-02    -0.438987E-03
   -0.7696  0.686533E-02    -0.328964E-03
   -0.7974  0.568624E-02    -0.240865E-03
   -0.8239  0.463943E-02    -0.171713E-03
   -0.8491  0.371772E-02    -0.118672E-03
   -0.8727  0.291472E-02    -0.790823E-04
   -0.8948  0.222518E-02    -0.504740E-04
   -0.9152  0.164507E-02    -0.305851E-04
   -0.9338  0.117000E-02    -0.173827E-04
   -0.9499  0.804016E-03    -0.930750E-05
   -0.9637  0.531149E-03    -0.464812E-05
   -0.9756  0.326986E-03    -0.205702E-05
   -0.9857  0.181594E-03    -0.767145E-06
   -0.9937  0.857904E-04    -0.221109E-06
   -0.9998  0.307530E-04    -0.417138E-07
   -1.0039  0.634305E-05    -0.350937E-08
   -1.0059  0.365902E-06    -0.472560E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12617325742421912     
     2Ymax/Bref =   0.19561470995537775     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1262  0.976629E-03     0.318317E-04
    0.1265  0.973683E-03     0.306973E-04
    0.1288  0.961476E-03     0.284462E-04
    0.1333  0.912681E-03     0.242344E-04
    0.1398  0.810858E-03     0.187567E-04
    0.1476  0.663463E-03     0.130180E-04
    0.1564  0.498428E-03     0.797371E-05
    0.1654  0.341360E-03     0.419920E-05
    0.1742  0.207663E-03     0.181564E-05
    0.1820  0.106400E-03     0.593170E-06
    0.1884  0.411479E-04     0.124239E-06
    0.1930  0.907897E-05     0.113642E-07
    0.1953  0.550125E-06     0.162761E-09
    0.1956   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19561470995537775     
     2Ymax/Bref =  -0.12617325742421912     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1262  0.976629E-03    -0.318317E-04
   -0.1265  0.973683E-03    -0.306973E-04
   -0.1288  0.961476E-03    -0.284462E-04
   -0.1333  0.912681E-03    -0.242344E-04
   -0.1398  0.810858E-03    -0.187567E-04
   -0.1476  0.663463E-03    -0.130180E-04
   -0.1564  0.498428E-03    -0.797371E-05
   -0.1654  0.341360E-03    -0.419920E-05
   -0.1742  0.207663E-03    -0.181564E-05
   -0.1820  0.106400E-03    -0.593170E-06
   -0.1884  0.411479E-04    -0.124239E-06
   -0.1930  0.907897E-05    -0.113642E-07
   -0.1953  0.550125E-06    -0.162761E-09
   -0.1956   0.00000         -0.00000    
