
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_28904_5_60dc0f                                      
  Mach  =    0.850
  alpha =    1.887    CLtot =    0.166
  beta  =    0.000

  Sref  =   942.50000
  Bref  =    63.51000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063643520705401     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.828894E-01     0.159239E-01
    0.0003  0.827543E-01     0.158792E-01
    0.0024  0.824841E-01     0.157899E-01
    0.0067  0.819447E-01     0.156127E-01
    0.0132  0.811382E-01     0.153500E-01
    0.0217  0.800671E-01     0.150054E-01
    0.0324  0.787347E-01     0.145839E-01
    0.0450  0.771451E-01     0.140913E-01
    0.0596  0.753031E-01     0.135345E-01
    0.0762  0.732153E-01     0.129213E-01
    0.0945  0.708911E-01     0.122602E-01
    0.1146  0.683493E-01     0.115602E-01
    0.1364  0.656377E-01     0.108307E-01
    0.1602  0.627441E-01     0.100685E-01
    0.1858  0.596674E-01     0.928398E-02
    0.2129  0.564588E-01     0.849863E-02
    0.2413  0.531367E-01     0.772183E-02
    0.2708  0.497326E-01     0.696241E-02
    0.3014  0.462863E-01     0.622831E-02
    0.3329  0.428401E-01     0.552639E-02
    0.3652  0.394371E-01     0.486224E-02
    0.3975  0.361707E-01     0.424882E-02
    0.4297  0.330617E-01     0.368683E-02
    0.4622  0.300660E-01     0.316883E-02
    0.4950  0.271873E-01     0.269599E-02
    0.5278  0.244303E-01     0.226878E-02
    0.5605  0.218014E-01     0.188696E-02
    0.5930  0.193081E-01     0.154963E-02
    0.6252  0.169576E-01     0.125525E-02
    0.6569  0.147570E-01     0.100171E-02
    0.6879  0.127126E-01     0.786425E-03
    0.7182  0.108292E-01     0.606414E-03
    0.7477  0.911062E-02     0.458402E-03
    0.7761  0.755860E-02     0.338924E-03
    0.8033  0.617329E-02     0.244426E-03
    0.8294  0.495287E-02     0.171370E-03
    0.8540  0.389354E-02     0.116323E-03
    0.8772  0.298954E-02     0.760406E-04
    0.8988  0.223297E-02     0.475411E-04
    0.9188  0.161345E-02     0.281613E-04
    0.9364  0.113498E-02     0.159506E-04
    0.9516  0.776568E-03     0.860230E-05
    0.9650  0.504918E-03     0.424465E-05
    0.9766  0.306128E-03     0.185840E-05
    0.9864  0.167748E-03     0.687291E-06
    0.9942  0.785523E-04     0.197183E-06
    1.0002  0.281126E-04     0.371942E-07
    1.0041  0.582216E-05     0.313967E-08
    1.0061  0.337292E-06     0.424465E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063643520705401     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.828894E-01    -0.159239E-01
   -0.0003  0.827543E-01    -0.158792E-01
   -0.0024  0.824841E-01    -0.157899E-01
   -0.0067  0.819447E-01    -0.156127E-01
   -0.0132  0.811382E-01    -0.153500E-01
   -0.0217  0.800671E-01    -0.150054E-01
   -0.0324  0.787347E-01    -0.145839E-01
   -0.0450  0.771451E-01    -0.140913E-01
   -0.0596  0.753031E-01    -0.135345E-01
   -0.0762  0.732153E-01    -0.129213E-01
   -0.0945  0.708911E-01    -0.122602E-01
   -0.1146  0.683493E-01    -0.115602E-01
   -0.1364  0.656377E-01    -0.108307E-01
   -0.1602  0.627441E-01    -0.100685E-01
   -0.1858  0.596674E-01    -0.928398E-02
   -0.2129  0.564588E-01    -0.849863E-02
   -0.2413  0.531367E-01    -0.772183E-02
   -0.2708  0.497326E-01    -0.696241E-02
   -0.3014  0.462863E-01    -0.622831E-02
   -0.3329  0.428401E-01    -0.552639E-02
   -0.3652  0.394371E-01    -0.486224E-02
   -0.3975  0.361707E-01    -0.424882E-02
   -0.4297  0.330617E-01    -0.368683E-02
   -0.4622  0.300660E-01    -0.316883E-02
   -0.4950  0.271873E-01    -0.269599E-02
