
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_28908_11_7deebc                                     
  Mach  =    0.850
  alpha =    2.273    CLtot =    0.175
  beta  =    0.000

  Sref  =   865.40000
  Bref  =    61.72000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063933895009722     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.873789E-01     0.158226E-01
    0.0003  0.872265E-01     0.157755E-01
    0.0024  0.869218E-01     0.156816E-01
    0.0067  0.863136E-01     0.154951E-01
    0.0132  0.854043E-01     0.152189E-01
    0.0217  0.841976E-01     0.148569E-01
    0.0323  0.826979E-01     0.144145E-01
    0.0450  0.809112E-01     0.138982E-01
    0.0595  0.788444E-01     0.133156E-01
    0.0761  0.765062E-01     0.126751E-01
    0.0944  0.739068E-01     0.119860E-01
    0.1145  0.710620E-01     0.112583E-01
    0.1362  0.680067E-01     0.105022E-01
    0.1594  0.647815E-01     0.973467E-02
    0.1838  0.613706E-01     0.896582E-02
    0.2095  0.577536E-01     0.819971E-02
    0.2365  0.539681E-01     0.744669E-02
    0.2646  0.500832E-01     0.671623E-02
    0.2937  0.461768E-01     0.601639E-02
    0.3236  0.423279E-01     0.535356E-02
    0.3544  0.386223E-01     0.473218E-02
    0.3858  0.351251E-01     0.414925E-02
    0.4179  0.318606E-01     0.360665E-02
    0.4504  0.288110E-01     0.310986E-02
    0.4831  0.259554E-01     0.265852E-02
    0.5158  0.232817E-01     0.225187E-02
    0.5484  0.207823E-01     0.188873E-02
    0.5809  0.184522E-01     0.156747E-02
    0.6130  0.162873E-01     0.128607E-02
    0.6446  0.142839E-01     0.104219E-02
    0.6756  0.124383E-01     0.833207E-03
    0.7059  0.107465E-01     0.656302E-03
    0.7352  0.920383E-02     0.508526E-03
    0.7636  0.780546E-02     0.386869E-03
    0.7908  0.654588E-02     0.288318E-03
    0.8167  0.541922E-02     0.209920E-03
    0.8413  0.441928E-02     0.148829E-03
    0.8645  0.353977E-02     0.102349E-03
    0.8861  0.277474E-02     0.679632E-04
    0.9060  0.211946E-02     0.433566E-04
    0.9242  0.157194E-02     0.264190E-04
    0.9414  0.110983E-02     0.147972E-04
    0.9573  0.731834E-03     0.736458E-05
    0.9711  0.448089E-03     0.324437E-05
    0.9827  0.247099E-03     0.120533E-05
    0.9920  0.116264E-03     0.347178E-06
    0.9990  0.418230E-04     0.657568E-07
    1.0037  0.870712E-05     0.557391E-08
    1.0061  0.506008E-06     0.755764E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063933895009722     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.873789E-01    -0.158226E-01
   -0.0003  0.872265E-01    -0.157755E-01
   -0.0024  0.869218E-01    -0.156816E-01
   -0.0067  0.863136E-01    -0.154951E-01
   -0.0132  0.854043E-01    -0.152189E-01
   -0.0217  0.841976E-01    -0.148569E-01
   -0.0323  0.826979E-01    -0.144145E-01
   -0.0450  0.809112E-01    -0.138982E-01
   -0.0595  0.788444E-01    -0.133156E-01
   -0.0761  0.765062E-01    -0.126751E-01
   -0.0944  0.739068E-01    -0.119860E-01
   -0.1145  0.710620E-01    -0.112583E-01
   -0.1362  0.680067E-01    -0.105022E-01
   -0.1594  0.647815E-01    -0.973467E-02
   -0.1838  0.613706E-01    -0.896582E-02
   -0.2095  0.577536E-01    -0.819971E-02
   -0.2365  0.539681E-01    -0.744669E-02
   -0.2646  0.500832E-01    -0.671623E-02
   -0.2937  0.461768E-01    -0.601639E-02
   -0.3236  0.423279E-01    -0.535356E-02
   -0.3544  0.386223E-01    -0.473218E-02
   -0.3858  0.351251E-01    -0.414925E-02
   -0.4179  0.318606E-01    -0.360665E-02
   -0.4504  0.288110E-01    -0.310986E-02
   -0.4831  0.259554E-01    -0.265852E-02
   -0.5158  0.232817E-01    -0.225187E-02
   -0.5484  0.207823E-01    -0.188873E-02
   -0.5809  0.184522E-01    -0.156747E-02
   -0.6130  0.162873E-01    -0.128607E-02
   -0.6446  0.142839E-01    -0.104219E-02
   -0.6756  0.124383E-01    -0.833207E-03
   -0.7059  0.107465E-01    -0.656302E-03
   -0.7352  0.920383E-02    -0.508526E-03
   -0.7636  0.780546E-02    -0.386869E-03
   -0.7908  0.654588E-02    -0.288318E-03
   -0.8167  0.541922E-02    -0.209920E-03
   -0.8413  0.441928E-02    -0.148829E-03
   -0.8645  0.353977E-02    -0.102349E-03
   -0.8861  0.277474E-02    -0.679632E-04
   -0.9060  0.211946E-02    -0.433566E-04
   -0.9242  0.157194E-02    -0.264190E-04
   -0.9414  0.110983E-02    -0.147972E-04
   -0.9573  0.731834E-03    -0.736458E-05
   -0.9711  0.448089E-03    -0.324437E-05
   -0.9827  0.247099E-03    -0.120533E-05
   -0.9920  0.116264E-03    -0.347178E-06
   -0.9990  0.418230E-04    -0.657568E-07
   -1.0037  0.870712E-05    -0.557391E-08
   -1.0061  0.506008E-06    -0.755764E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13285806869734282     
     2Ymax/Bref =   0.20597861309138041     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1329  0.963120E-03     0.329061E-04
    0.1332  0.960507E-03     0.317280E-04
    0.1356  0.949413E-03     0.293885E-04
    0.1404  0.903407E-03     0.250040E-04
    0.1472  0.803355E-03     0.192923E-04
    0.1554  0.654216E-03     0.133182E-04
    0.1646  0.486464E-03     0.810361E-05
    0.1742  0.329602E-03     0.424140E-05
    0.1834  0.198926E-03     0.182525E-05
    0.1917  0.101396E-03     0.594333E-06
    0.1984  0.390858E-04     0.124204E-06
    0.2032  0.860751E-05     0.113440E-07
    0.2057  0.521030E-06     0.162320E-09
    0.2060   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20597861309138041     
     2Ymax/Bref =  -0.13285806869734282     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1329  0.963120E-03    -0.329061E-04
   -0.1332  0.960507E-03    -0.317280E-04
   -0.1356  0.949413E-03    -0.293885E-04
   -0.1404  0.903407E-03    -0.250040E-04
   -0.1472  0.803355E-03    -0.192923E-04
   -0.1554  0.654216E-03    -0.133182E-04
   -0.1646  0.486464E-03    -0.810361E-05
   -0.1742  0.329602E-03    -0.424140E-05
   -0.1834  0.198926E-03    -0.182525E-05
   -0.1917  0.101396E-03    -0.594333E-06
   -0.1984  0.390858E-04    -0.124204E-06
   -0.2032  0.860751E-05    -0.113440E-07
   -0.2057  0.521030E-06    -0.162320E-09
   -0.2060   0.00000         -0.00000    
