
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29100_9_03b61a                                      
  Mach  =    0.850
  alpha =    1.758    CLtot =    0.149
  beta  =    0.000

  Sref  =  1077.40000
  Bref  =    60.93000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059051370425078     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.743679E-01     0.146404E-01
    0.0003  0.742501E-01     0.145988E-01
    0.0025  0.740146E-01     0.145159E-01
    0.0070  0.735445E-01     0.143511E-01
    0.0137  0.728416E-01     0.141068E-01
    0.0225  0.719085E-01     0.137864E-01
    0.0335  0.707484E-01     0.133941E-01
    0.0466  0.693655E-01     0.129354E-01
    0.0618  0.677648E-01     0.124166E-01
    0.0789  0.659524E-01     0.118447E-01
    0.0979  0.639365E-01     0.112275E-01
    0.1188  0.617311E-01     0.105731E-01
    0.1413  0.593680E-01     0.989006E-02
    0.1654  0.568802E-01     0.919114E-02
    0.1908  0.542611E-01     0.848468E-02
    0.2177  0.514997E-01     0.777530E-02
    0.2458  0.486101E-01     0.707155E-02
    0.2751  0.456165E-01     0.638164E-02
    0.3055  0.425494E-01     0.571311E-02
    0.3367  0.394451E-01     0.507265E-02
    0.3688  0.363431E-01     0.446590E-02
    0.4014  0.332857E-01     0.389728E-02
    0.4338  0.303872E-01     0.338073E-02
    0.4655  0.276711E-01     0.291502E-02
    0.4975  0.250742E-01     0.248919E-02
    0.5296  0.225945E-01     0.210352E-02
    0.5616  0.202322E-01     0.175776E-02
    0.5934  0.179903E-01     0.145116E-02
    0.6248  0.158728E-01     0.118245E-02
    0.6558  0.138844E-01     0.949898E-03
    0.6862  0.120300E-01     0.751360E-03
    0.7158  0.103141E-01     0.584342E-03
    0.7446  0.874023E-02     0.446078E-03
    0.7723  0.731097E-02     0.333611E-03
    0.7990  0.602747E-02     0.243882E-03
    0.8244  0.488931E-02     0.173809E-03
    0.8485  0.389438E-02     0.120379E-03
    0.8712  0.303873E-02     0.807149E-04
    0.8924  0.231652E-02     0.521470E-04
    0.9119  0.171990E-02     0.322664E-04
    0.9297  0.123869E-02     0.189677E-04
    0.9460  0.854464E-03     0.103449E-04
    0.9607  0.556472E-03     0.509952E-05
    0.9734  0.337205E-03     0.222490E-05
    0.9841  0.183719E-03     0.817454E-06
    0.9927  0.851214E-04     0.232597E-06
    0.9991  0.301504E-04     0.435722E-07
    1.0035  0.622072E-05     0.366843E-08
    1.0056  0.361757E-06     0.497714E-10
    1.0059   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059051370425078     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.743679E-01    -0.146404E-01
   -0.0003  0.742501E-01    -0.145988E-01
   -0.0025  0.740146E-01    -0.145159E-01
   -0.0070  0.735445E-01    -0.143511E-01
   -0.0137  0.728416E-01    -0.141068E-01
   -0.0225  0.719085E-01    -0.137864E-01
   -0.0335  0.707484E-01    -0.133941E-01
   -0.0466  0.693655E-01    -0.129354E-01
   -0.0618  0.677648E-01    -0.124166E-01
   -0.0789  0.659524E-01    -0.118447E-01
   -0.0979  0.639365E-01    -0.112275E-01
   -0.1188  0.617311E-01    -0.105731E-01
   -0.1413  0.593680E-01    -0.989006E-02
   -0.1654  0.568802E-01    -0.919114E-02
   -0.1908  0.542611E-01    -0.848468E-02
   -0.2177  0.514997E-01    -0.777530E-02
   -0.2458  0.486101E-01    -0.707155E-02
   -0.2751  0.456165E-01    -0.638164E-02
   -0.3055  0.425494E-01    -0.571311E-02
   -0.3367  0.394451E-01    -0.507265E-02
   -0.3688  0.363431E-01    -0.446590E-02
   -0.4014  0.332857E-01    -0.389728E-02
   -0.4338  0.303872E-01    -0.338073E-02
   -0.4655  0.276711E-01    -0.291502E-02
   -0.4975  0.250742E-01    -0.248919E-02
   -0.5296  0.225945E-01    -0.210352E-02
   -0.5616  0.202322E-01    -0.175776E-02
   -0.5934  0.179903E-01    -0.145116E-02
   -0.6248  0.158728E-01    -0.118245E-02
   -0.6558  0.138844E-01    -0.949898E-03
   -0.6862  0.120300E-01    -0.751360E-03
   -0.7158  0.103141E-01    -0.584342E-03
   -0.7446  0.874023E-02    -0.446078E-03
   -0.7723  0.731097E-02    -0.333611E-03
   -0.7990  0.602747E-02    -0.243882E-03
   -0.8244  0.488931E-02    -0.173809E-03
   -0.8485  0.389438E-02    -0.120379E-03
   -0.8712  0.303873E-02    -0.807149E-04
   -0.8924  0.231652E-02    -0.521470E-04
   -0.9119  0.171990E-02    -0.322664E-04
   -0.9297  0.123869E-02    -0.189677E-04
   -0.9460  0.854464E-03    -0.103449E-04
   -0.9607  0.556472E-03    -0.509952E-05
   -0.9734  0.337205E-03    -0.222490E-05
   -0.9841  0.183719E-03    -0.817454E-06
   -0.9927  0.851214E-04    -0.232597E-06
   -0.9991  0.301504E-04    -0.435722E-07
   -1.0035  0.622072E-05    -0.366843E-08
   -1.0056  0.361757E-06    -0.497714E-10
   -1.0059   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13458066633842114     
     2Ymax/Bref =   0.20864926965370095     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1346  0.799170E-03     0.275628E-04
    0.1349  0.797067E-03     0.265725E-04
    0.1374  0.788091E-03     0.246057E-04
    0.1422  0.750537E-03     0.209175E-04
    0.1491  0.667998E-03     0.161088E-04
    0.1574  0.543516E-03     0.110788E-04
    0.1668  0.402179E-03     0.669954E-05
    0.1764  0.269929E-03     0.347739E-05
    0.1858  0.160904E-03     0.148232E-05
    0.1942  0.809595E-04     0.478150E-06
    0.2010  0.308550E-04     0.991062E-07
    0.2058  0.673851E-05     0.899282E-08
    0.2083  0.405857E-06     0.128079E-09
    0.2086   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20864926965370095     
     2Ymax/Bref =  -0.13458066633842114     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1346  0.799170E-03    -0.275628E-04
   -0.1349  0.797067E-03    -0.265725E-04
   -0.1374  0.788091E-03    -0.246057E-04
   -0.1422  0.750537E-03    -0.209175E-04
   -0.1491  0.667998E-03    -0.161088E-04
   -0.1574  0.543516E-03    -0.110788E-04
   -0.1668  0.402179E-03    -0.669954E-05
   -0.1764  0.269929E-03    -0.347739E-05
   -0.1858  0.160904E-03    -0.148232E-05
   -0.1942  0.809595E-04    -0.478150E-06
   -0.2010  0.308550E-04    -0.991062E-07
   -0.2058  0.673851E-05    -0.899282E-08
   -0.2083  0.405857E-06    -0.128079E-09
   -0.2086   0.00000         -0.00000    
