
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29324_14_d5bd4a                                     
  Mach  =    0.850
  alpha =    2.396    CLtot =    0.192
  beta  =    0.000

  Sref  =   756.00000
  Bref  =    63.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060761904761906     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.959824E-01     0.166185E-01
    0.0003  0.957914E-01     0.165625E-01
    0.0026  0.954092E-01     0.164509E-01
    0.0073  0.946465E-01     0.162294E-01
    0.0143  0.935060E-01     0.159018E-01
    0.0235  0.919918E-01     0.154732E-01
    0.0350  0.901094E-01     0.149507E-01
    0.0487  0.878656E-01     0.143427E-01
    0.0645  0.852689E-01     0.136591E-01
    0.0823  0.823301E-01     0.129111E-01
    0.1022  0.790646E-01     0.121107E-01
    0.1239  0.755023E-01     0.112707E-01
    0.1475  0.716865E-01     0.104044E-01
    0.1710  0.679146E-01     0.958544E-02
    0.1942  0.641960E-01     0.882006E-02
    0.2186  0.602816E-01     0.805908E-02
    0.2443  0.562125E-01     0.731269E-02
    0.2710  0.520498E-01     0.659022E-02
    0.2986  0.478621E-01     0.589972E-02
    0.3271  0.437225E-01     0.524771E-02
    0.3563  0.397128E-01     0.463890E-02
    0.3861  0.359237E-01     0.407592E-02
    0.4174  0.323203E-01     0.353959E-02
    0.4501  0.289422E-01     0.303448E-02
    0.4830  0.258523E-01     0.257977E-02
    0.5159  0.230115E-01     0.217341E-02
    0.5488  0.203959E-01     0.181320E-02
    0.5815  0.179891E-01     0.149671E-02
    0.6138  0.157781E-01     0.122129E-02
    0.6457  0.137525E-01     0.984079E-03
    0.6769  0.119029E-01     0.782045E-03
    0.7073  0.102207E-01     0.612066E-03
    0.7369  0.869752E-02     0.470963E-03
    0.7654  0.732562E-02     0.355564E-03
    0.7928  0.609728E-02     0.262749E-03
    0.8190  0.500509E-02     0.189499E-03
    0.8438  0.404212E-02     0.132931E-03
    0.8671  0.320210E-02     0.903319E-04
    0.8888  0.247977E-02     0.591768E-04
    0.9089  0.187063E-02     0.371525E-04
    0.9272  0.136951E-02     0.221823E-04
    0.9440  0.959961E-03     0.122807E-04
    0.9592  0.634649E-03     0.613900E-05
    0.9724  0.391173E-03     0.272045E-05
    0.9834  0.217640E-03     0.101628E-05
    0.9923  0.103063E-03     0.293461E-06
    0.9991  0.370307E-04     0.554568E-07
    1.0035  0.764941E-05     0.467105E-08
    1.0058  0.441457E-06     0.629248E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060761904761906     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.959824E-01    -0.166185E-01
   -0.0003  0.957914E-01    -0.165625E-01
   -0.0026  0.954092E-01    -0.164509E-01
   -0.0073  0.946465E-01    -0.162294E-01
   -0.0143  0.935060E-01    -0.159018E-01
   -0.0235  0.919918E-01    -0.154732E-01
   -0.0350  0.901094E-01    -0.149507E-01
   -0.0487  0.878656E-01    -0.143427E-01
   -0.0645  0.852689E-01    -0.136591E-01
   -0.0823  0.823301E-01    -0.129111E-01
   -0.1022  0.790646E-01    -0.121107E-01
   -0.1239  0.755023E-01    -0.112707E-01
   -0.1475  0.716865E-01    -0.104044E-01
   -0.1710  0.679146E-01    -0.958544E-02
