
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29348_13_1f3a84                                     
  Mach  =    0.850
  alpha =    1.889    CLtot =    0.166
  beta  =    0.000

  Sref  =   957.40000
  Bref  =    74.56000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067221030042919     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.830276E-01     0.150764E-01
    0.0003  0.828819E-01     0.150329E-01
    0.0024  0.825904E-01     0.149462E-01
    0.0065  0.820087E-01     0.147740E-01
    0.0128  0.811391E-01     0.145188E-01
    0.0211  0.799850E-01     0.141846E-01
    0.0314  0.785512E-01     0.137761E-01
    0.0437  0.768434E-01     0.132994E-01
    0.0579  0.748690E-01     0.127615E-01
    0.0739  0.726371E-01     0.121704E-01
    0.0917  0.701618E-01     0.115344E-01
    0.1113  0.674764E-01     0.108628E-01
    0.1326  0.645748E-01     0.101588E-01
    0.1557  0.614411E-01     0.943244E-02
    0.1802  0.580983E-01     0.869986E-02
    0.2061  0.545722E-01     0.797125E-02
    0.2332  0.509115E-01     0.725634E-02
    0.2615  0.471830E-01     0.656387E-02
    0.2907  0.434729E-01     0.590113E-02
    0.3209  0.398822E-01     0.527341E-02
    0.3522  0.364610E-01     0.467221E-02
    0.3847  0.332551E-01     0.410133E-02
    0.4176  0.302750E-01     0.357309E-02
    0.4509  0.274876E-01     0.308759E-02
    0.4845  0.248727E-01     0.264465E-02
    0.5181  0.224169E-01     0.224375E-02
    0.5516  0.201110E-01     0.188399E-02
    0.5849  0.179479E-01     0.156410E-02
    0.6178  0.159221E-01     0.128248E-02
    0.6503  0.140291E-01     0.103722E-02
    0.6821  0.122649E-01     0.826136E-03
    0.7132  0.106264E-01     0.646844E-03
    0.7433  0.911089E-02     0.496774E-03
    0.7724  0.771600E-02     0.373234E-03
    0.8003  0.644009E-02     0.273450E-03
    0.8270  0.528224E-02     0.194609E-03
    0.8522  0.424244E-02     0.133900E-03
    0.8760  0.332171E-02     0.885563E-04
    0.8982  0.252193E-02     0.558923E-04
    0.9186  0.184550E-02     0.333527E-04
    0.9373  0.129450E-02     0.185636E-04
    0.9531  0.885238E-03     0.981659E-05
    0.9663  0.588508E-03     0.491516E-05
    0.9776  0.363141E-03     0.217667E-05
    0.9872  0.201465E-03     0.811968E-06
    0.9949  0.951923E-04     0.234609E-06
    1.0007  0.343591E-04     0.445568E-07
    1.0045  0.717828E-05     0.378767E-08
    1.0065  0.418541E-06     0.515153E-10
    1.0067   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0067221030042919     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.830276E-01    -0.150764E-01
   -0.0003  0.828819E-01    -0.150329E-01
   -0.0024  0.825904E-01    -0.149462E-01
   -0.0065  0.820087E-01    -0.147740E-01
   -0.0128  0.811391E-01    -0.145188E-01
   -0.0211  0.799850E-01    -0.141846E-01
   -0.0314  0.785512E-01    -0.137761E-01
   -0.0437  0.768434E-01    -0.132994E-01
   -0.0579  0.748690E-01    -0.127615E-01
   -0.0739  0.726371E-01    -0.121704E-01
   -0.0917  0.701618E-01    -0.115344E-01
   -0.1113  0.674764E-01    -0.108628E-01
   -0.1326  0.645748E-01    -0.101588E-01
